row_id	physical_line	rule_type	source_key	current_cn	verdict	severity	proposed_cn	proposed_source_tier	reason	evidence	placeholder_check	newline_check	japanese_target_check	formal_term_note	product_write_allowed
ENG-005	5	exact	キーボード入力: %s	键盘输入: %s	correction-required	low	键盘输入：%s	manual-semantic-reviewed	中文界面标点应使用全角冒号；%s 占位符保持不变。	root semantic review against Japanese source and adjacent official terminology; not an exact official whole-string	pass	pass	pass		false
ENG-013	13	exact	「ダウンロードしない」を選択した場合、ボイス、ムービーは再生されません。	选择「不下载」的话，将无法播放语音和影片。	correction-required	medium	如选择“不下载”，将无法播放语音和动画。	manual-semantic-reviewed	国服相邻下载文案将ムービー称为“动画”；当前“影片”偏离项目术语。	root semantic review against Japanese source and adjacent official terminology; not an exact official whole-string	pass	pass	pass		false
ENG-021	21	exact	【データサイズ：	【数据大小：	correction-required	low	【数据量：	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 同序列精确使用“数据量”。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14e0bc0']; armv7 offsets=['0x1184d58']	pass	pass	pass		false
ENG-026	26	exact	単発 - レアカード	单发 - 稀有卡牌	correction-required	high	单抽 - 稀有卡牌	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 与国服扭蛋数据均使用“单抽”，当前“单发”是错误术语。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14e5c50']; armv7 offsets=['0x11860b8']	pass	pass	pass		false
ENG-027	27	exact	単発 - 通常カード	单发 - 普通卡牌	correction-required	high	单抽 - 普通卡牌	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 与国服扭蛋数据均使用“单抽”，当前“单发”是错误术语。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14e5c78']; armv7 offsets=['0x11860e0']	pass	pass	pass		false
ENG-028	28	exact	単発 - レアメモリア	单发 - 稀有记忆结晶	correction-required	high	单抽 - 稀有记忆结晶	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 与国服扭蛋数据均使用“单抽”，当前“单发”是错误术语。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14e5c90']; armv7 offsets=['0x11860f8']	pass	pass	pass		false
ENG-029	29	exact	単発 - 通常メモリア	单发 - 普通记忆结晶	correction-required	high	单抽 - 普通记忆结晶	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 与国服扭蛋数据均使用“单抽”，当前“单发”是错误术语。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14e5cb0']; armv7 offsets=['0x1186114']	pass	pass	pass		false
ENG-030	30	exact	使用禁止文字列が含まれています。	包含禁止使用的字符串。	correction-required	low	含有禁止使用的字符。	manual-semantic-reviewed	用户界面的文字列应译为“字符”；“字符串”属于程序术语。	root semantic review against Japanese source and adjacent official terminology; not an exact official whole-string	pass	pass	pass		false
ENG-032	32	exact	※後から変更可能です（当日中の変更はできません）	※之后可以更改(当天内无法更改)	correction-required	low	※以后可以更改（当天不可更改）	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 同序列存在完整官中文字面值，并采用国服全角标点。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14cd1b0']; armv7 offsets=['0x117e27c']	pass	pass	pass		false
ENG-043	43	exact	プールシャッフル	重洗圆盘	correction-required	low	行动盘池洗牌	manual-semantic-reviewed	Pool Shuffle 是行动盘池洗牌机制；“重洗圆盘”含义模糊。旧国服保留英文机制名，本项属人工语义定稿。	root semantic review against Japanese source and adjacent official terminology; not an exact official whole-string	pass	pass	pass		false
ENG-044	44	exact	ディスク再配布	圆盘重新配发	correction-required	medium	重新分配行动盘	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 精确使用“重新分配行动盘”。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14ea498']; armv7 offsets=['0x11875a8']	pass	pass	pass		false
ENG-045	45	exact	ナビ再配布	导航重新配发	correction-required	medium	重新分配Navi	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 精确使用“重新分配Navi”；保留正式机制名 Navi。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14ea460']; armv7 offsets=['0x118757c']	pass	pass	pass	保留正式机制词：Navi	false
ENG-049	49	exact	隣接してない	未相邻	correction-required	low	非相邻	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 精确使用“非相邻”。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14cf2d8']; armv7 offsets=['0x117ea4c']	pass	pass	pass		false
ENG-051	51	exact	助っ人不可	不可助战	correction-required	medium	不可使用支援	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 精确使用“不可使用支援”。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14cf2f8']; armv7 offsets=['0x117ea64']	pass	pass	pass		false
ENG-056	56	exact	MPゲージ	MP槽	correction-required	medium	MP计量表	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 精确使用“MP计量表”；当前“MP槽”不见于国服语料。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14cf1a0']; armv7 offsets=['0x117e93c']	pass	pass	pass		false
ENG-057	57	exact	Cディスク	Charge圆盘	correction-required	medium	C行动盘	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 精确使用“C行动盘”。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14cf1b0', '0x14d0b88', '0x14d0bc8']; armv7 offsets=['0x117e948', '0x117fb9c', '0x117fbdc']	pass	pass	pass	保留正式机制词：Charge	false
ENG-066	66	exact	マギア・スキル発動	Magia·技能发动	correction-required	high	发动Magia·技能	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 精确顺序为“发动Magia·技能”；当前词序错误。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14d1250']; armv7 offsets=['0x11801bc']	pass	pass	pass	保留正式机制词：Magia	false
