item_id	stable_business_key	source_path	source_key	source_field	japanese_or_source_original	seed_cn	seed_origin	current_cn	suggested_cn	final_value	source_record_sha256	target_contract_sha256	review_status	final_origin	machine_translated
LOW-MT-00601	i18n/frontend-strings.tsv#2d36c00c19442648fc85e317/candidate_cn	i18n/frontend-strings.tsv	2d36c00c19442648fc85e317	candidate_cn	不足しています。	不足。	adopted_suggestion	。	不足。	不足。	7f2e540e9543480881db73bdfbab0623d7270423daed6a1381547537580fdbc0	ab354e45bed72910851d32e4b3ebe452b71d59b0844983d721b931b939791e24	rough-production-machine-suggestion-adopted	machine-suggestion	true
LOW-MT-00620	i18n/frontend-strings.tsv#310e63d6cf6464a89c461af0/candidate_cn	i18n/frontend-strings.tsv	310e63d6cf6464a89c461af0	candidate_cn	全ての魔法少女のHPを回復しました	已回复全部魔法少女的HP	adopted_suggestion	已全部魔法少女的HP回复	已回复全部魔法少女的HP	已回复全部魔法少女的HP	fb187d1448cfab7eddceff1b525ef35f26ea43ee3d4f819e8d4d61611d56ca6d	e2e7ab778c57a712891fae4d7eea23df10e3cf11f599ecac2e20e570148e26d7	rough-production-machine-suggestion-adopted	machine-suggestion	true
LOW-MT-00622	i18n/frontend-strings.tsv#313dad4acc9fce4f8d64c394/candidate_cn	i18n/frontend-strings.tsv	313dad4acc9fce4f8d64c394	candidate_cn	ランキングバトルのプレイ期間外のため\\x3cbr\\x3eプレイ結果は反映されません。\\x3cbr\\x3eトップページに戻ります。	不在排位战的可玩期间内，\\x3cbr\\x3e对战结果不会被记录。\\x3cbr\\x3e返回首页。	adopted_suggestion	不在排位战的可玩期间内,\\x3cbr\\x3e对战结果不会被记录。\\x3cbr\\x3e返回首页。	不在排位战的可玩期间内，\x3cbr\x3e对战结果不会被记录。\x3cbr\x3e返回首页。	不在排位战的可玩期间内，\\x3cbr\\x3e对战结果不会被记录。\\x3cbr\\x3e返回首页。	d6409e44add9a426672ccf14a7a7ed1e25ca729b7030afc8eb8a948606b1566e	4eabab31b1f0d72f265d54a3da97126947c4a0122d16e89027f672c33c78a293	rough-production-machine-suggestion-adopted	machine-suggestion	true
LOW-MT-00631	i18n/frontend-strings.tsv#32fc4a921bd9fa2b378d1850/candidate_cn	i18n/frontend-strings.tsv	32fc4a921bd9fa2b378d1850	candidate_cn	鏡の魔女の腕を\\x3cspan class\\x3d'attention'\\x3e全て制圧すると挑戦\\x3c/span\\x3eできます。	镜之魔女的手臂\\x3cspan class\\x3d'attention'\\x3e全部压制后即可挑战\\x3c/span\\x3e。	adopted_suggestion	\\x3cspan class\\x3d'attention'\\x3e压制镜之魔女的全部手臂后即可挑战\\x3c/span\\x3e。	镜之魔女的全部手臂\x3cspan class\x3d'attention'\x3e压制后即可挑战\x3c/span\x3e。	镜之魔女的手臂\\x3cspan class\\x3d'attention'\\x3e全部压制后即可挑战\\x3c/span\\x3e。	2847382ee5ee0326fdb0bf9e8af507f5e5fb94e0ff905a70770a977733f1334b	d89fed6c03b737983c6472cb8718219adcdbfd3ce1af3eb403d83c418481a8d6	rough-production-machine-suggestion-adopted	machine-suggestion	true
LOW-MT-00638	i18n/frontend-strings.tsv#34396445df52542bc8d2c87c/candidate_cn	i18n/frontend-strings.tsv	34396445df52542bc8d2c87c	candidate_cn	に更新されます。	时更新。	adopted_suggestion	更新。	将更新为。	时更新。	c4c74b14f168f7abe8630031c0f2182b3de394a64c2f87cc05333ac3337fca8e	3158ef260004dbd1970ff740df85941ea683f7a4d5f1983a5e8ea4e07f1840a7	rough-production-machine-suggestion-adopted	machine-suggestion	true
LOW-MT-00666	i18n/frontend-strings.tsv#374d03562c4707a705b7b793/candidate_cn	i18n/frontend-strings.tsv	374d03562c4707a705b7b793	candidate_cn	個\\x3c/span\\x3e消費して\\x3cbr\\x3eストーリーを再生しますか？	个\\x3c/span\\x3e，是否消耗这些道具并\\x3cbr\\x3e播放剧情？	adopted_suggestion	个\\x3c/span\\x3e来\\x3cbr\\x3e回放剧情吗?	消耗{0}个\x3c/span\x3e来\x3cbr\x3e回放剧情吗?	个\\x3c/span\\x3e，是否消耗这些道具并\\x3cbr\\x3e播放剧情？	24177937d8157a77351aebd2acc33a3280916b2d468d0d64f3f05a86025153af	81c636ac4f818eebeb005f262e05b8c92b2820fe804db2b9a581e3a1067f9799	rough-production-machine-suggestion-adopted	machine-suggestion	true
LOW-MT-00672	i18n/frontend-strings.tsv#38f204a57aa8fc4d2b2ef779/candidate_cn	i18n/frontend-strings.tsv	38f204a57aa8fc4d2b2ef779	candidate_cn	1日1回無料10連ノーマルガチャを行います。\\x3cbr\\x3eよろしいですか？\\x3cdiv id\\x3d'saleSettingBtn' class\\x3d'sb_gold_02 TE se_decide'\\x3e自動設定\\x3c/div\\x3e	进行每日1次免费10连普通扭蛋。\\x3cbr\\x3e确定要进行吗？\\x3cdiv id\\x3d'saleSettingBtn' class\\x3d'sb_gold_02 TE se_decide'\\x3e自动设置\\x3c/div\\x3e	adopted_suggestion	进行每日1次免费10连普通扭蛋。\\x3cbr\\x3e确定吗?\\x3cdiv id\\x3d'saleSettingBtn' class\\x3d'sb_gold_02 TE se_decide'\\x3e自动设置\\x3c/div\\x3e	进行每日1次免费10连普通扭蛋。\x3cbr\x3e可以吗?\x3cdiv id\x3d'saleSettingBtn' class\x3d'sb_gold_02 TE se_decide'\x3e自动设置\x3c/div\x3e	进行每日1次免费10连普通扭蛋。\\x3cbr\\x3e确定要进行吗？\\x3cdiv id\\x3d'saleSettingBtn' class\\x3d'sb_gold_02 TE se_decide'\\x3e自动设置\\x3c/div\\x3e	286f6d662b3b18b6d924e4ed65f4638126b284693ea7a7c19ef265cdba2883f2	6dc1b627cd71d86fa95ddb12155294db987f3f3b16381e366e39ff4a6413bf43	rough-production-machine-suggestion-adopted	machine-suggestion	true
LOW-MT-00683	i18n/frontend-strings.tsv#3aa00888efee64f63d6a3838/candidate_cn	i18n/frontend-strings.tsv	3aa00888efee64f63d6a3838	candidate_cn	解放されていく枠内のクエストを全てクリアすることで特別な報酬が入手できます。	通关逐步解放的方框内全部关卡，即可获得特别报酬。	adopted_suggestion	通关逐步解放的方框内全部关卡,即可获得特别报酬。	通关逐步解放的方框内全部关卡，即可获得特别报酬。	通关逐步解放的方框内全部关卡，即可获得特别报酬。	f3e8e3c353f771c741d21bbd9df2232cb67984651065f86f3745d03e40291929	0ab13b53fa07a2565f32b63f9e539992091053fc3e7cfbe8d12d7fed6c162288	rough-production-machine-suggestion-adopted	machine-suggestion	true
LOW-MT-00684	i18n/frontend-strings.tsv#3af193365e7f8aa651478677/candidate_cn	i18n/frontend-strings.tsv	3af193365e7f8aa651478677	candidate_cn	よろしいですか？\\x3c/p\\x3e	确定吗？\\x3c/p\\x3e	adopted_suggestion	确定吗?\\x3c/p\\x3e	确定吗？\\x3c/p\\x3e	确定吗？\\x3c/p\\x3e	2bff61b9fc8d3a52debc416576f3be2417de1967b150a5748f2c80eeb9130fa0	e55b9cf0bef6addbbdc8c78bc14f2794d530fe073057f3bbc3816994abca6ebe	rough-production-machine-suggestion-adopted	machine-suggestion	true
LOW-MT-00685	i18n/frontend-strings.tsv#3b258ed4fcc4ceee9fafa08a/candidate_cn	i18n/frontend-strings.tsv	3b258ed4fcc4ceee9fafa08a	candidate_cn	のメモリアを獲得します。	的记忆结晶即将到手。	adopted_suggestion	的记忆结晶。	的记忆结晶获得。	的记忆结晶即将到手。	f765539bf8758dcfd77e4c811839066baa002f7127775d72fe0c976ec0b7d29f	96bfc95095711bb3f81da8db7b22e257566c3b40738b57372e45bd6e27e57814	rough-production-machine-suggestion-adopted	machine-suggestion	true
LOW-MT-00688	i18n/frontend-strings.tsv#3bb01e48285e8bb66d7afc52/candidate_cn	i18n/frontend-strings.tsv	3bb01e48285e8bb66d7afc52	candidate_cn	また、登録情報は年齢確認以外に使用しません。	此外，登记的信息不会用于年龄确认以外的用途。	adopted_suggestion	此外,登记的信息不会用于年龄确认以外的用途。	此外，登记的信息不会用于年龄确认以外的用途。	此外，登记的信息不会用于年龄确认以外的用途。	0f1d6f9bcc3c039308b8c7d4d214c1776dc38e5f08ba9a56a63ef2365d26eb2f	513b08a633690679a7a57c634e6a05f3d5deb14fd24e329e15c18b9871c7f35c	rough-production-machine-suggestion-adopted	machine-suggestion	true
LOW-MT-00703	i18n/frontend-strings.tsv#3eaccb7e31f5ee6e35aec49f/candidate_cn	i18n/frontend-strings.tsv	3eaccb7e31f5ee6e35aec49f	candidate_cn	入力されたシリアルコードは有効期間外です。	输入的兑换码不在有效期内。	adopted_suggestion	输入的兑换码已过有效期。	输入的兑换码不在有效期内。	输入的兑换码不在有效期内。	62d9a336489422b639f1952732a9ad8a596389ab06b3fb16e8f83db0e0a57d94	8e0e9a3709d62109d3a6659eab077adcc276c7b908eff57b9928d7f1a9927d8c	rough-production-machine-suggestion-adopted	machine-suggestion	true
