path,kind,line,offset,text,han_count,hiragana_count,katakana_count,simplified_signal_count,context,language_class,totentanz_same_path,old_role,old_injection_tier,source_eligible,authority_guidance
js/_common/ajaxControl.js,js_string,1,631,回首页,3,0,0,1,"ommon.androidKeyStop=!1})}function gotoFirst(model){return popup($.extend({decideBtnText:""回首页""},model||{})).done(function(){window.isBrowser?(location.href="""",location.reload()):cmd.r",strong_simplified_cn,True,ui_module,high_text,True,Authoritative Chinese wording candidate; transplant the literal/text node only.
js/_common/ajaxControl.js,js_string,1,840,关闭弹窗,4,0,0,1,"toMaintenance(model){return popup($.extend({title:""维护中..."",content:""维护中.."",decideBtnText:""关闭弹窗"",canClose:!1},model||{})).done(function(){cmd.reStartGame()})}function fetchModel(arr,url",strong_simplified_cn,True,ui_module,high_text,True,Authoritative Chinese wording candidate; transplant the literal/text node only.
js/_common/ajaxControl.js,js_string,1,4485,服务器返回错误,7,0,0,1,"eGoto&&""maskWords""!=res.forceGoto){var tips={title:res.title||""标题"",content:res.errorTxt||""服务器返回错误""};return""first""==res.forceGoto?void gotoFirst(tips):""maintenance""==res.forceGoto?(cmd.set",strong_simplified_cn,True,ui_module,high_text,True,Authoritative Chinese wording candidate; transplant the literal/text node only.
js/_common/ajaxControl.js,js_string,1,4830,前往下载,4,0,0,1,"eUpdateClient""==res.forceGoto?(cmd.setWebView(!0),void popup($.extend(tips,{closeBtnText:""前往下载""})).always(function(){res.forceUpdateClientUrl?cmd.browserOpen(res.forceUpdateClientUrl):",strong_simplified_cn,True,ui_module,high_text,True,Authoritative Chinese wording candidate; transplant the literal/text node only.
js/_common/ajaxControl.js,js_string,1,4985,关闭弹窗,4,0,0,1,"en(res.forceUpdateClientUrl):cmd.reStartGame()})):void popup($.extend(tips,{closeBtnText:""关闭弹窗""})).always(function(){res.forceGoto&&(location.href=res.forceGoto)})}}};$.ajax=(base=$.aj",strong_simplified_cn,True,ui_module,high_text,True,Authoritative Chinese wording candidate; transplant the literal/text node only.
js/_common/ajaxControl.js,js_string,1,6425,客户端连接出错，请重新登录！,12,0,0,2,"xPlainPost(common.linkList.jsErrorSend,log,null),void popup($.extend({title:""错误"",content:""客户端连接出错，请重新登录！"",decideBtnText:""确定"",canClose:!1},{})).done(function(){cmd.sdkLogout()})}""abort""!=xhr.stat",strong_simplified_cn,True,ui_module,high_text,True,Authoritative Chinese wording candidate; transplant the literal/text node only.
js/_common/ajaxControl.js,js_string,1,7185,发生错误,4,0,0,1,""",error.content=error.content+""<br>href=""+location.href+""<br>"");var tips=$.extend({title:""发生错误"",content:""发生无法预期的错误。<br />很抱歉给您造成困扰。"",gotoFirst:!0},error,error[xhr.statusText]||error);t",strong_simplified_cn,True,ui_module,high_text,True,Authoritative Chinese wording candidate; transplant the literal/text node only.
js/_common/ajaxControl.js,js_string,1,7200,发生无法预期的错误。<br />很抱歉给您造成困扰。,18,0,0,2,"=error.content+""<br>href=""+location.href+""<br>"");var tips=$.extend({title:""发生错误"",content:""发生无法预期的错误。<br />很抱歉给您造成困扰。"",gotoFirst:!0},error,error[xhr.statusText]||error);tips.content+=""<br>[""+xhr.statusText+""",strong_simplified_cn,True,ui_module,high_text,True,Authoritative Chinese wording candidate; transplant the literal/text node only.
js/_common/ajaxControl.js,js_string,1,7692,资料更新完毕。<br>将回到首页。,11,0,0,2,"Cache(),respJson.resourceUpdated)return cmd.setWebView(),gotoFirst({title:""更新资料"",content:""资料更新完毕。<br>将回到首页。""}),!0;if(respJson.interrupt&&!noInterruptFlag){-1==respJson.interrupt.page.indexOf(common",strong_simplified_cn,True,ui_module,high_text,True,Authoritative Chinese wording candidate; transplant the literal/text node only.
js/_common/ajaxControl.js,js_string,1,12857,发生无法预期的错误。<br />很抱歉给您造成困扰。,18,0,0,2,"callback){""error""!==res.resultCode&&callback&&callback(res)}var errorTips={""-1"":{content:""发生无法预期的错误。<br />很抱歉给您造成困扰。"",retryClick:!0,gotoFirst:!0},0:{content:""请在通讯环境良好的地方再次进行尝试。""},200:{OK:{title:""解析出错"",conte",strong_simplified_cn,True,ui_module,high_text,True,Authoritative Chinese wording candidate; transplant the literal/text node only.
js/_common/ajaxControl.js,js_string,1,12925,请在通讯环境良好的地方再次进行尝试。,17,0,0,2,"rTips={""-1"":{content:""发生无法预期的错误。<br />很抱歉给您造成困扰。"",retryClick:!0,gotoFirst:!0},0:{content:""请在通讯环境良好的地方再次进行尝试。""},200:{OK:{title:""解析出错"",content:""客户端解析服务器结果出错。""},error:{content:""客户端出错。""}},404:{content:""",strong_simplified_cn,True,ui_module,high_text,True,Authoritative Chinese wording candidate; transplant the literal/text node only.
js/_common/ajaxControl.js,js_string,1,12977,客户端解析服务器结果出错。,12,0,0,2,"tryClick:!0,gotoFirst:!0},0:{content:""请在通讯环境良好的地方再次进行尝试。""},200:{OK:{title:""解析出错"",content:""客户端解析服务器结果出错。""},error:{content:""客户端出错。""}},404:{content:""请在通讯环境良好的地方再次进行尝试。"",gotoFirst:!1},429:{content:",strong_simplified_cn,True,ui_module,high_text,True,Authoritative Chinese wording candidate; transplant the literal/text node only.
js/_common/ajaxControl.js,js_string,1,13033,请在通讯环境良好的地方再次进行尝试。,17,0,0,2,"""},200:{OK:{title:""解析出错"",content:""客户端解析服务器结果出错。""},error:{content:""客户端出错。""}},404:{content:""请在通讯环境良好的地方再次进行尝试。"",gotoFirst:!1},429:{content:""目前连线人数较多。<br>请稍待片刻再尝试连线。"",gotoFirst:!1,retryClick:!0},500:{}",strong_simplified_cn,True,ui_module,high_text,True,Authoritative Chinese wording candidate; transplant the literal/text node only.
