text	authoritative_cn	tier	exact_source_path	source_pointer	confidence	notes
粛清天使	肃清天使	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\archive\templates.jsonl.gz	jsonl:1567:/wikitext/magia日文;jsonl:1567:/wikitext/magia中文	1.00	Wiki角色数据模板的Magia日中显式字段
現代神滨篇	现代神滨篇	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\pages_index.json	/5668/title	0.99	Wiki日中显式对应
宝崎市立光塚中等教育学校	宝崎市立光冢中等教育学校	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\characters.json	/神乐灿/infobox/出身地;/游狩美由利/infobox/出身地	0.97	两名该校角色的Wiki出身地均采用“宝崎市光冢”
我是旅行调整屋之一，篠目约鹤。\n受老师邀请，我成为了调整屋。\n作为魔法少女，我实在太过弱小，\n甚至没有活下去的力量，\n是老师为我指明了生存之路。\n虽然我作为调整屋还缺乏经验，\n但我会怀着自豪，替您保管灵魂宝石。	我是旅行调整屋之一，篠目夜鹤。\n受老师邀请，我成为了调整屋。\n作为魔法少女，我实在太过弱小，\n甚至没有活下去的力量，\n是老师为我指明了生存之路。\n虽然我作为调整屋还缺乏经验，\n但我会怀着自豪，替您保管灵魂宝石。	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/cardList.json/10404/cardName	0.99	仅替换官方国服已确认的名称或用词组件
您好，我叫篠目约鹤，\n在中央区经营调整屋。\n您光临时，\n请允许我用美味甜点款待您。	您好，我叫篠目夜鹤，\n在中央区经营调整屋。\n您光临时，\n请允许我用美味甜点款待您。	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/cardList.json/10404/cardName	0.99	仅替换官方国服已确认的名称或用词组件
準備完了						未找到官方国服或Wiki可直接采用的中文对
好評配信中	好评发布中	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\archive\articles.jsonl.gz	jsonl:2700:/wikitext/台词77;jsonl:2709:/wikitext/台词77;jsonl:2730:/wikitext/台词77	0.99	Wiki多名角色的同类固定片尾语音均采用“好评发布中”
好評配信中！	好评发布中！	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\archive\articles.jsonl.gz	jsonl:2735:/wikitext/台词76;jsonl:2792:/wikitext/台词78;jsonl:2801:/wikitext/台词77	0.99	Wiki同类固定片尾语音采用“好评发布中”，保留原感叹号
仏罰！						未找到官方国服或Wiki可直接采用的中文对
永遠的刻						未找到官方国服或Wiki可直接采用的中文对
水鉄砲	水枪	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json	/にぎやかな潮騒/effect_ja;/にぎやかな潮騒/effect	0.99	Wiki日中显式对应
「情人节交換券」的兑换道具	在「情人节兑换券」中用于兑换的道具	1_official_cn_dump_same_record	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/itemList.json/EVENT_DAILYTOWER_1086_EXCHANGE_2/description	0.99	采用官方国服同一记录中的中文值
霧峰村、神滨市	雾峰村、神滨市	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json	/主线剧情-第2部第1章-2话/lines/723/text	0.95	仅替换Wiki已确认的名称或用词组件
114,宮尾时雨	114,宫尾时雨	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/cardList.json/10294/cardName	0.99	仅替换官方国服已确认的名称或用词组件
水場	戏水处	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/itemList.json/EVENT_DAILYTOWER_1056_STICKER_110100/shortDescription;/itemList.json/EVENT_DAILYTOWER_1056_STICKER_230000/shortDescription	0.99	官方国服同类魔法少女贴纸的出没场所字段
恵萌花	惠萌花	1_official_cn_dump_exact	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/cardList.json/30343/cardName	1.00	官方国服直接值
139,恵萌花	139,惠萌花	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/cardList.json/30343/cardName	0.99	仅替换官方国服已确认的名称或用词组件
飾利潤	饰利润	2_wiki_explicit_pair	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\characters.json	/饰利润/nameJa;/饰利润/nameZh	0.99	Wiki日中显式对应
136,飾利潤	136,饰利润	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\characters.json	/饰利润/nameJa;/饰利润/nameZh	0.99	仅替换Wiki已确认的名称或用词组件
南津涼子	南津凉子	1_official_cn_dump_exact	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/cardList.json/30584/cardName	1.00	官方国服直接值
128,南津涼子	128,南津凉子	1_official_cn_dump_component	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/cardList.json/30584/cardName	0.99	仅替换官方国服已确认的名称或用词组件
「时女拾遺物語」的兑换道具	「时女拾遗物语」的兑换道具	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\pages_index.json	/590/title	0.98	仅替换Wiki已确认的名称或用词组件
霧峰村	雾峰村	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\story.json	/主线剧情-第2部第1章-2话/lines/723/text	0.95	仅替换Wiki已确认的名称或用词组件
「神滨时空運動会」的兑换道具	「神滨时空运动会」的兑换道具	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\pages_index.json	/796/title;/6678/headings/27/text	0.96	Wiki中日活动标题共同确认“運動会→运动会”
11世紀北欧	11世纪北欧	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json	/究極vs至高/desc_ja;/究極vs至高/desc_zh	0.97	仅替换Wiki已确认的名称或用词组件
3世紀日本 邪馬台国	3世纪日本 邪马台国	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\memoria.json;C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\pages_index.json	/究極vs至高/desc_ja;/究極vs至高/desc_zh;/96/title	0.96	Wiki分别确认“世紀→世纪”和“邪馬台国→邪马台国”
可兑换専用在商店泳装衣装的券						未找到官方国服或Wiki可直接采用的中文对
調整屋硬币	调整专家币	1_official_cn_dump_same_record	A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json	/itemList.json/GACHA_FREEBIE_343_MEDAL/name	0.99	同一GACHA_FREEBIE记录的官方国服名称
主页背景「时女拾遺物語」。	主页背景「时女拾遗物语」。	2_wiki_component	C:\Users\proje\Documents\Codex\2026-08-06\https-github-com-hiiraginemu-magireco-wiki-3\work\wiki_authority\wiki-data\data\pages_index.json	/590/title	0.98	仅替换Wiki已确认的名称或用词组件
