stable_key	overview_id	field	japanese_value	wiki_cn_value	source_tier	match	wiki_repo_commit	wiki_path	wiki_lines	target_path
overviewList/1/title	1	title	神浜の戦神子編あらすじ	神滨的战神子篇梗概	wiki	exact-overview-id+paired-wiki-section	741a7fdd2338bc25e8d7583263b72ee44df332d1	D:\magia\MyProducts\magiWiki\dump.xml	1575835-1575847	magica/resource/image_web/_json/puellaHistoria/overview.json
overviewList/1/mainText	1	mainText	鶴乃とさなが着いたのは、相磨国と呼ばれる戦国時代の神浜市。＠突如として守護が倒れ、飢饉にあえぐ民衆が徳政を求めて蜂起するさなかに＠戦神子の露と千鶴は生きていた。	鹤乃和莎奈到达的是被称为相磨国的战国时代的神滨市。＠突然守卫倒地，在饥荒中的民众为了寻求德政而起义的时候＠战神子露和千鹤还活着。	wiki	exact-overview-id+paired-wiki-section	741a7fdd2338bc25e8d7583263b72ee44df332d1	D:\magia\MyProducts\magiWiki\dump.xml	1575835-1575847	magica/resource/image_web/_json/puellaHistoria/overview.json
overviewList/2/title	2	title	アレクサンドリアの蜃気楼編あらすじ	亚历山德里亚的蜃楼篇梗概	wiki	exact-overview-id+paired-wiki-section	741a7fdd2338bc25e8d7583263b72ee44df332d1	D:\magia\MyProducts\magiWiki\dump.xml	1575854-1575866	magica/resource/image_web/_json/puellaHistoria/overview.json
overviewList/2/mainText	2	mainText	時女静香率いる時女一族は、プトレマイオス朝が治める古代エジプトへと向かった。＠目的は歴史に名高い女王・クレオパトラの調査だったが、彼女を探る内に＠“王朝の闇”へと足を踏み入れてしまう。	时女静香率领时女一族前往托勒密王朝统治的古埃及。＠目的是调查历史上有名的女王·克娄巴特拉，但在探索她的过程中＠踏入了“王朝的黑暗”。	wiki	exact-overview-id+paired-wiki-section	741a7fdd2338bc25e8d7583263b72ee44df332d1	D:\magia\MyProducts\magiWiki\dump.xml	1575854-1575866	magica/resource/image_web/_json/puellaHistoria/overview.json
overviewList/3/title	3	title	ヴィークのワルキューレ編あらすじ	维京的女武神篇梗概	wiki	exact-overview-id+paired-wiki-section	741a7fdd2338bc25e8d7583263b72ee44df332d1	D:\magia\MyProducts\magiWiki\dump.xml	1575873-1575885	magica/resource/image_web/_json/puellaHistoria/overview.json
overviewList/3/mainText	3	mainText	紅晴結菜を筆頭とするプロミストブラッドは、＠ヴァイキングが海を駆け巡る時代の北欧へと向かった。＠調査の対象であるオルガとガンヒルトの姉妹は、不遇な毎日を懸命に生きていた。	以红晴结菜为首的PROMISED BLOOD,＠走向了维京人在海上奔跑的时代的北欧。＠作为调查对象的奥尔加和冈希尔德的姐妹，在不走运的每一天努力地生活着。	wiki	exact-overview-id+paired-wiki-section	741a7fdd2338bc25e8d7583263b72ee44df332d1	D:\magia\MyProducts\magiWiki\dump.xml	1575873-1575885	magica/resource/image_web/_json/puellaHistoria/overview.json
overviewList/4/title	4	title	チベットのラクシャーシー編あらすじ	藏地的罗刹女篇梗概	wiki	exact-overview-id+paired-wiki-section	741a7fdd2338bc25e8d7583263b72ee44df332d1	D:\magia\MyProducts\magiWiki\dump.xml	1575892-1575904	magica/resource/image_web/_json/puellaHistoria/overview.json
overviewList/4/mainText	4	mainText	氷室ラビたち午前０時のフォークロアがたどり着いたのは、＠モンゴル帝国が勢力を拡大する時代のチベット。＠救いを求める声が高まる中、救世主とされるヘルカは生きていた。	冰室拉比带领的午夜0点的民间传说到达的是＠蒙古帝国扩张势力时代的西藏。＠在求救的呼声高涨中，被认为是救世主的赫露迦却依然活着。	wiki	exact-overview-id+paired-wiki-section	741a7fdd2338bc25e8d7583263b72ee44df332d1	D:\magia\MyProducts\magiWiki\dump.xml	1575892-1575904	magica/resource/image_web/_json/puellaHistoria/overview.json
overviewList/5/title	5	title	邪馬台国の跡目編あらすじ	邪马台国的后嗣篇梗概	wiki	exact-overview-id+paired-wiki-section	741a7fdd2338bc25e8d7583263b72ee44df332d1	D:\magia\MyProducts\magiWiki\dump.xml	1575910-1575921	magica/resource/image_web/_json/puellaHistoria/overview.json
overviewList/5/mainText	5	mainText	十咎ももこ、水波レナ、秋野かえでの仲良し３人組は＠遠い古代…邪馬台国の存在した時代にたどり着いた。＠そこで女王ヒミコの後継者を捜す中、祟り神の子トヨと出会う。	十咎桃子、水波玲奈、秋野枫的三人好友组合＠到达了存在着邪马台国的遥远的古代。＠在那里寻找女王卑弥呼的继任者的途中，与崇神之子台与相遇了。	wiki	exact-overview-id+paired-wiki-section	741a7fdd2338bc25e8d7583263b72ee44df332d1	D:\magia\MyProducts\magiWiki\dump.xml	1575910-1575921	magica/resource/image_web/_json/puellaHistoria/overview.json
