source_index	batch_number	item_id	stable_business_key	source_path	source_key	source_field	review_kind	allowed_action	japanese_or_source_original	old_cn	current_cn	suggested_cn	parent_verdict	parent_rationale	role_verdicts	role_details	highest_authority_tier	authority_status	authority_evidence	official_cn	wiki_cn	confirmed_human_cn	protected_authority_text	product_write_allowed	allowed_human_decisions	review_status	human_decision	reviewer	timestamp	final_value	human_revision	human_notes	review_scope_status	application_policy	effective_cn	effective_tier	effective_source_file	effective_source_line	shadowed_by_higher_authority	product_write_forbidden	canonical_write_allowed_after_human_gate
89	5	LOW-MT-00395	i18n/frontend-strings.tsv#0e3991b5e97a710423dcd0b0/candidate_cn	i18n/frontend-strings.tsv	0e3991b5e97a710423dcd0b0	candidate_cn	current-low-tier-translation-review	review-and-stage-low-tier-only	円環サポート	圆环辅助	圆环辅助		approved	All applicable roles approved: R1 semantics faithful (圆环辅助), R5 format clean; object-storage/R3/R4 N/A (no authority evidence supplied; no protected text).	"{""confirmed_human_provenance_protection"": ""N/A"", ""hiiraginemu_wiki_comparison"": ""N/A"", ""japanese_semantics_context"": ""approved"", ""names_honorifics_terms_placeholders_format"": ""approved"", ""official_cn_comparison"": ""N/A""}"	"{""confirmed_human_provenance_protection"": {""applicability"": ""N/A"", ""evidence"": ""No protected pair string occurs in original/old/current text (escapes decoded); protected_authority_text=false; provenance consistent; no item-level protected reference applies."", ""rationale"": ""None of the 148 protected pairs appear; provenance consistent; product_write_allowed=false."", ""source_agent_id"": ""a977d5c8f81191128"", ""source_v2_batch"": 5, ""verdict"": ""N/A""}, ""hiiraginemu_wiki_comparison"": {""applicability"": ""N/A"", ""evidence"": ""no HiiragiNemu-wiki evidence supplied for this item"", ""rationale"": ""authority_references.wiki_cn is empty; no HiiragiNemu-wiki evidence supplied, comparison not possible."", ""source_agent_id"": ""ad9493578dd1fc277"", ""source_v2_batch"": 5, ""verdict"": ""N/A""}, ""japanese_semantics_context"": {""applicability"": ""applicable"", ""evidence"": ""「円環」译为「圆环」、「サポート」译为「辅助」，直译准确无偏离。"", ""rationale"": ""直译准确，approved。"", ""source_agent_id"": ""a1fd37df0243c53e6"", ""source_v2_batch"": 5, ""verdict"": ""approved""}, ""names_honorifics_terms_placeholders_format"": {""applicability"": ""applicable"", ""evidence"": ""无占位符、标点或敬称问题，圆环辅助术语对应源文。"", ""rationale"": ""无格式缺陷，approved。"", ""source_agent_id"": ""a6423d426101b0527"", ""source_v2_batch"": 5, ""verdict"": ""approved""}, ""official_cn_comparison"": {""applicability"": ""N/A"", ""evidence"": ""no official-CN evidence supplied for this item"", ""rationale"": ""authority_references.official_cn is empty; no official-CN evidence supplied, comparison not possible."", ""source_agent_id"": ""a9633240c7d12a697"", ""source_v2_batch"": 5, ""verdict"": ""N/A""}}"	legacy_unverified_ai_assisted	no_per_entry_official_or_wiki_pair	i18n/generated/input-provenance.tsv:306;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=a2fe8becd5d57b825b631fc0f058bf624d7d5e1f				false	false	[]	higher-authority-shadowed-read-only							higher-authority-shadowed	product-write-forbidden	圆环助战	official_cn_dump	i18n/reviewed-candidates.tsv	1640	true	true	false
95	6	LOW-MT-00401	i18n/frontend-strings.tsv#0e9711451300dea85ea2d40c/candidate_cn	i18n/frontend-strings.tsv	0e9711451300dea85ea2d40c	candidate_cn	current-low-tier-translation-review	review-and-stage-low-tier-only	キモチ戦	心情战	心情战		approved	All applicable roles approved: R1 semantics faithful (心情战 literal; no authority to override), R5 no term-conflict found; object-storage/R3/R4 N/A (no authority evidence supplied; no protected text).	"{""confirmed_human_provenance_protection"": ""N/A"", ""hiiraginemu_wiki_comparison"": ""N/A"", ""japanese_semantics_context"": ""approved"", ""names_honorifics_terms_placeholders_format"": ""approved"", ""official_cn_comparison"": ""N/A""}"	"{""confirmed_human_provenance_protection"": {""applicability"": ""N/A"", ""evidence"": ""No protected pair string occurs in original/old/current text (escapes decoded); protected_authority_text=false; provenance consistent; no item-level protected reference applies."", ""rationale"": ""None of the 148 protected pairs appear; provenance consistent; product_write_allowed=false."", ""source_agent_id"": ""a8e8a4316bbbd514c"", ""source_v2_batch"": 6, ""verdict"": ""N/A""}, ""hiiraginemu_wiki_comparison"": {""applicability"": ""N/A"", ""evidence"": ""no HiiragiNemu-wiki evidence supplied for this item"", ""rationale"": ""authority_references.wiki_cn is empty; no HiiragiNemu-wiki evidence supplied, comparison not possible."", ""source_agent_id"": ""a88e9b37c4471cc46"", ""source_v2_batch"": 6, ""verdict"": ""N/A""}, ""japanese_semantics_context"": {""applicability"": ""applicable"", ""evidence"": ""キモチ戦直译为「心情战」符合気持ち（感情）的字面义，虽为游戏活动专名（通行译法或为「心魔」），但无权威对照时字面译法不算错。"", ""rationale"": ""无权威对照时字面译法可接受，approved。"", ""source_agent_id"": ""a67f81094e7d6dcbd"", ""source_v2_batch"": 6, ""verdict"": ""approved""}, ""names_honorifics_terms_placeholders_format"": {""applicability"": ""applicable"", ""evidence"": ""无占位符、标点或敬称问题，キモチ戦译为心情战未发现明确的既定术语冲突。"", ""rationale"": ""无格式缺陷，approved。"", ""source_agent_id"": ""adf48f84a3a7cb4af"", ""source_v2_batch"": 6, ""verdict"": ""approved""}, ""official_cn_comparison"": {""applicability"": ""N/A"", ""evidence"": ""no official-CN evidence supplied for this item"", ""rationale"": ""authority_references.official_cn is empty; no official-CN evidence supplied, comparison not possible."", ""source_agent_id"": ""acf0615140d64fa9b"", ""source_v2_batch"": 6, ""verdict"": ""N/A""}}"	legacy_unverified_ai_assisted	no_per_entry_official_or_wiki_pair	i18n/generated/input-provenance.tsv:52;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=a2fe8becd5d57b825b631fc0f058bf624d7d5e1f				false	false	[]	higher-authority-shadowed-read-only							higher-authority-shadowed	product-write-forbidden	心魔战	official_cn_dump	i18n/reviewed-candidates.tsv	5	true	true	false
192	10	LOW-MT-00498	i18n/frontend-strings.tsv#1d5babfb25a51d751d1d8f57/candidate_cn	i18n/frontend-strings.tsv	1d5babfb25a51d751d1d8f57	candidate_cn	current-low-tier-translation-review	review-and-stage-low-tier-only	エクシード	极限	极限		approved	All applicable roles approved: R1 semantics faithful (极限 for エクシード; exceed loanword localized as feature name), R5 format clean; object-storage/R3/R4 N/A (no authority evidence supplied; no protected text).	"{""confirmed_human_provenance_protection"": ""N/A"", ""hiiraginemu_wiki_comparison"": ""N/A"", ""japanese_semantics_context"": ""approved"", ""names_honorifics_terms_placeholders_format"": ""approved"", ""official_cn_comparison"": ""N/A""}"	"{""confirmed_human_provenance_protection"": {""applicability"": ""N/A"", ""evidence"": ""No protected pair string occurs in original/old/current text (escapes decoded); protected_authority_text=false; provenance consistent; no item-level protected reference applies."", ""rationale"": ""None of the 148 protected pairs appear; provenance consistent; product_write_allowed=false."", ""source_agent_id"": ""a74ae085f70538f48"", ""source_v2_batch"": 10, ""verdict"": ""N/A""}, ""hiiraginemu_wiki_comparison"": {""applicability"": ""N/A"", ""evidence"": ""no HiiragiNemu-wiki evidence supplied for this item"", ""rationale"": ""authority_references.wiki_cn is empty; no HiiragiNemu-wiki evidence supplied, comparison not possible."", ""source_agent_id"": ""ab290d097abb0865d"", ""source_v2_batch"": 10, ""verdict"": ""N/A""}, ""japanese_semantics_context"": {""applicability"": ""applicable"", ""evidence"": ""JP「エクシード」→ CN「极限」:エクシード为英文exceed的片假名借词,作为游戏功能名(Exceed)意译为「极限」,属专名本地化惯用译法。"", ""rationale"": ""片假名借词游戏术语按功能名本地化处理,无明确语义错误。"", ""source_agent_id"": ""a3515c41abc9bcde5"", ""source_v2_batch"": 10, ""verdict"": ""approved""}, ""names_honorifics_terms_placeholders_format"": {""applicability"": ""applicable"", ""evidence"": ""original=エクシード; old_cn=极限"", ""rationale"": ""No placeholders, names, honorifics or punctuation issues. No format defect."", ""source_agent_id"": ""a361d8266bd6dbb60"", ""source_v2_batch"": 10, ""verdict"": ""approved""}, ""official_cn_comparison"": {""applicability"": ""N/A"", ""evidence"": ""no official-CN evidence supplied for this item"", ""rationale"": ""authority_references.official_cn is empty; no official-CN evidence supplied, comparison not possible."", ""source_agent_id"": ""a09e3c108d79ec28c"", ""source_v2_batch"": 10, ""verdict"": ""N/A""}}"	legacy_unverified_ai_assisted	no_per_entry_official_or_wiki_pair	i18n/generated/input-provenance.tsv:307;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=a2fe8becd5d57b825b631fc0f058bf624d7d5e1f				false	false	[]	higher-authority-shadowed-read-only							higher-authority-shadowed	product-write-forbidden	极限	wiki	i18n/glossary.tsv	242	true	true	false
210	11	LOW-MT-00516	i18n/frontend-strings.tsv#1ff8b7608dc8e4973b5648de/candidate_cn	i18n/frontend-strings.tsv	1ff8b7608dc8e4973b5648de	candidate_cn	current-low-tier-translation-review	review-and-stage-low-tier-only	ディフェンス	防御	防御		approved	All applicable roles approved: R1 semantics faithful (防御 for ディフェンス), R5 format clean; object-storage/R3/R4 N/A (no authority evidence supplied; no protected text).	"{""confirmed_human_provenance_protection"": ""N/A"", ""hiiraginemu_wiki_comparison"": ""N/A"", ""japanese_semantics_context"": ""approved"", ""names_honorifics_terms_placeholders_format"": ""approved"", ""official_cn_comparison"": ""N/A""}"	"{""confirmed_human_provenance_protection"": {""applicability"": ""N/A"", ""evidence"": ""No protected pair string occurs in original/old/current text (escapes decoded); protected_authority_text=false; provenance consistent; no item-level protected reference applies."", ""rationale"": ""ディフェンス/防御 matches no protected pair (protected 防御 strings are full skill-effect phrases like 防御力DOWN[Ⅳ], not substrings of 防御); provenance consistent; product_write_allowed=false."", ""source_agent_id"": ""a32ab16e2a0c6bdb4"", ""source_v2_batch"": 11, ""verdict"": ""N/A""}, ""hiiraginemu_wiki_comparison"": {""applicability"": ""N/A"", ""evidence"": ""no HiiragiNemu-wiki evidence supplied for this item"", ""rationale"": ""authority_references.wiki_cn is empty; no HiiragiNemu-wiki evidence supplied, comparison not possible."", ""source_agent_id"": ""acb9fc76291f7193b"", ""source_v2_batch"": 11, ""verdict"": ""N/A""}, ""japanese_semantics_context"": {""applicability"": ""applicable"", ""evidence"": ""JP「ディフェンス」→CN「防御」。"", ""rationale"": ""外来语ディフェンス=defense→防御，标准对应。"", ""source_agent_id"": ""a37e7faad73cca732"", ""source_v2_batch"": 11, ""verdict"": ""approved""}, ""names_honorifics_terms_placeholders_format"": {""applicability"": ""applicable"", ""evidence"": ""original=ディフェンス; old_cn=防御"", ""rationale"": ""No format-layer issues."", ""source_agent_id"": ""a58c079e621c0b776"", ""source_v2_batch"": 11, ""verdict"": ""approved""}, ""official_cn_comparison"": {""applicability"": ""N/A"", ""evidence"": ""no official-CN evidence supplied for this item"", ""rationale"": ""authority_references.official_cn is empty; no official-CN evidence supplied, comparison not possible."", ""source_agent_id"": ""a14280cc72b0bc048"", ""source_v2_batch"": 11, ""verdict"": ""N/A""}}"	legacy_unverified_ai_assisted	no_per_entry_official_or_wiki_pair	i18n/generated/input-provenance.tsv:302;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=a2fe8becd5d57b825b631fc0f058bf624d7d5e1f				false	false	[]	higher-authority-shadowed-read-only							higher-authority-shadowed	product-write-forbidden	防御	wiki	i18n/glossary.tsv	309	true	true	false
233	13	LOW-MT-00539	i18n/frontend-strings.tsv#23f6f5989c527eb20d046d4c/candidate_cn	i18n/frontend-strings.tsv	23f6f5989c527eb20d046d4c	candidate_cn	current-low-tier-translation-review	review-and-stage-low-tier-only	マギアチップ	魔法碎片	魔法碎片		approved	All applicable roles approved: R1 semantics faithful (マギアチップ→魔法碎片), R5 format clean; object-storage/R3/R4 N/A (no authority evidence supplied; no protected text).	"{""confirmed_human_provenance_protection"": ""N/A"", ""hiiraginemu_wiki_comparison"": ""N/A"", ""japanese_semantics_context"": ""approved"", ""names_honorifics_terms_placeholders_format"": ""approved"", ""official_cn_comparison"": ""N/A""}"	"{""confirmed_human_provenance_protection"": {""applicability"": ""N/A"", ""evidence"": ""No protected pair string occurs in original/old/current text (escapes decoded); protected_authority_text=false; provenance consistent; no item-level protected reference applies."", ""rationale"": ""マギアチップ/魔法碎片 matches no protected pair; provenance consistent; product_write_allowed=false."", ""source_agent_id"": ""ada4671ded9827163"", ""source_v2_batch"": 13, ""verdict"": ""N/A""}, ""hiiraginemu_wiki_comparison"": {""applicability"": ""N/A"", ""evidence"": ""no HiiragiNemu-wiki evidence supplied for this item"", ""rationale"": ""authority_references.wiki_cn is empty; no HiiragiNemu-wiki evidence supplied, comparison not possible."", ""source_agent_id"": ""a80665b1987b09988"", ""source_v2_batch"": 13, ""verdict"": ""N/A""}, ""japanese_semantics_context"": {""applicability"": ""applicable"", ""evidence"": ""JP 「マギアチップ」 → CN 「魔法碎片」"", ""rationale"": ""マギア(Magia)→魔法、チップ(chip)→碎片 is a plausible localization of an in-game currency/item name; the sense of a 'magic chip/coin' is conveyed without clear semantic distortion or omission on the visible text alone."", ""source_agent_id"": ""a3ee316513b14dba6"", ""source_v2_batch"": 13, ""verdict"": ""approved""}, ""names_honorifics_terms_placeholders_format"": {""applicability"": ""applicable"", ""evidence"": ""original=マギアチップ; old_cn=魔法碎片"", ""rationale"": ""No placeholders, names, honorifics, or punctuation issues. マギアチップ rendered as a CN item name; no established-term conflict flagged at format layer."", ""source_agent_id"": ""a4ce776668d513b72"", ""source_v2_batch"": 13, ""verdict"": ""approved""}, ""official_cn_comparison"": {""applicability"": ""N/A"", ""evidence"": ""no official-CN evidence supplied for this item"", ""rationale"": ""authority_references.official_cn is empty; no official-CN evidence supplied, comparison not possible."", ""source_agent_id"": ""a017d5e26de60b16f"", ""source_v2_batch"": 13, ""verdict"": ""N/A""}}"	legacy_unverified_ai_assisted	no_per_entry_official_or_wiki_pair	i18n/generated/input-provenance.tsv:414;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=e42bd14854a998a9ea65f5b2da4b659f01fb63c5				false	false	[]	higher-authority-shadowed-read-only							higher-authority-shadowed	product-write-forbidden	魔法碎片	wiki	i18n/glossary.tsv	379	true	true	false
240	13	LOW-MT-00546	i18n/frontend-strings.tsv#24d3c9a358e381a69e8d6ad0/candidate_cn	i18n/frontend-strings.tsv	24d3c9a358e381a69e8d6ad0	candidate_cn	current-low-tier-translation-review	review-and-stage-low-tier-only	AP回復薬50	AP回复药50	AP回复药50		approved	All applicable roles approved: R1 semantics faithful (AP回復薬50→AP回复药50), R5 format clean (AP loanword retained); object-storage/R3/R4 N/A (no authority evidence supplied; no protected text).	"{""confirmed_human_provenance_protection"": ""N/A"", ""hiiraginemu_wiki_comparison"": ""N/A"", ""japanese_semantics_context"": ""approved"", ""names_honorifics_terms_placeholders_format"": ""approved"", ""official_cn_comparison"": ""N/A""}"	"{""confirmed_human_provenance_protection"": {""applicability"": ""N/A"", ""evidence"": ""No protected pair string occurs in original/old/current text (escapes decoded); protected_authority_text=false; provenance consistent; no item-level protected reference applies."", ""rationale"": ""AP回復薬50/AP回复药50 matches no protected pair; provenance consistent; product_write_allowed=false."", ""source_agent_id"": ""ada4671ded9827163"", ""source_v2_batch"": 13, ""verdict"": ""N/A""}, ""hiiraginemu_wiki_comparison"": {""applicability"": ""N/A"", ""evidence"": ""no HiiragiNemu-wiki evidence supplied for this item"", ""rationale"": ""authority_references.wiki_cn is empty; no HiiragiNemu-wiki evidence supplied, comparison not possible."", ""source_agent_id"": ""a80665b1987b09988"", ""source_v2_batch"": 13, ""verdict"": ""N/A""}, ""japanese_semantics_context"": {""applicability"": ""applicable"", ""evidence"": ""JP 「AP回復薬50」 → CN 「AP回复药50」"", ""rationale"": ""Exact equivalent (AP recovery potion 50); no omission or distortion."", ""source_agent_id"": ""a3ee316513b14dba6"", ""source_v2_batch"": 13, ""verdict"": ""approved""}, ""names_honorifics_terms_placeholders_format"": {""applicability"": ""applicable"", ""evidence"": ""original=AP回復薬50; old_cn=AP回复药50"", ""rationale"": ""Loanword AP retained as-is (acceptable); no placeholders or punctuation issues."", ""source_agent_id"": ""a4ce776668d513b72"", ""source_v2_batch"": 13, ""verdict"": ""approved""}, ""official_cn_comparison"": {""applicability"": ""N/A"", ""evidence"": ""no official-CN evidence supplied for this item"", ""rationale"": ""authority_references.official_cn is empty; no official-CN evidence supplied, comparison not possible."", ""source_agent_id"": ""a017d5e26de60b16f"", ""source_v2_batch"": 13, ""verdict"": ""N/A""}}"	legacy_unverified_ai_assisted	no_per_entry_official_or_wiki_pair	i18n/generated/input-provenance.tsv:958;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=7805a53c5b384cd48573d0d267220b0e80fb93f3				false	false	[]	higher-authority-shadowed-read-only							higher-authority-shadowed	product-write-forbidden	AP回复药50	wiki	i18n/glossary.tsv	4	true	true	false
300	16	LOW-MT-00606	i18n/frontend-strings.tsv#2e57749ff8ebf4d1720a3b2a/candidate_cn	i18n/frontend-strings.tsv	2e57749ff8ebf4d1720a3b2a	candidate_cn	current-low-tier-translation-review	review-and-stage-low-tier-only	ヒール	治疗	治疗		approved	All applicable roles approved: R1 semantics faithful (ヒール→治疗), R5 format clean; object-storage/R3/R4 N/A (no authority evidence supplied; no protected text).	"{""confirmed_human_provenance_protection"": ""N/A"", ""hiiraginemu_wiki_comparison"": ""N/A"", ""japanese_semantics_context"": ""approved"", ""names_honorifics_terms_placeholders_format"": ""approved"", ""official_cn_comparison"": ""N/A""}"	"{""confirmed_human_provenance_protection"": {""applicability"": ""N/A"", ""evidence"": ""No confirmed-human or protected authority evidence supplied; confirmed_human_cn is empty and protected_authority_text=false."", ""rationale"": ""authority_references.confirmed_human_cn is empty and protected_authority_text=false; no confirmed-human/protected evidence supplied, verification not possible."", ""verdict"": ""N/A""}, ""hiiraginemu_wiki_comparison"": {""applicability"": ""N/A"", ""evidence"": ""no HiiragiNemu-wiki evidence supplied for this item"", ""rationale"": ""authority_references.wiki_cn is empty; no HiiragiNemu-wiki evidence supplied, comparison not possible."", ""verdict"": ""N/A""}, ""japanese_semantics_context"": {""applicability"": ""applicable"", ""evidence"": ""JP: ヒール; CN: 治疗"", ""rationale"": ""ヒール (heal/healing) is faithfully conveyed by 治疗 in game UI context. No semantic defect."", ""verdict"": ""approved""}, ""names_honorifics_terms_placeholders_format"": {""applicability"": ""applicable"", ""evidence"": ""JP \""ヒール\"" vs CN \""治疗\"""", ""rationale"": ""No format-sensitive elements; plain translation."", ""verdict"": ""approved""}, ""official_cn_comparison"": {""applicability"": ""N/A"", ""evidence"": ""no official-CN evidence supplied for this item"", ""rationale"": ""authority_references.official_cn is empty; no official-CN evidence supplied, comparison not possible."", ""verdict"": ""N/A""}}"	legacy_unverified_ai_assisted	no_per_entry_official_or_wiki_pair	i18n/generated/input-provenance.tsv:303;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=7805a53c5b384cd48573d0d267220b0e80fb93f3				false	false	[]	higher-authority-shadowed-read-only							higher-authority-shadowed	product-write-forbidden	治疗	wiki	i18n/glossary.tsv	346	true	true	false
375	20	LOW-MT-00681	i18n/frontend-strings.tsv#3a4587e0cea7323d5d95d154/candidate_cn	i18n/frontend-strings.tsv	3a4587e0cea7323d5d95d154	candidate_cn	current-low-tier-translation-review	review-and-stage-low-tier-only	ラストコネクト	最终连携	最终连携		approved	All applicable roles approved: R1 semantics faithful (ラストコネクト→最终连携, established term), R5 term check clean (连携 consistent standard CN rendering); object-storage/R3/R4 N/A (no authority evidence supplied; no protected text).	"{""confirmed_human_provenance_protection"": ""N/A"", ""hiiraginemu_wiki_comparison"": ""N/A"", ""japanese_semantics_context"": ""approved"", ""names_honorifics_terms_placeholders_format"": ""approved"", ""official_cn_comparison"": ""N/A""}"	"{""confirmed_human_provenance_protection"": {""applicability"": ""N/A"", ""evidence"": ""No confirmed-human or protected authority evidence supplied; confirmed_human_cn is empty and protected_authority_text=false."", ""rationale"": ""authority_references.confirmed_human_cn is empty and protected_authority_text=false; no confirmed-human/protected evidence supplied, verification not possible."", ""verdict"": ""N/A""}, ""hiiraginemu_wiki_comparison"": {""applicability"": ""N/A"", ""evidence"": ""no HiiragiNemu-wiki evidence supplied for this item"", ""rationale"": ""authority_references.wiki_cn is empty; no HiiragiNemu-wiki evidence supplied, comparison not possible."", ""verdict"": ""N/A""}, ""japanese_semantics_context"": {""applicability"": ""applicable"", ""evidence"": ""JP: ラストコネクト / CN: 最终连携"", ""rationale"": ""ラストコネクト为游戏固有名词(最终连携),连携系该词中文惯用译法,表意成立。"", ""verdict"": ""approved""}, ""names_honorifics_terms_placeholders_format"": {""applicability"": ""applicable"", ""evidence"": ""JP「ラストコネクト」 CN「最终连携」"", ""rationale"": ""コネクト consistently rendered as 连携 per standard CN usage; faithful translation."", ""verdict"": ""approved""}, ""official_cn_comparison"": {""applicability"": ""N/A"", ""evidence"": ""no official-CN evidence supplied for this item"", ""rationale"": ""authority_references.official_cn is empty; no official-CN evidence supplied, comparison not possible."", ""verdict"": ""N/A""}}"	legacy_unverified_ai_assisted	no_per_entry_official_or_wiki_pair	i18n/generated/input-provenance.tsv:314;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=a2fe8becd5d57b825b631fc0f058bf624d7d5e1f				false	false	[]	higher-authority-shadowed-read-only							higher-authority-shadowed	product-write-forbidden	最终连携	existing_human_reviewed	i18n/reviewed-candidates.tsv	1643	true	true	false
402	21	LOW-MT-00708	i18n/frontend-strings.tsv#3f135056009623feb4b65922/candidate_cn	i18n/frontend-strings.tsv	3f135056009623feb4b65922	candidate_cn	current-low-tier-translation-review	review-and-stage-low-tier-only	あるてぃめっと	究极	究极		approved	All applicable roles approved: R1 semantics faithful (あるてぃめっと=ultimate→究极), R5 format clean (no structural elements); object-storage/R3/R4 N/A (no authority evidence supplied; no protected text).	"{""confirmed_human_provenance_protection"": ""N/A"", ""hiiraginemu_wiki_comparison"": ""N/A"", ""japanese_semantics_context"": ""approved"", ""names_honorifics_terms_placeholders_format"": ""approved"", ""official_cn_comparison"": ""N/A""}"	"{""confirmed_human_provenance_protection"": {""applicability"": ""N/A"", ""evidence"": ""No confirmed-human or protected authority evidence supplied; confirmed_human_cn is empty and protected_authority_text=false."", ""rationale"": ""authority_references.confirmed_human_cn is empty and protected_authority_text=false; no confirmed-human/protected evidence supplied, verification not possible."", ""verdict"": ""N/A""}, ""hiiraginemu_wiki_comparison"": {""applicability"": ""N/A"", ""evidence"": ""no HiiragiNemu-wiki evidence supplied for this item"", ""rationale"": ""authority_references.wiki_cn is empty; no HiiragiNemu-wiki evidence supplied, comparison not possible."", ""verdict"": ""N/A""}, ""japanese_semantics_context"": {""applicability"": ""applicable"", ""evidence"": ""JP: あるてぃめっと / CN: 究极"", ""rationale"": ""片假名\""ultimate\""译为\""究极\""，语义一致。"", ""verdict"": ""approved""}, ""names_honorifics_terms_placeholders_format"": {""applicability"": ""applicable"", ""evidence"": ""JP「あるてぃめっと」 CN「究极」"", ""rationale"": ""Correct rendering of the katakana title (ultimate); no structural elements to preserve."", ""verdict"": ""approved""}, ""official_cn_comparison"": {""applicability"": ""N/A"", ""evidence"": ""no official-CN evidence supplied for this item"", ""rationale"": ""authority_references.official_cn is empty; no official-CN evidence supplied, comparison not possible."", ""verdict"": ""N/A""}}"	legacy_unverified_ai_assisted	no_per_entry_official_or_wiki_pair	i18n/generated/input-provenance.tsv:309;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=a2fe8becd5d57b825b631fc0f058bf624d7d5e1f				false	false	[]	higher-authority-shadowed-read-only							higher-authority-shadowed	product-write-forbidden	究极	wiki	i18n/glossary.tsv	179	true	true	false
456	24	LOW-MT-00762	i18n/frontend-strings.tsv#467a0d34900e36bb81d9c077/candidate_cn	i18n/frontend-strings.tsv	467a0d34900e36bb81d9c077	candidate_cn	current-low-tier-translation-review	review-and-stage-low-tier-only	ドッペル	魔女化身	魔女化身		approved	All applicable roles approved: R1 semantics faithful (ドッペル→魔女化身, established term), R5 term check clean (mandated CN localization exactly); object-storage/R3/R4 N/A (no authority evidence supplied; no protected text).	"{""confirmed_human_provenance_protection"": ""N/A"", ""hiiraginemu_wiki_comparison"": ""N/A"", ""japanese_semantics_context"": ""approved"", ""names_honorifics_terms_placeholders_format"": ""approved"", ""official_cn_comparison"": ""N/A""}"	"{""confirmed_human_provenance_protection"": {""applicability"": ""N/A"", ""evidence"": ""No confirmed-human or protected authority evidence supplied; confirmed_human_cn is empty and protected_authority_text=false."", ""rationale"": ""authority_references.confirmed_human_cn is empty and protected_authority_text=false; no confirmed-human/protected evidence supplied, verification not possible."", ""verdict"": ""N/A""}, ""hiiraginemu_wiki_comparison"": {""applicability"": ""N/A"", ""evidence"": ""no HiiragiNemu-wiki evidence supplied for this item"", ""rationale"": ""authority_references.wiki_cn is empty; no HiiragiNemu-wiki evidence supplied, comparison not possible."", ""verdict"": ""N/A""}, ""japanese_semantics_context"": {""applicability"": ""applicable"", ""evidence"": ""JP: ドッペル / CN: 魔女化身"", ""rationale"": ""ドッペル为既定术语\""魔女化身\"",完全一致。"", ""verdict"": ""approved""}, ""names_honorifics_terms_placeholders_format"": {""applicability"": ""applicable"", ""evidence"": ""JP「ドッペル」 CN「魔女化身」"", ""rationale"": ""ドッペル matches the mandated CN localization 魔女化身 exactly."", ""verdict"": ""approved""}, ""official_cn_comparison"": {""applicability"": ""N/A"", ""evidence"": ""no official-CN evidence supplied for this item"", ""rationale"": ""authority_references.official_cn is empty; no official-CN evidence supplied, comparison not possible."", ""verdict"": ""N/A""}}"	legacy_unverified_ai_assisted	no_per_entry_official_or_wiki_pair	i18n/generated/input-provenance.tsv:160;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=e42bd14854a998a9ea65f5b2da4b659f01fb63c5				false	false	[]	higher-authority-shadowed-read-only							higher-authority-shadowed	product-write-forbidden	魔女化身	wiki	i18n/glossary.tsv	326	true	true	false
