key	scope	path_prefix	source_text	resolution	fatal	winner_cn	winner_authority	competing_candidates	evidence
global:012bbe7f451586c1e1f4	global		ターゲットは3枚のディスクを選択する際に@毎回変更することができます	resolved-by-higher-authority	false	选择3枚行动盘时@每次都可以变更攻击目标	official_cn_dump	"[{""candidate_cn"":""选择3枚行动盘时@每次都可以变更攻击目标"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:50""},{""candidate_cn"":""选择 3 张圆盘时@每次都可以更改目标"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:416""}]"	lower-weight candidate retained only in provenance
global:02c5b202745ecf7f22a7	global		受け取り期限を過ぎているため<br>対象のミッション報酬を受け取ることはできません	resolved-by-higher-authority	false	由于领取期限已过，<br>无法领取该任务报酬	official_cn_dump	"[{""candidate_cn"":""由于领取期限已过，<br>无法领取该任务报酬"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:13""},{""candidate_cn"":""已过领取期限,<br>无法领取该任务报酬"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:121""}]"	lower-weight candidate retained only in provenance
global:05c19b93823b717f4547	global		陣形の前列は敵の攻撃を受けやすくなるため@防御力が高い魔法少女を配置しましょう	resolved-by-higher-authority	false	由于阵形前列易受敌人攻击@请将防御力高的魔法少女配置在前列	official_cn_dump	"[{""candidate_cn"":""由于阵形前列易受敌人攻击@请将防御力高的魔法少女配置在前列"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:55""},{""candidate_cn"":""阵形前排更容易受到敌人攻击@请配置防御力高的魔法少女"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:398""}]"	lower-weight candidate retained only in provenance
global:09fd76f554ae0f41bf04	global		クリア(初クリア・初コンプ)	resolved-by-higher-authority	false	通关（首通、首次满星）	official_cn_dump	"[{""candidate_cn"":""通关（首通、首次满星）"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:12""},{""candidate_cn"":""通关(首通·首次集齐)"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:1351""}]"	lower-weight candidate retained only in provenance
global:1b2ced9f782f39bc696e	global		ミッション報酬を1件受け取りました。<br><br>※受け取ったアイテムは直接付与されています。	resolved-by-higher-authority	false	已领取1个任务报酬。<br><br>※可直接获得领取的道具。	official_cn_dump	"[{""candidate_cn"":""已领取1个任务报酬。<br><br>※可直接获得领取的道具。"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:26""},{""candidate_cn"":""已领取1件任务报酬。<br><br>※领取的道具已直接发放。"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:381""}]"	lower-weight candidate retained only in provenance
global:1d15210f66cdbe5d0333	global		ガチャを引く	resolved-by-higher-authority	false	抽取扭蛋	official_cn_dump	"[{""candidate_cn"":""抽取扭蛋"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:58""},{""candidate_cn"":""进行抽卡"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:126""}]"	lower-weight candidate retained only in provenance
global:1d903426fa8ee7f47cd3	global		・過度の連続アクセスにより、サーバーに負担をかける行為。	resolved-by-higher-authority	false	·过于频繁地登录，给服务器造成负担的行为。	official_cn_dump	"[{""candidate_cn"":""·过于频繁地登录，给服务器造成负担的行为。"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:9""},{""candidate_cn"":""·过度连续访问,给服务器造成负担的行为。"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:1234""}]"	lower-weight candidate retained only in provenance
global:202f421a12a8aab6d199	global		メモリアセットの内容が変更されています。	resolved-by-higher-authority	false	记忆结晶组合的内容已更改。	official_cn_dump	"[{""candidate_cn"":""记忆结晶组合的内容已更改。"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:56""},{""candidate_cn"":""记忆结晶套装的内容已变更。"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:1082""}]"	lower-weight candidate retained only in provenance
global:2067d660b8a1b3331350	global		アプリを削除してしまうとデータが初期化されてしまいますのでご注意ください。	resolved-by-higher-authority	false	如果删除应用，数据将被初始化，请务必注意。	official_cn_dump	"[{""candidate_cn"":""如果删除应用，数据将被初始化，请务必注意。"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:7""},{""candidate_cn"":""请注意,删除应用后数据将被初始化。"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:1181""}]"	lower-weight candidate retained only in provenance
global:211717c829ddc1d58178	global		余ったデスティニージェムは、アイテムリスト画面と@魔力解放画面でマギアチップに交換できます	resolved-by-higher-authority	false	可以在道具列表页面和魔力解放页面@将多余的命运宝石转换为魔法晶片	official_cn_dump	"[{""candidate_cn"":""可以在道具列表页面和魔力解放页面@将多余的命运宝石转换为魔法晶片"",""authority"":""official_cn_dump"",""weight"":500,""source"":""i18n/reviewed-candidates.tsv:21""},{""candidate_cn"":""多余的命运宝石@可以在道具列表界面和@魔力解放界面交换成魔法碎片"",""authority"":""legacy_unverified_ai_assisted"",""weight"":200,""source"":""i18n/frontend-strings.tsv:889""}]"	lower-weight candidate retained only in provenance
