file	line	original_text	final_cn	category	source	risk
magica/js/test/Backdoor.js	581	受取完了	领取完成	static_ui_manual_review	Pass16 peer rules, personally re-reviewed	low
magica/js/test/Backdoor.js	656	受取完了	领取完成	static_ui_manual_review	Pass16 peer rules, personally re-reviewed	low
magica/js/test/Backdoor.js	716	受取完了	领取完成	static_ui_manual_review	Pass16 peer rules, personally re-reviewed	low
magica/js/test/BackdoorList.js	65	是否要重置战斗博物馆的回复功能？<br>eventId：<input id='inputEventId' class='commonFrame3' readonly='readonly' type='text' maxlength='4' value=''>	是否重置战斗博物馆的回复功能？<br>eventId：<input id='inputEventId' class='commonFrame3' readonly='readonly' type='text' maxlength='4' value=''>	static_ui_manual_review	Pass16 peer rules, personally re-reviewed	medium
magica/js/test/BackdoorList.js	414	剧情任务打开调试模式。<br>请重新启动应用程序以将其关闭。	已启用剧情关卡调试模式。<br>要关闭此模式，请重新启动应用。	static_ui_manual_review	Pass16 peer rules, personally re-reviewed	low
magica/js/test/BackdoorList.js	424	挑战任务打开调试模式。<br>请重新启动应用程序以将其关闭。	已启用挑战关卡调试模式。<br>要关闭此模式，请重新启动应用。	static_ui_manual_review	Pass16 peer rules, personally re-reviewed	low
magica/js/test/BackdoorList.js	99	用户 已在搜索服务器上注册。<br>过一会儿，你就可以搜索了。 （最多 15 分钟）	已在搜索服务器注册用户。<br>稍候即可搜索（最长需15分钟）。	static_ui_manual_review	Pass16 peer rules, personally re-reviewed	low
magica/js/test/BackdoorList.js	118	要执行此操作，甲板 1 必须是单个 Iroha 甲板。<br>有需要。	要执行此操作，队伍１必须<br>设为「仅含环彩羽的单人队伍」。	static_ui_manual_review	Pass16 peer rules, personally re-reviewed	medium
magica/js/test/BackdoorList.js	282	 ★试用测试★%0a https://twitter.com/	 ★测试推文★%0a https://twitter.com/	static_ui_manual_review	Pass16 peer rules, personally re-reviewed	medium
magica/js/test/BackdoorList.js	76	战斗 博物馆的 回复 功能已重置	已重置战斗博物馆的回复功能	static_ui_manual_review	Pass16 peer rules, personally re-reviewed	medium
magica/js/test/BackdoorList.js	558	锁定的product_id列表<br>	处于锁定状态的product_id列表<br>	static_ui_manual_review	Pass16 peer rules, personally re-reviewed	low
magica/js/test/BackdoorList.js	282	/照片/1%0a★试听课★	/photo/1%0a★测试推文★	static_ui_manual_review	Pass16 peer rules, personally re-reviewed	medium
magica/js/test/BackdoorList.js	146	通关 直至第 2 部分第 11 章。	将第二部至第11章一键通关。	static_ui_manual_review	Pass16 peer rules, personally re-reviewed	low
magica/js/test/BackdoorList.js	503	地下城 活动 已过时。	当前不在地下城活动开放期间。	static_ui_manual_review	Pass16 peer rules, personally re-reviewed	medium
magica/js/test/BackdoorList.js	220	TU999已注册。	已注册TU999。	static_ui_manual_review	Pass16 peer rules, personally re-reviewed	low
magica/js/test/BackdoorList.js	200	已被注册。	已注册。	static_ui_manual_review	Pass16 peer rules, personally re-reviewed	low
magica/js/test/BackdoorList.js	486	地牢 1	地下城1	static_ui_manual_review	Pass16 peer rules, personally re-reviewed	medium
magica/js/test/BackdoorQuestList.js	198	” 是 <span class='c_red'>	」还差 <span class='c_red'>	static_ui_manual_review	Pass16 peer rules, personally re-reviewed	medium
magica/js/test/BackdoorQuestList.js	198	缺少	</span> 个	static_ui_manual_review	Pass16 peer rules, personally re-reviewed	medium
magica/js/test/BackdoorQuestList.js	73	亚历山大海市蜃楼	亚历山德里亚的蜃楼篇	static_ui_manual_review	Pass16 peer rules, personally re-reviewed	low
magica/js/test/BackdoorQuestList.js	81	藏罗刹版	藏地的罗刹女篇	static_ui_manual_review	Pass16 peer rules, personally re-reviewed	low
magica/js/test/BackdoorQuestList.js	77	维克的瓦尔基里版	维京的女武神篇	static_ui_manual_review	Pass16 peer rules, personally re-reviewed	low
magica/js/test/BackdoorQuestList.js	90	罗马和平之情人版	罗马治世的恋人篇	static_ui_manual_review	Pass16 peer rules, personally re-reviewed	low
magica/js/test/BackdoorQuestList.js	85	邪马台国的踪迹	邪马台国的后嗣篇	static_ui_manual_review	Pass16 peer rules, personally re-reviewed	low
magica/js/test/BackdoorQuestList.js	69	神滨战神版	神滨的战神子篇	static_ui_manual_review	Pass16 peer rules, personally re-reviewed	low
magica/js/test/NativeSandBox.js	124	请在输入字段中输入 userQuestBattleResultId。	请在输入框中输入userQuestBattleResultId。	static_ui_manual_review	Pass16 peer rules, personally re-reviewed	low
magica/js/view/memoria/PieceArchiveView.js	31	保管庫移動可能:	可移入保管库:	static_ui_manual_review	Pass16 peer rules, personally re-reviewed	low
magica/js/view/memoria/PieceArchiveView.js	31	所持枠移動可能:	可移入持有格:	static_ui_manual_review	Pass16 peer rules, personally re-reviewed	low
magica/js/view/memoria/PieceArchiveView.js	24	送至保管库	移至保管库	static_ui_manual_review	Pass16 peer rules, personally re-reviewed	low
magica/js/view/memoria/PieceArchiveView.js	27	送至一览	移至持有格	static_ui_manual_review	Pass16 peer rules, personally re-reviewed	low
magica/js/view/memoria/PieceArchiveView.js	23	所持枠	持有格	static_ui_manual_review	Pass16 peer rules, personally re-reviewed	low
magica/js/view/memoria/PieceArchiveView.js	34	保管庫	保管库	static_ui_manual_review	Pass16 peer rules, personally re-reviewed	low
magica/js/view/memoria/PieceArchiveView.js	35	保管庫	保管库	static_ui_manual_review	Pass16 peer rules, personally re-reviewed	low
