record_id	component	scope	file	stable_key_or_line	field	original_text	current_cn	suggested_cn	product_or_reference_location	source_tier	source_bucket	evidence_path_or_key	machine_translated	confidence	review_status	japanese_or_source_original	missing_original_reason	provenance_class	source_stage	source_batch	source_author	is_machine_translation	runtime_consumed	highest_authority_tier	highest_authority_match	authority_status	risk	issue_type	manual_review_status	evidence	notes
MT-02966	runtime_changed_after_pass15	runtime_dictionary	magica/js/libs/charaMessageList.json	1040|1	message	"旅する調整屋の一人、篠目ヨヅルです。先生
に誘われて調整屋となりました。魔法少女
としてはあまりに非力で、生きる力のなか
った私に先生は生きる道を示してくれまし
た。調整屋としての経験は、まだまだ浅い
ですが、誇りをもってあなたのソウルジェ
ムをお預かりします"	"我是旅行调整屋之一，篠目夜鹤。
受老师邀请，我成为了调整屋。
作为魔法少女，我实在太过弱小，
甚至没有活下去的力量，
是老师为我指明了生存之路。
虽然我作为调整屋还缺乏经验，
但我会怀着自豪，替您保管灵魂宝石。"	"我是旅行调整屋之一，篠目夜鹤。
受老师邀请，我成为了调整屋。
作为魔法少女，我实在太过弱小，
甚至没有活下去的力量，
是老师为我指明了生存之路。
虽然我作为调整屋还缺乏经验，
但我会怀着自豪，替您保管灵魂宝石。"	magica/js/libs/charaMessageList.json#1040|1/message	1_official_cn_dump_component	official	magica/i18n_audit/wiki_authority_pass15_final/remaining_residual_8959.tsv:71;magica/i18n_audit/release_v26_authority/manual_review_checklist.tsv;A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/cardList.json/10404/cardName	false	high	authority-applied-pending-human-check	"旅する調整屋の一人、篠目ヨヅルです。先生
に誘われて調整屋となりました。魔法少女
としてはあまりに非力で、生きる力のなか
った私に先生は生きる道を示してくれまし
た。調整屋としての経験は、まだまだ浅い
ですが、誇りをもってあなたのソウルジェ
ムをお預かりします"		pass8_llm_or_other_replaced_by_higher_authority	1_official_cn_dump_component	pass8-llm-or-other	individual translator/author not recorded in pass8 provenance	historical_llm_or_other_replaced	true; embedded runtime dictionary	1_official_cn_dump_component	"我是旅行调整屋之一，篠目夜鹤。
受老师邀请，我成为了调整屋。
作为魔法少女，我实在太过弱小，
甚至没有活下去的力量，
是老师为我指明了生存之路。
虽然我作为调整屋还缺乏经验，
但我会怀着自豪，替您保管灵魂宝石。"	higher_authority_applied	high	unverified_llm_or_other_narrative	authority-applied-pending-human-check	magica/i18n_audit/wiki_authority_pass15_final/remaining_residual_8959.tsv:71;magica/i18n_audit/release_v26_authority/manual_review_checklist.tsv;A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/cardList.json/10404/cardName	llm_or_other 是历史来源桶，未证明使用传统机翻；current_partition=higher_authority_applied
MT-02967	runtime_changed_after_pass15	runtime_dictionary	magica/js/libs/charaMessageList.json	1040|14	message	"大変喜ばしいですが…これで満足してはいけ
ませんね"	"这确实非常值得高兴…
…但不能就此满足。"	needs-review/root-translation-required	magica/js/libs/charaMessageList.json#1040|14/message	none_exact_found	unknown	magica/i18n_audit/wiki_authority_pass15_final/remaining_residual_8959.tsv:84;magica/i18n_audit/release_v26_authority/machine_translation_review/inputs/pass8_field_provenance_reconstructed.tsv.gz;magica/js/libs/charaMessageList.json	unknown	low	pending	"大変喜ばしいですが…これで満足してはいけ
ませんね"		pass8_llm_or_other_unverified	pass15_remaining_residual	pass8-llm-or-other	individual translator/author not recorded in pass8 provenance	unknown_llm_or_other; traditional_mt_not_proven	true; embedded runtime dictionary	none_exact_found		official_dump_absent_and_no_closed_wiki_pair	high	unverified_llm_or_other_narrative	pending	magica/i18n_audit/wiki_authority_pass15_final/remaining_residual_8959.tsv:84;magica/i18n_audit/release_v26_authority/machine_translation_review/inputs/pass8_field_provenance_reconstructed.tsv.gz;magica/js/libs/charaMessageList.json	llm_or_other 是历史来源桶，未证明使用传统机翻；current_partition=linebreak_serialization_normalized;仅换行序列化变化，语义来源仍需校验
MT-02968	runtime_changed_after_pass15	runtime_dictionary	magica/js/libs/charaMessageList.json	1040|16	message	"先生に出会った時の私は、すべてを諦め、死
すら受け入れたところでした。先生は私に
、生きる手段と意義を与えてくれました"	"遇见老师时，我已经放弃了一切，
甚至接受了死亡。
是老师给予了我活下去的方法与意义。"	needs-review/root-translation-required	magica/js/libs/charaMessageList.json#1040|16/message	none_exact_found	unknown	magica/i18n_audit/wiki_authority_pass15_final/remaining_residual_8959.tsv:86;magica/i18n_audit/release_v26_authority/machine_translation_review/inputs/pass8_field_provenance_reconstructed.tsv.gz;magica/js/libs/charaMessageList.json	unknown	low	pending	"先生に出会った時の私は、すべてを諦め、死
すら受け入れたところでした。先生は私に
、生きる手段と意義を与えてくれました"		pass8_llm_or_other_unverified	pass15_remaining_residual	pass8-llm-or-other	individual translator/author not recorded in pass8 provenance	unknown_llm_or_other; traditional_mt_not_proven	true; embedded runtime dictionary	none_exact_found		official_dump_absent_and_no_closed_wiki_pair	high	unverified_llm_or_other_narrative	pending	magica/i18n_audit/wiki_authority_pass15_final/remaining_residual_8959.tsv:86;magica/i18n_audit/release_v26_authority/machine_translation_review/inputs/pass8_field_provenance_reconstructed.tsv.gz;magica/js/libs/charaMessageList.json	llm_or_other 是历史来源桶，未证明使用传统机翻；current_partition=linebreak_serialization_normalized;仅换行序列化变化，语义来源仍需校验
MT-02969	runtime_changed_after_pass15	runtime_dictionary	magica/js/libs/charaMessageList.json	1040|17	message	"先生から誘いを受け、神浜で活動することに
しました。神浜に興味があったとか、特に
そういうことはありません。誘われたから
来ました"	"受到老师邀请后，
我决定在神滨活动。
并不是因为我对神滨特别感兴趣，
只是因为老师邀请了我，所以我来了。"	needs-review/root-translation-required	magica/js/libs/charaMessageList.json#1040|17/message	none_exact_found	unknown	magica/i18n_audit/wiki_authority_pass15_final/remaining_residual_8959.tsv:87;magica/i18n_audit/release_v26_authority/machine_translation_review/inputs/pass8_field_provenance_reconstructed.tsv.gz;magica/js/libs/charaMessageList.json	unknown	low	pending	"先生から誘いを受け、神浜で活動することに
しました。神浜に興味があったとか、特に
そういうことはありません。誘われたから
来ました"		pass8_llm_or_other_unverified	pass15_remaining_residual	pass8-llm-or-other	individual translator/author not recorded in pass8 provenance	unknown_llm_or_other; traditional_mt_not_proven	true; embedded runtime dictionary	none_exact_found		official_dump_absent_and_no_closed_wiki_pair	high	unverified_llm_or_other_narrative	pending	magica/i18n_audit/wiki_authority_pass15_final/remaining_residual_8959.tsv:87;magica/i18n_audit/release_v26_authority/machine_translation_review/inputs/pass8_field_provenance_reconstructed.tsv.gz;magica/js/libs/charaMessageList.json	llm_or_other 是历史来源桶，未证明使用传统机翻；current_partition=linebreak_serialization_normalized;仅换行序列化变化，语义来源仍需校验
MT-02970	runtime_changed_after_pass15	runtime_dictionary	magica/js/libs/charaMessageList.json	1040|18	message	"先生は私を利用しているだけなのかもしれま
せん。でも、それでいいのです。それを受
け入れて、私は先生のために尽力します"	"老师或许只是在利用我。
但那样也没关系。我接受这一点，
并会为了老师竭尽全力。"	needs-review/root-translation-required	magica/js/libs/charaMessageList.json#1040|18/message	none_exact_found	unknown	magica/i18n_audit/wiki_authority_pass15_final/remaining_residual_8959.tsv:88;magica/i18n_audit/release_v26_authority/machine_translation_review/inputs/pass8_field_provenance_reconstructed.tsv.gz;magica/js/libs/charaMessageList.json	unknown	low	pending	"先生は私を利用しているだけなのかもしれま
せん。でも、それでいいのです。それを受
け入れて、私は先生のために尽力します"		pass8_llm_or_other_unverified	pass15_remaining_residual	pass8-llm-or-other	individual translator/author not recorded in pass8 provenance	unknown_llm_or_other; traditional_mt_not_proven	true; embedded runtime dictionary	none_exact_found		official_dump_absent_and_no_closed_wiki_pair	high	unverified_llm_or_other_narrative	pending	magica/i18n_audit/wiki_authority_pass15_final/remaining_residual_8959.tsv:88;magica/i18n_audit/release_v26_authority/machine_translation_review/inputs/pass8_field_provenance_reconstructed.tsv.gz;magica/js/libs/charaMessageList.json	llm_or_other 是历史来源桶，未证明使用传统机翻；current_partition=linebreak_serialization_normalized;仅换行序列化变化，语义来源仍需校验
MT-02971	runtime_changed_after_pass15	runtime_dictionary	magica/js/libs/charaMessageList.json	1040|2	message	"こんにちは、篠目ヨヅルと申します。中央区
で調整屋を営んでおります。来店された暁
には、おいしいスイーツでおもてなしさせ
てください"	"您好，我叫篠目夜鹤，
在中央区经营调整屋。
您光临时，
请允许我用美味甜点款待您。"	"您好，我叫篠目夜鹤，
在中央区经营调整屋。
您光临时，
请允许我用美味甜点款待您。"	magica/js/libs/charaMessageList.json#1040|2/message	1_official_cn_dump_component	official	magica/i18n_audit/wiki_authority_pass15_final/remaining_residual_8959.tsv:72;magica/i18n_audit/release_v26_authority/manual_review_checklist.tsv;A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/cardList.json/10404/cardName	false	high	authority-applied-pending-human-check	"こんにちは、篠目ヨヅルと申します。中央区
で調整屋を営んでおります。来店された暁
には、おいしいスイーツでおもてなしさせ
てください"		pass8_llm_or_other_replaced_by_higher_authority	1_official_cn_dump_component	pass8-llm-or-other	individual translator/author not recorded in pass8 provenance	historical_llm_or_other_replaced	true; embedded runtime dictionary	1_official_cn_dump_component	"您好，我叫篠目夜鹤，
在中央区经营调整屋。
您光临时，
请允许我用美味甜点款待您。"	higher_authority_applied	high	unverified_llm_or_other_narrative	authority-applied-pending-human-check	magica/i18n_audit/wiki_authority_pass15_final/remaining_residual_8959.tsv:72;magica/i18n_audit/release_v26_authority/manual_review_checklist.tsv;A:\magireco_cn_dump_20221010_decrypted_json\authority\authority.json#/cardList.json/10404/cardName	llm_or_other 是历史来源桶，未证明使用传统机翻；current_partition=higher_authority_applied
MT-02972	runtime_changed_after_pass15	runtime_dictionary	magica/js/libs/charaMessageList.json	1040|21	message	"今まで限界だと思っていた力に、まだ上があ
ったのですね。この誤算はすごくうれしい
です。私はまだ、死ぬわけにはいきません
ので。"	"我曾以为已经到达极限的力量，
原来还有更高的境界。
这个误算让我非常高兴。
毕竟我还不能死。"	needs-review/root-translation-required	magica/js/libs/charaMessageList.json#1040|21/message	none_exact_found	unknown	magica/i18n_audit/wiki_authority_pass15_final/remaining_residual_8959.tsv:91;magica/i18n_audit/release_v26_authority/machine_translation_review/inputs/pass8_field_provenance_reconstructed.tsv.gz;magica/js/libs/charaMessageList.json	unknown	low	pending	"今まで限界だと思っていた力に、まだ上があ
ったのですね。この誤算はすごくうれしい
です。私はまだ、死ぬわけにはいきません
ので。"		pass8_llm_or_other_unverified	pass15_remaining_residual	pass8-llm-or-other	individual translator/author not recorded in pass8 provenance	unknown_llm_or_other; traditional_mt_not_proven	true; embedded runtime dictionary	none_exact_found		official_dump_absent_and_no_closed_wiki_pair	high	unverified_llm_or_other_narrative	pending	magica/i18n_audit/wiki_authority_pass15_final/remaining_residual_8959.tsv:91;magica/i18n_audit/release_v26_authority/machine_translation_review/inputs/pass8_field_provenance_reconstructed.tsv.gz;magica/js/libs/charaMessageList.json	llm_or_other 是历史来源桶，未证明使用传统机翻；current_partition=linebreak_serialization_normalized;仅换行序列化变化，语义来源仍需校验
MT-02973	runtime_changed_after_pass15	runtime_dictionary	magica/js/libs/charaMessageList.json	1040|22	message	"…また、力を得てしまいました…。嬉しいと
思う反面、怖いという想いもあります。な
ぜなら私は…力に溺れてしまった人間なの
で…。ですが、もう絶対に溺れません。私
はもう孤独ではないので"	"……我又获得了力量……。
我感到高兴，却也有些恐惧。
因为我……曾经是一个沉溺于力量的人…
…。但我绝不会再次沉溺。
我已经不再孤独了。"	needs-review/root-translation-required	magica/js/libs/charaMessageList.json#1040|22/message	none_exact_found	unknown	magica/i18n_audit/wiki_authority_pass15_final/remaining_residual_8959.tsv:92;magica/i18n_audit/release_v26_authority/machine_translation_review/inputs/pass8_field_provenance_reconstructed.tsv.gz;magica/js/libs/charaMessageList.json	unknown	low	pending	"…また、力を得てしまいました…。嬉しいと
思う反面、怖いという想いもあります。な
ぜなら私は…力に溺れてしまった人間なの
で…。ですが、もう絶対に溺れません。私
はもう孤独ではないので"		pass8_llm_or_other_unverified	pass15_remaining_residual	pass8-llm-or-other	individual translator/author not recorded in pass8 provenance	unknown_llm_or_other; traditional_mt_not_proven	true; embedded runtime dictionary	none_exact_found		official_dump_absent_and_no_closed_wiki_pair	high	unverified_llm_or_other_narrative	pending	magica/i18n_audit/wiki_authority_pass15_final/remaining_residual_8959.tsv:92;magica/i18n_audit/release_v26_authority/machine_translation_review/inputs/pass8_field_provenance_reconstructed.tsv.gz;magica/js/libs/charaMessageList.json	llm_or_other 是历史来源桶，未证明使用传统机翻；current_partition=linebreak_serialization_normalized;仅换行序列化变化，语义来源仍需校验
MT-02974	runtime_changed_after_pass15	runtime_dictionary	magica/js/libs/charaMessageList.json	1040|23	message	"死ぬわけにはいかないと強く生きてきました
が、かといって将来の目標があるわけでも
ないのです。でも、私は私の存在意義のた
めに、日々精進していきます。なのでグリ
ーフシードはぜひ、ピュエラケアへ！"	"我一直怀着“绝不能死”的念头坚强地活着，
却也没有明确的未来目标。不过，
为了证明我存在的意义，我会每天努力精进。
所以拿到悲叹之种后，
请务必来 Puella Care！"	needs-review/root-translation-required	magica/js/libs/charaMessageList.json#1040|23/message	none_exact_found	unknown	magica/i18n_audit/wiki_authority_pass15_final/remaining_residual_8959.tsv:93;magica/i18n_audit/release_v26_authority/machine_translation_review/inputs/pass8_field_provenance_reconstructed.tsv.gz;magica/js/libs/charaMessageList.json	unknown	low	pending	"死ぬわけにはいかないと強く生きてきました
が、かといって将来の目標があるわけでも
ないのです。でも、私は私の存在意義のた
めに、日々精進していきます。なのでグリ
ーフシードはぜひ、ピュエラケアへ！"		pass8_llm_or_other_unverified	pass15_remaining_residual	pass8-llm-or-other	individual translator/author not recorded in pass8 provenance	unknown_llm_or_other; traditional_mt_not_proven	true; embedded runtime dictionary	none_exact_found		official_dump_absent_and_no_closed_wiki_pair	high	unverified_llm_or_other_narrative	pending	magica/i18n_audit/wiki_authority_pass15_final/remaining_residual_8959.tsv:93;magica/i18n_audit/release_v26_authority/machine_translation_review/inputs/pass8_field_provenance_reconstructed.tsv.gz;magica/js/libs/charaMessageList.json	llm_or_other 是历史来源桶，未证明使用传统机翻；current_partition=linebreak_serialization_normalized;仅换行序列化变化，语义来源仍需校验
MT-02975	runtime_changed_after_pass15	runtime_dictionary	magica/js/libs/charaMessageList.json	1040|24	message	"今日も来てくれたのですね。さ、こちらへど
うぞ。部屋の温度は快適でしょうか？ご要
望があればなんなりと申し付けください"	"今天也来看我了呢。来，
请到这边。房间温度还舒适吗？
若有任何要求，请尽管吩咐。"	needs-review/root-translation-required	magica/js/libs/charaMessageList.json#1040|24/message	none_exact_found	unknown	magica/i18n_audit/wiki_authority_pass15_final/remaining_residual_8959.tsv:94;magica/i18n_audit/release_v26_authority/machine_translation_review/inputs/pass8_field_provenance_reconstructed.tsv.gz;magica/js/libs/charaMessageList.json	unknown	low	pending	"今日も来てくれたのですね。さ、こちらへど
うぞ。部屋の温度は快適でしょうか？ご要
望があればなんなりと申し付けください"		pass8_llm_or_other_unverified	pass15_remaining_residual	pass8-llm-or-other	individual translator/author not recorded in pass8 provenance	unknown_llm_or_other; traditional_mt_not_proven	true; embedded runtime dictionary	none_exact_found		official_dump_absent_and_no_closed_wiki_pair	high	unverified_llm_or_other_narrative	pending	magica/i18n_audit/wiki_authority_pass15_final/remaining_residual_8959.tsv:94;magica/i18n_audit/release_v26_authority/machine_translation_review/inputs/pass8_field_provenance_reconstructed.tsv.gz;magica/js/libs/charaMessageList.json	llm_or_other 是历史来源桶，未证明使用传统机翻；current_partition=linebreak_serialization_normalized;仅换行序列化变化，语义来源仍需校验
