source_index	item_id	origin_record_id	stable_business_key	source_path	source_key	source_field	source_text_sha256	old_cn_sha256	source_tier	source_author	source_stage	source_batch	source_bucket	machine_translated	review_kind	allowed_action	protected_authority_text	highest_authority_tier	authority_status	authority_evidence	official_cn	wiki_cn	confirmed_human_cn	parent_verdict	model	effort	session_id	job_id	agents	review_provenance	previous_low_standard_ds_result
1	LOW-MT-00307	MT-00307	i18n/fragments.tsv#122a686ee9ab1526fc3ba234/candidate_cn	i18n/fragments.tsv	122a686ee9ab1526fc3ba234	candidate_cn	d5234c18106742af0c98b386d7d65d8bb94b2a6f9362d0992276f0728d44c1eb	a90d0f23e3e685f4dd1888985a8304f2ba8beba7b118aa4169728897bdbbdd6e		unknown mixed human/model authorship	fragment	legacy-unverified-mixed-patch	legacy-ai	unknown	current-low-tier-translation-review	review-and-stage-low-tier-only	false	legacy_unverified_ai_assisted	no_per_entry_official_or_wiki_pair	i18n/generated/input-provenance.tsv:22;path-specific human/model patch without per-entry review provenance;commit=				approved	deepseek-v4-flash(inherited)	max(worker-gate)	030067c0-b1e1-418e-aabd-ce7c4f165ebe	ds-20260811T152520Z-3b87cff31629	"{""confirmed_human_provenance_protection"": ""adde9be5912eea5e3"", ""hiiraginemu_wiki_comparison"": ""ad512fdfb2c405bb3"", ""japanese_semantics_context"": ""ab36f424bee840f58"", ""names_honorifics_terms_placeholders_format"": ""a81f18e67f03fc0ba"", ""official_cn_comparison"": ""a9b8e796d38ece20a""}"	"{""adjustments"": [], ""source_v2_atomic_history"": ""failed"", ""source_v2_atomicity_claimed"": false, ""source_v2_batch"": 1, ""source_v2_effort"": ""max(worker-gate)"", ""source_v2_job_id"": ""ds-20260811T152520Z-3b87cff31629"", ""source_v2_model"": ""deepseek-v4-flash(inherited)"", ""source_v2_review_line_number"": 1, ""source_v2_review_line_sha256"": ""006ab1f752b37d98a0708720da0e12ceab5cafd0d32d7d1ed06fff09d3c1cd8f"", ""source_v2_role_agents"": {""confirmed_human_provenance_protection"": ""adde9be5912eea5e3"", ""hiiraginemu_wiki_comparison"": ""ad512fdfb2c405bb3"", ""japanese_semantics_context"": ""ab36f424bee840f58"", ""names_honorifics_terms_placeholders_format"": ""a81f18e67f03fc0ba"", ""official_cn_comparison"": ""a9b8e796d38ece20a""}, ""source_v2_role_line_number"": 1, ""source_v2_role_line_sha256"": ""2c653400f8e03f338d1314d1f893f1edeadfeb1455b23155908d0e7c2d9264ed"", ""source_v2_session_id"": ""030067c0-b1e1-418e-aabd-ce7c4f165ebe""}"	"{""batch_id"": ""worker-01-batch-001"", ""confidence"": ""high"", ""issues"": [], ""rationale"": ""语义一致：使用[N][单位]的[道具名]进行[N]次扭蛋开抽。所有占位符、span 标签、\\n\\t\\t、转义引号及句末标点均原样保留。CN 将语序调整为「使用…开抽…次扭蛋」，符合中文表达习惯，无语义损失。"", ""result_file_sha256"": ""7cf737ff994fabfbcff618689aff7907a8101658987818b95f139c27ca75aacd"", ""suggested_cn"": """", ""verdict"": ""approved""}"
2	LOW-MT-00308	MT-00308	i18n/fragments.tsv#22f5f26e0ae24f081bac495a/candidate_cn	i18n/fragments.tsv	22f5f26e0ae24f081bac495a	candidate_cn	13d712dff9c427c0d4272f213f99f47a0f671e287d5f3f1110ae1ea83c02b01f	7e5e78d0bc03a132f4194aaa0b0468c6831470a294906a2caa495ba4e8d6c35d		unknown mixed human/model authorship	fragment	legacy-unverified-mixed-patch	legacy-ai	unknown	current-low-tier-translation-review	review-and-stage-low-tier-only	false	legacy_unverified_ai_assisted	no_per_entry_official_or_wiki_pair	i18n/generated/input-provenance.tsv:24;path-specific human/model patch without per-entry review provenance;commit=				approved	deepseek-v4-flash(inherited)	max(worker-gate)	030067c0-b1e1-418e-aabd-ce7c4f165ebe	ds-20260811T152520Z-3b87cff31629	"{""confirmed_human_provenance_protection"": ""adde9be5912eea5e3"", ""hiiraginemu_wiki_comparison"": ""ad512fdfb2c405bb3"", ""japanese_semantics_context"": ""ab36f424bee840f58"", ""names_honorifics_terms_placeholders_format"": ""a81f18e67f03fc0ba"", ""official_cn_comparison"": ""a9b8e796d38ece20a""}"	"{""adjustments"": [], ""source_v2_atomic_history"": ""failed"", ""source_v2_atomicity_claimed"": false, ""source_v2_batch"": 1, ""source_v2_effort"": ""max(worker-gate)"", ""source_v2_job_id"": ""ds-20260811T152520Z-3b87cff31629"", ""source_v2_model"": ""deepseek-v4-flash(inherited)"", ""source_v2_review_line_number"": 2, ""source_v2_review_line_sha256"": ""8d46f6f1c156b3130b3de96d61ea77590a634ea3941a3c742a7efe0cf726c85a"", ""source_v2_role_agents"": {""confirmed_human_provenance_protection"": ""adde9be5912eea5e3"", ""hiiraginemu_wiki_comparison"": ""ad512fdfb2c405bb3"", ""japanese_semantics_context"": ""ab36f424bee840f58"", ""names_honorifics_terms_placeholders_format"": ""a81f18e67f03fc0ba"", ""official_cn_comparison"": ""a9b8e796d38ece20a""}, ""source_v2_role_line_number"": 2, ""source_v2_role_line_sha256"": ""45ae3edc757ca66e77d725201e82907dfc78a9c3a714f78d39e8f6d66dbbe06c"", ""source_v2_session_id"": ""030067c0-b1e1-418e-aabd-ce7c4f165ebe""}"	"{""batch_id"": ""worker-02-batch-001"", ""confidence"": ""high"", ""issues"": [], ""rationale"": ""日文源本身含中文词（镜界排位赛/1张/1次），译文调整语序为自然中文，占位符 <%= model.attackCountInfo.itemName %>、数字、span 标签及 <br> 均完整保留，语义对应（使用1张道具可回复1次对战次数），通过。"", ""result_file_sha256"": ""8bfc0b6497a010ea068336a43f50effce308d65ed070db1165365661b45b0954"", ""suggested_cn"": ""使用<span class='c_pink'>1张</span><span class='c_pink'><%= model.attackCountInfo.itemName %></span><br> 即可回复<span class='c_pink'>1次</span>镜界排位赛的对战次数。"", ""verdict"": ""approved""}"
3	LOW-MT-00309	MT-00309	i18n/fragments.tsv#396e7b2bda3e22c6ecb02abf/candidate_cn	i18n/fragments.tsv	396e7b2bda3e22c6ecb02abf	candidate_cn	7813af696712aeda9942dbe7acfc37c838249e305ad594beaa0ddd1e64cc2626	cd28fa5157798a778d44c695d719d4ade7bfb270a1d2da24995d92ea72929ee4		unknown mixed human/model authorship	fragment	legacy-unverified-mixed-patch	legacy-ai	unknown	current-low-tier-translation-review	review-and-stage-low-tier-only	false	legacy_unverified_ai_assisted	no_per_entry_official_or_wiki_pair	i18n/generated/input-provenance.tsv:25;path-specific human/model patch without per-entry review provenance;commit=				approved	deepseek-v4-flash(inherited)	max(worker-gate)	030067c0-b1e1-418e-aabd-ce7c4f165ebe	ds-20260811T152520Z-3b87cff31629	"{""confirmed_human_provenance_protection"": ""adde9be5912eea5e3"", ""hiiraginemu_wiki_comparison"": ""ad512fdfb2c405bb3"", ""japanese_semantics_context"": ""ab36f424bee840f58"", ""names_honorifics_terms_placeholders_format"": ""a81f18e67f03fc0ba"", ""official_cn_comparison"": ""a9b8e796d38ece20a""}"	"{""adjustments"": [], ""source_v2_atomic_history"": ""failed"", ""source_v2_atomicity_claimed"": false, ""source_v2_batch"": 1, ""source_v2_effort"": ""max(worker-gate)"", ""source_v2_job_id"": ""ds-20260811T152520Z-3b87cff31629"", ""source_v2_model"": ""deepseek-v4-flash(inherited)"", ""source_v2_review_line_number"": 3, ""source_v2_review_line_sha256"": ""7a39669388945e00731206f904292240cc80248c68fbafe7d86ffbf173639f71"", ""source_v2_role_agents"": {""confirmed_human_provenance_protection"": ""adde9be5912eea5e3"", ""hiiraginemu_wiki_comparison"": ""ad512fdfb2c405bb3"", ""japanese_semantics_context"": ""ab36f424bee840f58"", ""names_honorifics_terms_placeholders_format"": ""a81f18e67f03fc0ba"", ""official_cn_comparison"": ""a9b8e796d38ece20a""}, ""source_v2_role_line_number"": 3, ""source_v2_role_line_sha256"": ""066cec714c7e921dcc3399a6b387e4b2ee023a3f03238e995ce86cf1b79ef016"", ""source_v2_session_id"": ""030067c0-b1e1-418e-aabd-ce7c4f165ebe""}"	"{""batch_id"": ""worker-02-batch-001"", ""confidence"": ""high"", ""issues"": [], ""rationale"": ""占位符 recoverNeedNum/numMax、span 与 <br> 完整保留，语义对应（使用N个魔法石回复M次对战次数）；「即将回复」改「即可回复」为轻微语气差异，中文自然且不改变功能含义，通过。"", ""result_file_sha256"": ""8bfc0b6497a010ea068336a43f50effce308d65ed070db1165365661b45b0954"", ""suggested_cn"": ""使用<span class='c_pink'><%= model.attackCountInfo.recoverNeedNum %>个</span><span class='c_pink'>魔法石</span><br> 即可回复<span class='c_pink'><%= model.attackCountInfo.numMax %>次</span>镜界排位赛的对战次数。"", ""verdict"": ""approved""}"
4	LOW-MT-00310	MT-00310	i18n/fragments.tsv#818c3524b0c94b4edee137a4/candidate_cn	i18n/fragments.tsv	818c3524b0c94b4edee137a4	candidate_cn	9954e8fc1993eadd3ea79a1d24024f32089665f30c69d91364cd226ac66c6cef	d203318ce5d521738d13068ae6758aa0856144f113a8a4d161f972094425b36e		unknown mixed human/model authorship	fragment	legacy-unverified-mixed-patch	legacy-ai	unknown	current-low-tier-translation-review	review-and-stage-low-tier-only	false	legacy_unverified_ai_assisted	no_per_entry_official_or_wiki_pair	i18n/generated/input-provenance.tsv:23;path-specific human/model patch without per-entry review provenance;commit=				approved	deepseek-v4-flash(inherited)	max(worker-gate)	030067c0-b1e1-418e-aabd-ce7c4f165ebe	ds-20260811T152520Z-3b87cff31629	"{""confirmed_human_provenance_protection"": ""adde9be5912eea5e3"", ""hiiraginemu_wiki_comparison"": ""ad512fdfb2c405bb3"", ""japanese_semantics_context"": ""ab36f424bee840f58"", ""names_honorifics_terms_placeholders_format"": ""a81f18e67f03fc0ba"", ""official_cn_comparison"": ""a9b8e796d38ece20a""}"	"{""adjustments"": [], ""source_v2_atomic_history"": ""failed"", ""source_v2_atomicity_claimed"": false, ""source_v2_batch"": 1, ""source_v2_effort"": ""max(worker-gate)"", ""source_v2_job_id"": ""ds-20260811T152520Z-3b87cff31629"", ""source_v2_model"": ""deepseek-v4-flash(inherited)"", ""source_v2_review_line_number"": 4, ""source_v2_review_line_sha256"": ""a104a22126e6b6405688999412d3591e0279a06eb1cc954fc87bcc816138b8d0"", ""source_v2_role_agents"": {""confirmed_human_provenance_protection"": ""adde9be5912eea5e3"", ""hiiraginemu_wiki_comparison"": ""ad512fdfb2c405bb3"", ""japanese_semantics_context"": ""ab36f424bee840f58"", ""names_honorifics_terms_placeholders_format"": ""a81f18e67f03fc0ba"", ""official_cn_comparison"": ""a9b8e796d38ece20a""}, ""source_v2_role_line_number"": 4, ""source_v2_role_line_sha256"": ""e6ed1fedc89d71fe19967dd0e3b7106d6608d110326f92628b2623f036a84cb0"", ""source_v2_session_id"": ""030067c0-b1e1-418e-aabd-ce7c4f165ebe""}"	"{""batch_id"": ""worker-02-batch-001"", ""confidence"": ""high"", ""issues"": [], ""rationale"": ""全部 ERB 表达式（item.name、subItemFlag 三元式、unit、displayTitle）与 span 结构逐字保留，中文语序重组后语义通顺（使用[数量][单位][道具]进行[标题]），通过。"", ""result_file_sha256"": ""8bfc0b6497a010ea068336a43f50effce308d65ed070db1165365661b45b0954"", ""suggested_cn"": ""使用<span class='c_pink'><%='<%= (model.userUseItem.subItemFlag) ? \""1\"" : model.needQuantity %\\>'%><%='<%= model.userUseItem.item.unit %\\>'%></span><span class='c_pink'><%='<%= model.userUseItem.item.name %\\>'%></span>进行<span class='c_pink'><%='<%= displayTitle %\\>'%></span>。"", ""verdict"": ""approved""}"
5	LOW-MT-00311	MT-00311	i18n/fragments.tsv#ac5e2560739c25efd68a23da/candidate_cn	i18n/fragments.tsv	ac5e2560739c25efd68a23da	candidate_cn	5772acf34b947b2a2feef0573e9e0d116597da99bf12218f1ee95e0203720517	41ceda220c977b035024543219111405717c4e4a510e09e291cbe945697bed79		unknown mixed human/model authorship	fragment	legacy-unverified-mixed-patch	legacy-ai	unknown	current-low-tier-translation-review	review-and-stage-low-tier-only	false	legacy_unverified_ai_assisted	no_per_entry_official_or_wiki_pair	i18n/generated/input-provenance.tsv:26;path-specific human/model patch without per-entry review provenance;commit=				approved	deepseek-v4-flash(inherited)	max(worker-gate)	030067c0-b1e1-418e-aabd-ce7c4f165ebe	ds-20260811T152520Z-3b87cff31629	"{""confirmed_human_provenance_protection"": ""adde9be5912eea5e3"", ""hiiraginemu_wiki_comparison"": ""ad512fdfb2c405bb3"", ""japanese_semantics_context"": ""ab36f424bee840f58"", ""names_honorifics_terms_placeholders_format"": ""a81f18e67f03fc0ba"", ""official_cn_comparison"": ""a9b8e796d38ece20a""}"	"{""adjustments"": [], ""source_v2_atomic_history"": ""failed"", ""source_v2_atomicity_claimed"": false, ""source_v2_batch"": 1, ""source_v2_effort"": ""max(worker-gate)"", ""source_v2_job_id"": ""ds-20260811T152520Z-3b87cff31629"", ""source_v2_model"": ""deepseek-v4-flash(inherited)"", ""source_v2_review_line_number"": 5, ""source_v2_review_line_sha256"": ""8582b6c49befb343da0eed5db3618a4c8a5d2a4071741916e6d74efc3b5746a8"", ""source_v2_role_agents"": {""confirmed_human_provenance_protection"": ""adde9be5912eea5e3"", ""hiiraginemu_wiki_comparison"": ""ad512fdfb2c405bb3"", ""japanese_semantics_context"": ""ab36f424bee840f58"", ""names_honorifics_terms_placeholders_format"": ""a81f18e67f03fc0ba"", ""official_cn_comparison"": ""a9b8e796d38ece20a""}, ""source_v2_role_line_number"": 5, ""source_v2_role_line_sha256"": ""bf91a71caf829bb7f5fb589d1ad5f0ba9be3fdaa01dd59a39ce1b6eeb8367e8b"", ""source_v2_session_id"": ""030067c0-b1e1-418e-aabd-ce7c4f165ebe""}"	"{""batch_id"": ""worker-01-batch-001"", ""confidence"": ""high"", ""issues"": [], ""rationale"": ""「使用[N]个魔法石」语义完整准确，占位符 <%= model.recoverNeedNum %> 与 span 标签保留，语序调整（数量+道具名）符合中文习惯。"", ""result_file_sha256"": ""7cf737ff994fabfbcff618689aff7907a8101658987818b95f139c27ca75aacd"", ""suggested_cn"": """", ""verdict"": ""approved""}"
6	LOW-MT-00312	MT-00312	i18n/fragments.tsv#c60449f00e5808817a945f37/candidate_cn	i18n/fragments.tsv	c60449f00e5808817a945f37	candidate_cn	11bb76bf1aa560e3b37d5736596619659ce58c84d96686b1ff620bd400832113	d13d2bb586b3b37444d4fd132fb97114f96051e346a1760445218b86e6365309		unknown mixed human/model authorship	fragment	legacy-unverified-mixed-patch	legacy-ai	unknown	current-low-tier-translation-review	review-and-stage-low-tier-only	false	legacy_unverified_ai_assisted	no_per_entry_official_or_wiki_pair	i18n/generated/input-provenance.tsv:27;path-specific human/model patch without per-entry review provenance;commit=				unresolved	deepseek-v4-flash(inherited)	max(worker-gate)	030067c0-b1e1-418e-aabd-ce7c4f165ebe	ds-20260811T152520Z-3b87cff31629	"{""confirmed_human_provenance_protection"": ""adde9be5912eea5e3"", ""hiiraginemu_wiki_comparison"": ""ad512fdfb2c405bb3"", ""japanese_semantics_context"": ""ab36f424bee840f58"", ""names_honorifics_terms_placeholders_format"": ""a81f18e67f03fc0ba"", ""official_cn_comparison"": ""a9b8e796d38ece20a""}"	"{""adjustments"": [], ""source_v2_atomic_history"": ""failed"", ""source_v2_atomicity_claimed"": false, ""source_v2_batch"": 1, ""source_v2_effort"": ""max(worker-gate)"", ""source_v2_job_id"": ""ds-20260811T152520Z-3b87cff31629"", ""source_v2_model"": ""deepseek-v4-flash(inherited)"", ""source_v2_review_line_number"": 6, ""source_v2_review_line_sha256"": ""9e547124ad3de7ac21b4fbeb764821ad9a36224962d5c61523b98628e47f65e8"", ""source_v2_role_agents"": {""confirmed_human_provenance_protection"": ""adde9be5912eea5e3"", ""hiiraginemu_wiki_comparison"": ""ad512fdfb2c405bb3"", ""japanese_semantics_context"": ""ab36f424bee840f58"", ""names_honorifics_terms_placeholders_format"": ""a81f18e67f03fc0ba"", ""official_cn_comparison"": ""a9b8e796d38ece20a""}, ""source_v2_role_line_number"": 6, ""source_v2_role_line_sha256"": ""72af267231562c5d6fbbafc3edf127dbff30506e141ddb89a6967fcb2b9921e5"", ""source_v2_session_id"": ""030067c0-b1e1-418e-aabd-ce7c4f165ebe""}"	"{""batch_id"": ""worker-02-batch-001"", ""confidence"": ""medium"", ""issues"": [""源为 JS 字符串拼接片段，删除助词「が」合理（中文无对应），但操作数顺序由 a+l+e 改为 a+e+l，l 与 e 互换无法在缺乏上下文时确认是否保持语义""], ""rationale"": ""源串 +c+\""が\""+a+l+e 为代码拼接片段，非完整语句；中文版删「が」可以接受，但操作数 l、e 被交换，缺少变量含义与使用场景上下文，无法核实顺序调整是否改变输出含义。按规则『上下文不足时判 unresolved 而非猜测』处理。"", ""result_file_sha256"": ""8bfc0b6497a010ea068336a43f50effce308d65ed070db1165365661b45b0954"", ""suggested_cn"": """", ""verdict"": ""unresolved""}"
7	LOW-MT-00313	MT-00313	i18n/fragments.tsv#d898bb14a2ec252e6e316cfd/candidate_cn	i18n/fragments.tsv	d898bb14a2ec252e6e316cfd	candidate_cn	70f65cb5be850c8381d532ac96796f058a8f76e52e6e9fa844dfe76f78b4c656	213232daddea8ed72aa5bfd4b8a8bf2dc435c456620167741548c45db8f28037		unknown mixed human/model authorship	fragment	legacy-unverified-mixed-patch	legacy-ai	unknown	current-low-tier-translation-review	review-and-stage-low-tier-only	false	legacy_unverified_ai_assisted	no_per_entry_official_or_wiki_pair	i18n/generated/input-provenance.tsv:21;path-specific human/model patch without per-entry review provenance;commit=				approved	deepseek-v4-flash(inherited)	max(worker-gate)	030067c0-b1e1-418e-aabd-ce7c4f165ebe	ds-20260811T152520Z-3b87cff31629	"{""confirmed_human_provenance_protection"": ""adde9be5912eea5e3"", ""hiiraginemu_wiki_comparison"": ""ad512fdfb2c405bb3"", ""japanese_semantics_context"": ""ab36f424bee840f58"", ""names_honorifics_terms_placeholders_format"": ""a81f18e67f03fc0ba"", ""official_cn_comparison"": ""a9b8e796d38ece20a""}"	"{""adjustments"": [], ""source_v2_atomic_history"": ""failed"", ""source_v2_atomicity_claimed"": false, ""source_v2_batch"": 1, ""source_v2_effort"": ""max(worker-gate)"", ""source_v2_job_id"": ""ds-20260811T152520Z-3b87cff31629"", ""source_v2_model"": ""deepseek-v4-flash(inherited)"", ""source_v2_review_line_number"": 7, ""source_v2_review_line_sha256"": ""eef61d2d0ec05e2f146db9e95a184e4fe91be5680447420aeb3bf231c2559e0a"", ""source_v2_role_agents"": {""confirmed_human_provenance_protection"": ""adde9be5912eea5e3"", ""hiiraginemu_wiki_comparison"": ""ad512fdfb2c405bb3"", ""japanese_semantics_context"": ""ab36f424bee840f58"", ""names_honorifics_terms_placeholders_format"": ""a81f18e67f03fc0ba"", ""official_cn_comparison"": ""a9b8e796d38ece20a""}, ""source_v2_role_line_number"": 7, ""source_v2_role_line_sha256"": ""791b7ef340c12270f5f4e6a2162e674bce4340c9ef9d30538994eaf57eb5fcac"", ""source_v2_session_id"": ""030067c0-b1e1-418e-aabd-ce7c4f165ebe""}"	"{""batch_id"": ""worker-01-batch-001"", ""confidence"": ""high"", ""issues"": [], ""rationale"": ""语义对应：使用[N][单位]道具使 [displayTitle] 进行中。所有占位符、标签与转义字符保留，中文通顺。"", ""result_file_sha256"": ""7cf737ff994fabfbcff618689aff7907a8101658987818b95f139c27ca75aacd"", ""suggested_cn"": """", ""verdict"": ""approved""}"
8	LOW-MT-00314	MT-00314	i18n/frontend-strings.tsv#0021943b11297d3885fffb41/candidate_cn	i18n/frontend-strings.tsv	0021943b11297d3885fffb41	candidate_cn	33f2e552303ef1ca6f9f3c40adb3e478462dec26b43da9aa8495dd23a350cb8a	5b8f0bf34065eea0f498815d6a093d7681d3a4673d8814bbf3420bc64bcf6f80		Kimi AI-assisted batch label; per-row human author not proven	global	legacy-kimi-ai-assisted	legacy-ai	ai-assisted-unverified	current-low-tier-translation-review	review-and-stage-low-tier-only	false	legacy_unverified_ai_assisted	no_per_entry_official_or_wiki_pair	i18n/generated/input-provenance.tsv:1394;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=7805a53c5b384cd48573d0d267220b0e80fb93f3				approved	deepseek-v4-flash(inherited)	max(worker-gate)	030067c0-b1e1-418e-aabd-ce7c4f165ebe	ds-20260811T152520Z-3b87cff31629	"{""confirmed_human_provenance_protection"": ""adde9be5912eea5e3"", ""hiiraginemu_wiki_comparison"": ""ad512fdfb2c405bb3"", ""japanese_semantics_context"": ""ab36f424bee840f58"", ""names_honorifics_terms_placeholders_format"": ""a81f18e67f03fc0ba"", ""official_cn_comparison"": ""a9b8e796d38ece20a""}"	"{""adjustments"": [], ""source_v2_atomic_history"": ""failed"", ""source_v2_atomicity_claimed"": false, ""source_v2_batch"": 1, ""source_v2_effort"": ""max(worker-gate)"", ""source_v2_job_id"": ""ds-20260811T152520Z-3b87cff31629"", ""source_v2_model"": ""deepseek-v4-flash(inherited)"", ""source_v2_review_line_number"": 8, ""source_v2_review_line_sha256"": ""383a65763878c0f3b607d10d5b0fe545da9e5242a29994ecb814ce866c0de57b"", ""source_v2_role_agents"": {""confirmed_human_provenance_protection"": ""adde9be5912eea5e3"", ""hiiraginemu_wiki_comparison"": ""ad512fdfb2c405bb3"", ""japanese_semantics_context"": ""ab36f424bee840f58"", ""names_honorifics_terms_placeholders_format"": ""a81f18e67f03fc0ba"", ""official_cn_comparison"": ""a9b8e796d38ece20a""}, ""source_v2_role_line_number"": 8, ""source_v2_role_line_sha256"": ""0aaba0fcc72cb17c0c9aeb82dc0490899f4a06301120062db5b6af5c286b4b34"", ""source_v2_session_id"": ""030067c0-b1e1-418e-aabd-ce7c4f165ebe""}"	"{""batch_id"": ""worker-01-batch-001"", ""confidence"": ""medium"", ""issues"": [], ""rationale"": ""解放日時（角色解放的日期时间）译为「解放时间」，为常见 UI 标签简写，语义可接受。"", ""result_file_sha256"": ""7cf737ff994fabfbcff618689aff7907a8101658987818b95f139c27ca75aacd"", ""suggested_cn"": """", ""verdict"": ""approved""}"
9	LOW-MT-00315	MT-00315	i18n/frontend-strings.tsv#002a8518d31ddb1425793804/candidate_cn	i18n/frontend-strings.tsv	002a8518d31ddb1425793804	candidate_cn	9e8e8ecb1de24ac36b9e262f506329821e5b8efb3cd980d60753d8ecfb0ee7b2	70494d0ea6c1c46ea7b48989c4f4adc057c8c63ef50cdee55ec678d2f8ab64d8		Kimi AI-assisted batch label; per-row human author not proven	global	legacy-kimi-ai-assisted	legacy-ai	ai-assisted-unverified	current-low-tier-translation-review	review-and-stage-low-tier-only	false	legacy_unverified_ai_assisted	no_per_entry_official_or_wiki_pair	i18n/generated/input-provenance.tsv:1181;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=f7d079e78fac968fa8c892ddd4bb638c062c9eb5				unresolved	deepseek-v4-flash(inherited)	max(worker-gate)	030067c0-b1e1-418e-aabd-ce7c4f165ebe	ds-20260811T152520Z-3b87cff31629	"{""confirmed_human_provenance_protection"": ""adde9be5912eea5e3"", ""hiiraginemu_wiki_comparison"": ""ad512fdfb2c405bb3"", ""japanese_semantics_context"": ""ab36f424bee840f58"", ""names_honorifics_terms_placeholders_format"": ""a81f18e67f03fc0ba"", ""official_cn_comparison"": ""a9b8e796d38ece20a""}"	"{""adjustments"": [], ""source_v2_atomic_history"": ""failed"", ""source_v2_atomicity_claimed"": false, ""source_v2_batch"": 1, ""source_v2_effort"": ""max(worker-gate)"", ""source_v2_job_id"": ""ds-20260811T152520Z-3b87cff31629"", ""source_v2_model"": ""deepseek-v4-flash(inherited)"", ""source_v2_review_line_number"": 9, ""source_v2_review_line_sha256"": ""1eb9477b7ab58edea973b10af7835928ce2060d2c4fa5432c3aa876788913cf5"", ""source_v2_role_agents"": {""confirmed_human_provenance_protection"": ""adde9be5912eea5e3"", ""hiiraginemu_wiki_comparison"": ""ad512fdfb2c405bb3"", ""japanese_semantics_context"": ""ab36f424bee840f58"", ""names_honorifics_terms_placeholders_format"": ""a81f18e67f03fc0ba"", ""official_cn_comparison"": ""a9b8e796d38ece20a""}, ""source_v2_role_line_number"": 9, ""source_v2_role_line_sha256"": ""710bce1b026afa292c8b7b35141b962e9a62ce64c8f7c957af1e3e39d2859ae4"", ""source_v2_session_id"": ""030067c0-b1e1-418e-aabd-ce7c4f165ebe""}"	"{""batch_id"": ""worker-01-batch-001"", ""confidence"": ""high"", ""issues"": [], ""rationale"": ""意思准确：「删除应用后数据将被初始化，请注意」。半角逗号为游戏文本常见风格，不构成问题。"", ""result_file_sha256"": ""7cf737ff994fabfbcff618689aff7907a8101658987818b95f139c27ca75aacd"", ""suggested_cn"": """", ""verdict"": ""approved""}"
10	LOW-MT-00316	MT-00316	i18n/frontend-strings.tsv#002d0fec3c21cad5e83711db/candidate_cn	i18n/frontend-strings.tsv	002d0fec3c21cad5e83711db	candidate_cn	953c201746699c0deff1f398f4fbe8d5e3f94edde58ffabb5fd91764616a96b2	78a93a8ac360238c488ef511f3e175b6d9cfb0e2f347e536222ec7473c3813c8		Kimi AI-assisted batch label; per-row human author not proven	global	legacy-kimi-ai-assisted	legacy-ai	ai-assisted-unverified	current-low-tier-translation-review	review-and-stage-low-tier-only	false	legacy_unverified_ai_assisted	no_per_entry_official_or_wiki_pair	i18n/generated/input-provenance.tsv:942;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=7805a53c5b384cd48573d0d267220b0e80fb93f3				approved	deepseek-v4-flash(inherited)	max(worker-gate)	030067c0-b1e1-418e-aabd-ce7c4f165ebe	ds-20260811T152520Z-3b87cff31629	"{""confirmed_human_provenance_protection"": ""adde9be5912eea5e3"", ""hiiraginemu_wiki_comparison"": ""ad512fdfb2c405bb3"", ""japanese_semantics_context"": ""ab36f424bee840f58"", ""names_honorifics_terms_placeholders_format"": ""a81f18e67f03fc0ba"", ""official_cn_comparison"": ""a9b8e796d38ece20a""}"	"{""adjustments"": [], ""source_v2_atomic_history"": ""failed"", ""source_v2_atomicity_claimed"": false, ""source_v2_batch"": 1, ""source_v2_effort"": ""max(worker-gate)"", ""source_v2_job_id"": ""ds-20260811T152520Z-3b87cff31629"", ""source_v2_model"": ""deepseek-v4-flash(inherited)"", ""source_v2_review_line_number"": 10, ""source_v2_review_line_sha256"": ""2b5dd1c9d063115958eec439913a8b8c148ad317a8738f0c17b77dfc8ecb7296"", ""source_v2_role_agents"": {""confirmed_human_provenance_protection"": ""adde9be5912eea5e3"", ""hiiraginemu_wiki_comparison"": ""ad512fdfb2c405bb3"", ""japanese_semantics_context"": ""ab36f424bee840f58"", ""names_honorifics_terms_placeholders_format"": ""a81f18e67f03fc0ba"", ""official_cn_comparison"": ""a9b8e796d38ece20a""}, ""source_v2_role_line_number"": 10, ""source_v2_role_line_sha256"": ""bc1f867d584a779b89e0b715e1bd620412ce6aa8967d2ee4f360b7d2a4f7912a"", ""source_v2_session_id"": ""030067c0-b1e1-418e-aabd-ce7c4f165ebe""}"	"{""batch_id"": ""worker-01-batch-001"", ""confidence"": ""high"", ""issues"": [], ""rationale"": ""「魔力解放确认」与原文「魔力解放確認」直译对应，术语准确。"", ""result_file_sha256"": ""7cf737ff994fabfbcff618689aff7907a8101658987818b95f139c27ca75aacd"", ""suggested_cn"": """", ""verdict"": ""approved""}"
