record_id	artifact_type	product_or_source_path	selection_status	structure_source	chinese_source_tier	chinese_evidence	selected_change	selection_reason	package_inclusion	notes
SEL-001	HTML	magica/template/arena/ArenaReward.html	selected-materialized	current product/live-US structure; absent from A capture	official-cn-cross-path	A:\magicaOLD\template\arena\ArenaReward.html and official Arena terminology	Level Up Rewards→等级提升报酬	visible English data-name drives the displayed tab title	yes	US/current markup is authoritative; only visible text is localized.
SEL-002	HTML	magica/template/card/CardSort.html	selected-materialized	A:\totentanz-frontend\template\card\CardSort.html	official-cn-direct/context	A:\magicaOLD\template\card\CardSort.html	visible sort/filter labels	shared structure with recoverable old-CN labels	yes	US/current markup is authoritative; only visible text is localized.
SEL-003	HTML	magica/template/chara/CharaCustomizePopup.html	selected-materialized	A:\totentanz-frontend\template\chara\CharaCustomizePopup.html	official-cn-direct/context	A:\magicaOLD\template\chara\CharaCustomizePopup.html	visible customization labels	shared structure with recoverable old-CN labels	yes	US/current markup is authoritative; only visible text is localized.
SEL-004	HTML	magica/template/collection/MagiRepo.html	selected-materialized	A:\totentanz-frontend\template\collection\MagiRepo.html	official-cn-direct/context	A:\magicaOLD\template\collection\MagiRepo.html	visible collection labels	shared structure with recoverable old-CN labels	yes	US/current markup is authoritative; only visible text is localized.
SEL-005	HTML	magica/template/collection/StoryCollection.html	selected-materialized	A:\totentanz-frontend\template\collection\StoryCollection.html	official-cn-direct/context	A:\magicaOLD\template\collection\StoryCollection.html	Playback→播放; Quest→任务	visible English remained in a production collection page	yes	US/current markup is authoritative; only visible text is localized.
SEL-006	HTML	magica/template/config/ConfigTop.html	selected-materialized	current product/live-US structure; absent from A capture	official-cn-direct plus confirmed-human composition	A:\magicaOLD\template\config\ConfigTop.html	password/transfer/download/Wi-Fi/name/cache notices	visible mixed English-Chinese notices; EJS branches preserved	yes	US/current markup is authoritative; only visible text is localized.
SEL-007	HTML	magica/template/etc/GameStartPopup.html	selected-materialized	A:\totentanz-frontend\template\etc\GameStartPopup.html	official-cn-direct/context	A:\magicaOLD\template\etc\GameStartPopup.html	visible start dialog	shared structure with recoverable old-CN labels	yes	US/current markup is authoritative; only visible text is localized.
SEL-008	HTML	magica/template/formation/DeckFormation.html	selected-materialized	A:\totentanz-frontend\template\formation\DeckFormation.html	official-cn-direct/context	A:\magicaOLD\template\formation\DeckFormation.html	unequip notice and All→显示全部	visible English remained; event/data attributes unchanged	yes	US/current markup is authoritative; only visible text is localized.
SEL-009	HTML	magica/template/formation/FormationQuest.html	selected-materialized	A:\totentanz-frontend\template\formation\FormationQuest.html	official-cn-direct	A:\magicaOLD\template\formation\FormationQuest.html	未解放→未解锁 (3)	visible Japanese wording in empty memoria slots	yes	US/current markup is authoritative; only visible text is localized.
SEL-010	HTML	magica/template/formation/FormationSupport.html	selected-materialized	A:\totentanz-frontend\template\formation\FormationSupport.html	official-cn-direct	A:\magicaOLD\template\formation\FormationSupport.html	未解放→未解锁 (3)	visible Japanese wording in empty memoria slots	yes	US/current markup is authoritative; only visible text is localized.
SEL-011	HTML	magica/template/memoria/MemoriaSetEquip.html	selected-materialized	A:\totentanz-frontend\template\memoria\MemoriaSetEquip.html	official-cn-direct/context	A:\magicaOLD\template\memoria\MemoriaSetEquip.html	visible memoria equipment labels	shared structure with recoverable old-CN labels	yes	US/current markup is authoritative; only visible text is localized.
SEL-012	HTML	magica/template/quest/QuestBattleSelect.html	selected-materialized	A:\totentanz-frontend\template\quest\QuestBattleSelect.html	official-cn-direct/context	A:\magicaOLD\template\quest\QuestBattleSelect.html	visible battle selection labels	shared structure with recoverable old-CN labels	yes	US/current markup is authoritative; only visible text is localized.
SEL-013	HTML	magica/template/quest/SupportSelect.html	selected-materialized	A:\totentanz-frontend\template\quest\SupportSelect.html	official-cn-direct/context	A:\magicaOLD\template\quest\SupportSelect.html	visible support selection labels	shared structure with recoverable old-CN labels	yes	US/current markup is authoritative; only visible text is localized.
SEL-014	HTML	magica/template/quest/scene0/SideStorySelect.html	selected-materialized	A:\totentanz-frontend\template\quest\scene0\SideStorySelect.html	official-cn-direct/context	A:\magicaOLD\template\quest\scene0\SideStorySelect.html	visible side-story labels	shared structure with recoverable old-CN labels	yes	US/current markup is authoritative; only visible text is localized.
