source	target	mapping_kind	source_bytes	target_bytes	source_sha256	target_sha256	source_width	source_height	target_width	target_height	same_dimensions	confidence	reason	visible_change_ratio	visible_identical_ratio	alpha_change_ratio	visual_mae	dhash_distance
resource/image_web/common/global/update2/global_unit.png	resource/image_web/common/global/update2/global_unit.png	same_path	15415	17477	f6d30c322a329e22d32f5c685f18f06cd3d26c083729e6aa20f6b6fd16a2e659	15e06eb37080122e286964df5b5991718c2024b1f52985e158156f032f614b9e	184	196	208	246	False	reject	reserved for manual update2 menu audit; legacy files are JP or dimension-incompatible					
resource/image_web/common/global/global_unit.png	resource/image_web/common/global/update2/global_unit.png	old_root_to_current_update2	19090	17477	329ae3c32533de05cbbb016052f8bfe44585c7b274ac14fc28adb19f5f2abd9a	15e06eb37080122e286964df5b5991718c2024b1f52985e158156f032f614b9e	208	246	208	246	True	reject	reserved for manual update2 menu audit; legacy files are JP or dimension-incompatible	0.490658	0.509342	0.086793	4.322617	0.097656
resource/image_web/common/global/update2/global_memoria.png	resource/image_web/common/global/update2/global_memoria.png	same_path	16163	16617	a78351703b365346109c7e657f664440c155edfbe4cf989b96cebe39eb98d480	dc7bbffc2e3b6186940381ad6e624673a75081e95dc059ef0d85ca58cb00ed30	184	196	208	246	False	reject	reserved for manual update2 menu audit; legacy files are JP or dimension-incompatible					
resource/image_web/common/global/global_memoria.png	resource/image_web/common/global/update2/global_memoria.png	old_root_to_current_update2	20574	16617	398f6b8fd235e95082cdbcdc2e27c80b00fe8f3b45ca6d66eaf4755b1d6c9cf8	dc7bbffc2e3b6186940381ad6e624673a75081e95dc059ef0d85ca58cb00ed30	208	246	208	246	True	reject	reserved for manual update2 menu audit; legacy files are JP or dimension-incompatible	0.501075	0.498925	0.081027	5.731244	0.074219
resource/image_web/common/global/update2/global_team.png	resource/image_web/common/global/update2/global_team.png	same_path	16056	20565	644f0131ed0e626c2438189f496987636979b9099edfc1332ca30ab515604fb7	5088ada281e54be4cbe1e38d50248080f93063e1a3a3069a7f070eafe2638c5a	184	196	184	196	True	reject	reserved for manual update2 menu audit; legacy files are JP or dimension-incompatible	0.068295	0.931705	0.0	1.217807	0.039062
resource/image_web/common/global/global_team.png	resource/image_web/common/global/update2/global_team.png	old_root_to_current_update2	41686	20565	bf1f2e31c5dc5732b4f472cfb037a1955f2c605c440b186eb977c912faef649a	5088ada281e54be4cbe1e38d50248080f93063e1a3a3069a7f070eafe2638c5a	352	382	184	196	False	reject	reserved for manual update2 menu audit; legacy files are JP or dimension-incompatible					
resource/image_web/common/global/update2/global_gacha.png	resource/image_web/common/global/update2/global_gacha.png	same_path	15838	43580	f6a1daad7442613c464491f34fd23dee8b00c93cf512a8dae43e1e2cbe4bcfab	94d1612cf3fca5651fd9f6cfe5c63e2a05b33d8bb3d9c99edfc8114c54e7b7bd	184	196	208	246	False	reject	reserved for manual update2 menu audit; legacy files are JP or dimension-incompatible					
resource/image_web/common/global/global_gacha.png	resource/image_web/common/global/update2/global_gacha.png	old_root_to_current_update2	19766	43580	51c2fb4b86311fcc8563db8c892cb9247f5c2ef1283ab842c34f1200825566df	94d1612cf3fca5651fd9f6cfe5c63e2a05b33d8bb3d9c99edfc8114c54e7b7bd	208	246	208	246	True	reject	reserved for manual update2 menu audit; legacy files are JP or dimension-incompatible	0.500586	0.499414	0.078135	5.610438	0.082031
resource/image_web/common/global/update2/global_mission.png	resource/image_web/common/global/update2/global_mission.png	same_path	15203	16828	2e75cc63d095eccfdb85512121f6d6a23bb04b18b695d0a13e3344615677bde1	7d10845a63f9fca5efaa4d0ce0558f0308c88f855662290fe6a213f49cbf606c	184	196	208	246	False	reject	reserved for manual update2 menu audit; legacy files are JP or dimension-incompatible					
resource/image_web/common/global/global_mission.png	resource/image_web/common/global/update2/global_mission.png	old_root_to_current_update2	18895	16828	71e8d17dd464784670261c0acd55dd226d80b82a5c3606331b4b11075c51b90b	7d10845a63f9fca5efaa4d0ce0558f0308c88f855662290fe6a213f49cbf606c	208	246	208	246	True	reject	reserved for manual update2 menu audit; legacy files are JP or dimension-incompatible	0.484522	0.515478	0.08392	4.435444	0.054688
resource/image_web/common/global/update2/global_shop.png	resource/image_web/common/global/update2/global_shop.png	same_path	16100	20430	f1fe808e44be022c4ec580780eb8cb09bc9b785fac47c4ef07b13018e9414cb5	967feb7312913182cfd8b89f73b30071aac6ac7dfbf90b7e2cf7cc5a7c97a514	184	196	184	196	True	reject	reserved for manual update2 menu audit; legacy files are JP or dimension-incompatible	0.072122	0.927878	0.0	1.260874	0.050781
resource/image_web/common/global/global_shop.png	resource/image_web/common/global/update2/global_shop.png	old_root_to_current_update2	20041	20430	3620541a5f5e41951ae2bda6d6c0d033702197486acad65741479ab3dabdbcd4	967feb7312913182cfd8b89f73b30071aac6ac7dfbf90b7e2cf7cc5a7c97a514	208	220	184	196	False	reject	reserved for manual update2 menu audit; legacy files are JP or dimension-incompatible					
