id,claim,source,line_range,confidence,notes
ZIP-BASE-1,"完整提取包来自 legacy-client 同一基准提交，含 561 直接图和 997 图集帧","complete/magirecocn-images-complete/03_reports/README.md","1-21",high,"包内自述"
ZIP-BASE-2,"调用关系包来自同一基准提交，含相同的 561 直接图和 997 图集帧","callgraph/magirecocn-image-callgraph-l2d-reuse-final/00_overview/README_CN.md","1-14",high,"包内自述"
ZIP-CMP-1,"两包全部 561 个直接图路径及字节相同；全部 997 个图集帧路径对应","artifacts/zip_asset_correspondence.csv","all rows",high,"逐文件路径、SHA-256、尺寸和像素比较"
ZIP-CMP-2,"两包是同一 APK 提取结果的不同呈现，不是两套运行时资源渠道","artifacts/analysis_summary.json","zip_products",high,"由 ZIP-BASE-1、ZIP-BASE-2、ZIP-CMP-1 联合推出"
WEBVIEW-1,"WebView 对 /magica/ 非 API 请求优先读取 /files/magica/ 同路径本地文件；缺失时回落默认网络请求","legacy-client/smali/jp/f4samurai/web/WebViewImpl$WebViewClientImpl.smali","80-98;101-183;255-313",high,"实际 smali 打包树中的明确控制流"
WEBVIEW-2,"同一 WebView 本地优先控制流的可读 Java 反编译对照","legacy-client/jadx-reference/sources/jp/f4samurai/web/WebViewImpl.java","86-129",high,"与实际 smali 一致"
INSTALL-1,"首次安装下载 cn_js_update.zip 等 15 个包，并解压到应用 files 根目录","legacy-client/patch/src/main/java/io/kamihama/magianative/CNDownloaderFix.java","61-111;656-684",high,"明确常量和调用"
HOT-1,"热更新下载 cn_scenario_update.zip 与 cn_js_update.zip 并事务化应用到 /files/","legacy-client/patch/src/main/java/io/kamihama/magianative/CNHotUpdateCheck.java","43-53;67-68;135-145;245-329",high,"明确 URL、路径和事务调用"
PACKAGE-1,"仓库 magica/ 目录被整体打入 cn_js_update_new.zip","cn-patch/.github/workflows/sync-and-upload.yml","315-340",high,"发布工作流"
PACKAGE-2,"madomagi 剧情 JSON 与 engine_i18n.tsv 被打入独立台词热更包","cn-patch/.github/workflows/sync-and-upload.yml","401-408",high,"发布工作流"
BRIDGE-1,"前端扫描 data-nativeimgkey/data-nativebgkey 并收集 data-src","cn-patch/magica/js/_common/backboneCommon.js","3",high,"明确 DOM 扫描"
BRIDGE-2,"前端通过 DATA_GET_BASE64 请求原生资源","cn-patch/magica/js/_common/nativeCommand.js","29",high,"明确 native command"
BRIDGE-3,"当前 magica 前端共有 400 处 resource/image_native 引用，分布在 88 个文件","artifacts/frontend_native_bridge_occurrences.csv","all rows",high,"静态全树扫描"
BRIDGE-4,"ArenaConfirm 模板以 data-native* 属性请求卡框和卡图 native 纹理","cn-patch/magica/template/arena/ArenaConfirm.html","36-41;94",high,"代表性模板"
FONT-1,"Web CSS 使用 /magica/fonts/TTZhiHeiGB3-W4.ttf","cn-patch/magica/css/_common/fonts.css","1-3",high,"明确 URL"
FONT-2,"原生 hook 把 MTF4a5kp.ttf 重定向到 TTZhiHeiGB3-W4.ttf","legacy-client/magia-native/src/MagiaLegacy.cpp","1458-1519;1726-1732",high,"明确 hook"
FONT-3,"APK 与前端热更中的 TTZhiHeiGB3-W4.ttf 字节完全相同","artifacts/font_correspondence.csv","all rows",high,"逐文件 SHA-256"
NATIVE-1,"native hook 触发 Java 安装器并接管资源清单/资源端点","legacy-client/magia-native/src/MagiaLegacy.cpp","195-242;282-288;386-411;1614-1658",high,"明确函数和 hook 注册"
NATIVE-2,"native hook 从热更文件 engine_i18n.tsv 翻译 Cocos Label 文本","legacy-client/magia-native/src/MagiaLegacy.cpp","1202-1222;1694-1724",high,"明确路径和 hook 注册"
OVERLAP-1,"APK assets 与下载清单有 59 个同逻辑路径，其中 17 个 MD5 相同、42 个不同","artifacts/apk_vs_download_manifest.csv","all rows",high,"逐路径及 MD5 比较"
GLOBAL-1,"当前前端有 11 个 global 菜单 Web PNG；两 ZIP 均无同名文件且 APK 无精确哈希副本","artifacts/global_menu_web_icons.csv","all rows",high,"逐文件名称、CSS 引用和哈希比较"
GLOBAL-NS-1,"两 ZIP 的 1558 个图片负载都没有 resource/image_web 路径或 global 菜单文件名","artifacts/zip_image_namespace_scan.json","all fields",high,"逐图片逻辑路径扫描"
GLOBAL-2,"完整提取包未发现可识别的 mypage/home/mainmenu/globalmenu/bottommenu 资源路径","complete/magirecocn-images-complete/03_reports/README.md","23-35",high,"包内明确警告"
LIMIT-1,"调用关系包是静态逆向，远程/ID 映射与实际执行仍需运行日志、抓包或 hook 验证","callgraph/magirecocn-image-callgraph-l2d-reuse-final/00_overview/README_CN.md","16-21;39-41",high,"包内证据边界"
