id	scope	path	kind	source_text	cn_text	source_occurrences	changed_occurrences	status	review_basis
NUI-001	production	css/campaign/newyear_login/NewYearLogin.css	css_content	ツイートする	发布推文	1	1	translated	existing_magica_terms_and_context_review
NUI-002	production	css/campaign/quiz/CampaignQuizTop.css	css_content	正解数	答对数	1	1	translated	existing_magica_terms_and_context_review
NUI-003	production	css/campaign/quiz/CampaignQuizTop.css	css_content	経過時間	用时	1	1	translated	existing_magica_terms_and_context_review
NUI-004	production	css/campaign/summer_mission/CampaignSummerMissionTop.css	css_content	挑戦する	挑战	1	1	translated	existing_magica_terms_and_context_review
NUI-005	production	css/campaign/summer_mission/CampaignSummerMissionTop.css	css_content	受け取る	领取	1	1	translated	existing_magica_terms_and_context_review
NUI-006	production	css/event/EventArenaRankMatch/Result.css	css_content	対戦相手	对战对手	1	1	translated	existing_magica_terms_and_context_review
NUI-007	test	css/test/SdCharaTest.css	css_content	現在のグレード	当前等级	2	2	translated	existing_magica_terms_and_context_review
NUI-008	test	css/test/SdCharaTest.css	css_content	必要GP	所需GP	1	1	translated	existing_magica_terms_and_context_review
NUI-009	test	css/test/SdCharaTest.css	css_content	必要撃退数	所需击退数	1	1	translated	existing_magica_terms_and_context_review
NUI-010	test	css/test/SdCharaTest.css	css_content	到達した撃退Lv	已达到的击退Lv	1	1	translated	existing_magica_terms_and_context_review
NUI-011	test	css/test/SdCharaTest.css	css_content	最高獲得エンブレム	最高获得徽章	1	1	translated	existing_magica_terms_and_context_review
NUI-012	test	css/test/SdCharaTest.css	css_content	デイリーダメージ	每日伤害	1	1	translated	existing_magica_terms_and_context_review
NUI-013	test	css/test/ShopReworkTest.css	css_content	所持	持有	2	2	translated	existing_magica_terms_and_context_review
NUI-014	production	js/campaign/quiz/CampaignQuizTop.js	js_literal	マギレコミラクルクイズ～＠あなたは全問正解できるかしら＠解答速度も計るから注意してね♪	魔纪奇迹问答～＠你能全部答对吗＠还会记录答题用时，要注意哦♪	1	1	translated	existing_magica_terms_and_context_review
NUI-015	production	js/campaign/quiz/CampaignQuizTop.js	js_literal	お疲れさまぁ＠チャンスは１回だけじゃないから＠良ければ再チャレンジしてみてね	辛苦啦＠机会可不只有１次＠愿意的话再挑战一次吧	1	1	translated	existing_magica_terms_and_context_review
NUI-016	production	js/campaign/quiz/CampaignQuizTop.js	js_literal	パフパフパフー♪＠パーフェクトおめでとう！＠全部解けるとすっきりするわよね	啪啦啪啦啪～♪＠恭喜全部答对！＠全都答出来后很痛快吧	1	1	translated	existing_magica_terms_and_context_review
NUI-017	production	js/campaign/quiz/CampaignQuizTop.js	js_literal	八雲 みたま	八云 御魂	1	1	translated	existing_magica_terms_and_context_review
NUI-018	production	js/campaign/quiz/CampaignQuizTop.js	js_literal	&nbsp;&nbsp;挑戦中	&nbsp;&nbsp;挑战中	1	1	translated	existing_magica_terms_and_context_review
NUI-019	production	js/campaign/quiz/CampaignQuizTop.js	js_literal	&nbsp;&nbsp;結果	&nbsp;&nbsp;结果	1	1	translated	existing_magica_terms_and_context_review
NUI-020	production	js/campaign/quiz/CampaignQuizTop.js	js_literal	第 	第 	1	0	already_cn_compatible	existing_magica_terms_and_context_review
NUI-021	production	js/campaign/quiz/CampaignQuizTop.js	js_literal	 問	 题	1	1	translated	existing_magica_terms_and_context_review
NUI-022	production	js/campaign/quiz/CampaignQuizTop.js	js_literal	問	题	3	3	translated	existing_magica_terms_and_context_review
NUI-023	production	js/campaign/quiz/CampaignQuizTop.js	js_literal	★八雲みたまのマギレコミラクルクイズ★%0a［難易度：	★八云御魂的魔纪奇迹问答★%0a［难度：	2	2	translated	existing_magica_terms_and_context_review
NUI-024	production	js/campaign/quiz/CampaignQuizTop.js	js_literal	］%0a［正解数：	］%0a［答对数：	1	1	translated	existing_magica_terms_and_context_review
NUI-025	production	js/campaign/quiz/CampaignQuizTop.js	js_literal	］%0aマギアレコードではクイズキャンペーンを開催中！%0a	］%0a魔法纪录正在举办问答活动！%0a	2	2	translated	existing_magica_terms_and_context_review
NUI-026	production	js/campaign/quiz/CampaignQuizTop.js	js_literal	］%0a［正解数：全問正解］%0a［時間：	］%0a［答对数：全部答对］%0a［用时：	1	1	translated	existing_magica_terms_and_context_review
NUI-027	production	js/campaign/quiz/CampaignQuizTop.js	js_literal	マギレコ,マギレコ５周年,マギレコミラクルクイズ	魔纪,魔纪５周年,魔纪奇迹问答	1	1	translated	existing_magica_terms_and_context_review
NUI-028	production	js/campaign/quiz/CampaignQuizTop.js	js_literal	59分59秒99	59分59秒99	1	0	already_cn_compatible	existing_magica_terms_and_context_review
NUI-029	production	js/campaign/quiz/CampaignQuizTop.js	js_literal	分	分	2	0	already_cn_compatible	existing_magica_terms_and_context_review
NUI-030	production	js/campaign/quiz/CampaignQuizTop.js	js_literal	秒	秒	2	0	already_cn_compatible	existing_magica_terms_and_context_review
NUI-031	production	js/event/EventArenaRankMatch/Result.js	js_literal	エラー	错误	3	3	translated	existing_magica_terms_and_context_review
NUI-032	production	js/event/EventArenaRankMatch/Result.js	js_literal	バトルの所要時間が一定時間を超えたため<br>このバトルは無効になります。<br>イベントTOPに戻ります。	战斗耗时超过规定时间，<br>本次战斗无效。<br>返回活动首页。	1	1	translated	existing_magica_terms_and_context_review
NUI-033	production	js/event/EventArenaRankMatch/Result.js	js_literal	ミラーズランクマッチ	镜界排位赛	1	1	translated	existing_magica_terms_and_context_review
NUI-034	production	js/event/EventArenaRankMatch/Result.js	js_literal	ランキングバトルのプレイ期間外のため<br>プレイ結果は反映されません。<br>トップページに戻ります。	当前不在排位赛开放期间，<br>对战结果不会被记录。<br>返回首页。	1	1	translated	existing_magica_terms_and_context_review
NUI-035	production	js/event/EventArenaRankMatch/Result.js	js_literal	バトルの結果が正しく取得できませんでした。<br>トップページに戻ります。	未能正确获取战斗结果。<br>返回首页。	1	1	translated	existing_magica_terms_and_context_review
NUI-036	production	js/event/EventArenaRankMatch/Result.js	js_literal	リプレイの保存	保存回放	2	2	translated	existing_magica_terms_and_context_review
NUI-037	production	js/event/EventArenaRankMatch/Result.js	js_literal	今回のミラーズバトルを<br>リプレイに保存しますか？	要将本次镜界对战<br>保存为回放吗？	1	1	translated	existing_magica_terms_and_context_review
NUI-038	production	js/event/EventArenaRankMatch/Result.js	js_literal	保存しない	不保存	1	1	translated	existing_magica_terms_and_context_review
NUI-039	production	js/event/EventArenaRankMatch/Result.js	js_literal	保存する	保存	1	1	translated	existing_magica_terms_and_context_review
NUI-040	production	js/event/EventArenaRankMatch/Result.js	js_literal	リプレイデータの保存に失敗しました。	回放数据保存失败。	1	1	translated	existing_magica_terms_and_context_review
NUI-041	production	js/event/EventArenaRankMatch/Result.js	js_literal	リプレイに保存しました。<br><br>有効期限：	已保存为回放。<br><br>有效期：	1	1	translated	existing_magica_terms_and_context_review
NUI-042	production	js/event/EventArenaRankMatch/Result.js	js_literal	まで	为止	1	1	translated	existing_magica_terms_and_context_review
NUI-043	production	js/quest/puellaHistoria/lastBattle/GroupRaid.js	js_literal	エラー	错误	1	1	translated	existing_magica_terms_and_context_review
NUI-044	production	js/quest/puellaHistoria/lastBattle/GroupRaid.js	js_literal	クエスト開始条件を<br>満たしていません	未满足<br>关卡开始条件	1	1	translated	existing_magica_terms_and_context_review
NUI-045	production	js/quest/puellaHistoria/lastBattle/GroupRaid.js	js_literal	トップに戻る	返回首页	1	1	translated	existing_magica_terms_and_context_review
NUI-046	test	js/test/MailSendTest.js	js_literal	送信完了	发送完成	2	2	translated	existing_magica_terms_and_context_review
NUI-047	test	js/test/MailSendTest.js	js_literal	メールアドレスを送信しました	已发送电子邮件地址	1	1	translated	existing_magica_terms_and_context_review
NUI-048	test	js/test/MailSendTest.js	js_literal	閉じる	关闭	5	5	translated	existing_magica_terms_and_context_review
NUI-049	test	js/test/MailSendTest.js	js_literal	エラー	错误	3	3	translated	existing_magica_terms_and_context_review
NUI-050	test	js/test/MailSendTest.js	js_literal	メールアドレスを入力してください	请输入电子邮件地址	1	1	translated	existing_magica_terms_and_context_review
NUI-051	test	js/test/MailSendTest.js	js_literal	エラーメッセージ<br><br>【 	错误信息<br><br>【 	1	1	translated	existing_magica_terms_and_context_review
NUI-052	test	js/test/MailSendTest.js	js_literal	認証番号を送信しました	已发送验证码	1	1	translated	existing_magica_terms_and_context_review
NUI-053	test	js/test/MailSendTest.js	js_literal	認証番号を入力してください	请输入验证码	1	1	translated	existing_magica_terms_and_context_review
NUI-054	test	js/test/SdCharaTest.js	js_literal	ストックはありません	没有库存	1	1	translated	existing_magica_terms_and_context_review
NUI-055	production	template/campaign/newyear_login/NewYearLogin.html	html_text	破魔大吉	破魔大吉	1	0	already_cn_compatible	existing_magica_terms_and_context_review
NUI-056	production	template/campaign/newyear_login/NewYearLogin.html	html_text	極大吉	极大吉	1	1	translated	existing_magica_terms_and_context_review
NUI-057	production	template/campaign/newyear_login/NewYearLogin.html	html_text	大吉	大吉	1	0	already_cn_compatible	existing_magica_terms_and_context_review
