item_id	target_path	before	after	before_count	baseline_after_count	evidence_locator	match_method
LOW-MT-00627+LOW-MT-01239	magica/js/quest/QuestUtil.js	"""ONLY""==c?d+=""\x3cbr\x3e的队伍开始关卡"":""CONTAIN""==c&&(d+=""\x3cbr\x3e的队伍开始关卡"")"	"""ONLY""==c?d+=""\x3cbr\x3e单人的队伍才能开始副本"":""CONTAIN""==c&&(d+=""\x3cbr\x3e所在的队伍才能开始副本"")"	1	0	official js/quest/QuestUtil.js ONLY and CONTAIN branches	exact-branch-context
LOW-MT-00315	magica/template/top/NewVersionRecommend.html	请注意,删除应用后数据将被初始化。	如果删除应用，数据将被初始化，请务必注意。	1	0	official template/top/NewVersionRecommend.html	exact-path-dom-match
LOW-MT-00323	magica/template/user/Ban.html	·利用程序漏洞进行不正当行为(如不正当获取道具等特别恶劣的行为),以及助长该行为的情形(包括经运营判断为故意利用漏洞的情形),妨碍本服务的运营与提供并造成障碍的行为。	·利用程序漏洞的行为（不正当获取道具等特别恶劣的行为）、以及助长此做法（包括被运营方判定为故意利用漏洞的情况）导致对本服务的运营、提供造成妨害甚至导致故障发生的行为。	1	0	official template/user/Ban.html	exact-path-dom-match
LOW-MT-00355	magica/template/user/Ban.html	·过度连续访问,给服务器造成负担的行为。	·过于频繁地登录，给服务器造成负担的行为。	1	0	official template/user/Ban.html	exact-path-dom-match
LOW-MT-00388	magica/template/user/Ban.html	※关于本事件的咨询,将以以上报告作为答复。	※对于与本事项相关的意见反馈，将以上诉通告作为回复。	1	0	official template/user/Ban.html	exact-path-dom-match
LOW-MT-00439	magica/js/memoria/MemoriaEquip.js	该记忆结晶已登记在其他套装中。\x3cbr\x3e要登记到套装吗?	该记忆结晶已经保存在其他组合中。\x3cbr\x3e是否保存在此组合中？	1	0	official js/memoria/MemoriaEquip.js	same-path-context-literal-alignment
LOW-MT-00452	magica/template/event/dungeon/EventDungeonTop.html	通关(首通·首次集齐)	通关（首通、首次满星）	1	0	official template/event/dungeon/EventDungeonTop.html	exact-path-dom-match
LOW-MT-00474	magica/js/event/raid/EventRaidCloseTop.js	已过领取期限,<br>无法领取该任务报酬	由于领取期限已过，<br>无法领取该任务报酬	1	0	official js/event/raid/EventRaidCloseTop.js	same-path-context-literal-alignment
LOW-MT-00521	magica/js/util/TutorialUtil.js	\x3cp\x3e选好魔法少女后,抽扭蛋让她成为伙伴吧\x3cbr\x3e★4魔法少女只会出现你选的那1个\x3cbr\x3e抽扭蛋之前可以重新选择魔法少女\x3c/p\x3e	\x3cp\x3e选定魔法少女后抽取扭蛋，将她变成伙伴吧\x3cbr\x3e只会出现1名选定的★4魔法少女\x3cbr\x3e在抽取扭蛋之前，可以重新选择魔法少女\x3c/p\x3e	1	0	official js/util/TutorialUtil.js	same-path-context-literal-alignment
LOW-MT-00594	magica/template/top/NewVersionRecommend.html	若应用商店尚未发布最新版,请稍等。	如果应用商店尚未公开最新版本，请暂作等候。	1	0	official template/top/NewVersionRecommend.html	exact-path-dom-match
LOW-MT-00674	magica/js/event/raid/EventRaidCloseTop.js	个以上】即可解放</div>	个以上】<br>即可解锁全体击败的报酬</div>	1	0	official js/event/raid/EventRaidCloseTop.js	same-path-context-literal-alignment
LOW-MT-00674	magica/js/event/raid/EventRaidTop.js	个以上】即可解放</div>	个以上】<br>即可解锁全体击败的报酬</div>	1	0	official js/event/raid/EventRaidCloseTop.js	same-path-context-literal-alignment
LOW-MT-00700	magica/template/user/Ban.html	·进行不正当访问,给本服务或其他用户造成不利影响的行为。	·进行不正当使用，对本服务及其他用户造成不利影响的行为。	1	0	official template/user/Ban.html	exact-path-dom-match
LOW-MT-00784	magica/template/user/Ban.html	【违规行为】	【视为处理对象的行为】	1	0	official template/user/Ban.html	exact-path-dom-match
LOW-MT-01090	magica/js/_common/nativeCommand.js	多余的命运宝石@可以在道具列表界面和@魔力解放界面交换成魔法碎片	可以在道具列表页面和魔力解放页面@将多余的命运宝石转换为魔法晶片	1	0	official js/_common/nativeCommand.js	same-object-order-context-match
LOW-MT-01540	magica/js/_common/nativeCommand.js	魔法等级	Magia等级	1	0	official js/event/accomplish/EventAccomplishRecovery.js	same-path-context-literal-alignment
LOW-MT-01540	magica/js/event/accomplish/EventAccomplishRecovery.js	魔法等级	Magia等级	1	0	official js/event/accomplish/EventAccomplishRecovery.js	same-path-context-literal-alignment
LOW-MT-01540	magica/js/_common/nativeCommand2.js	魔法等级	Magia等级	1	0	official js/event/accomplish/EventAccomplishRecovery.js	same-path-context-literal-alignment
LOW-MT-01580	magica/js/memoria/MemoriaSetEquip.js	」。\x3c/br\x3e	」将覆盖\x3c/br\x3e	3	0	official js/memoria/MemoriaSetEquip.js	same-path-context-literal-alignment
LOW-MT-01783	magica/js/event/raid/EventRaidCloseTop.js	已领取1件任务报酬。<br><br>※领取的道具已直接发放。	已领取1个任务报酬。<br><br>※可直接获得领取的道具。	1	0	official js/event/raid/EventRaidCloseTop.js	same-path-context-literal-alignment
LOW-MT-01783	magica/js/event/raid/EventRaidTop.js	已领取1件任务报酬。<br><br>※领取的道具已直接发放。	已领取1个任务报酬。<br><br>※可直接获得领取的道具。	1	0	official js/event/raid/EventRaidCloseTop.js	same-path-context-literal-alignment
LOW-MT-01786	magica/js/memoria/MemoriaSetEquip.js	请选择要装备的套装	请选择想要装备的组合	1	0	official js/memoria/MemoriaSetEquip.js	same-path-context-literal-alignment
LOW-MT-01787	magica/js/_common/nativeCommand.js	解除自动后@从下一回合起可以手动操作	取消自动战斗时，从下一回合起@即可手动操作	1	0	official js/_common/nativeCommand.js	same-object-order-context-match
LOW-MT-01787	magica/js/_common/nativeCommand2.js	解除自动后@从下一回合起可以手动操作	取消自动战斗时，从下一回合起@即可手动操作	1	0	official js/_common/nativeCommand.js	same-object-order-context-match
LOW-MT-01790	magica/template/event/training/EventTrainingCharaSelect.html	请选择要特训的魔法少女	请选择想特训的魔法少女	1	0	official template/event/training/EventTrainingCharaSelect.html	exact-path-dom-match
LOW-MT-01792	magica/js/util/TutorialUtil.js	\x3cp\x3e来编成关卡用的队伍吧\x3c/p\x3e	\x3cp\x3e对副本用的队伍进行编成吧\x3c/p\x3e	1	0	official js/util/TutorialUtil.js	same-path-context-literal-alignment
LOW-MT-01795	magica/js/_common/nativeCommand.js	Blast 圆盘分为纵向攻击与横向攻击@两种	Blast行动盘拥有2种攻击类型@即横向攻击和纵向攻击	1	0	official js/_common/nativeCommand.js	same-object-order-context-match
LOW-MT-01795	magica/js/_common/nativeCommand2.js	Blast 圆盘分为纵向攻击与横向攻击@两种	Blast行动盘拥有2种攻击类型@即横向攻击和纵向攻击	1	0	official js/_common/nativeCommand.js	same-object-order-context-match
LOW-MT-01802	magica/js/_common/nativeCommand.js	通关★5 且 Magia Lv5 的魔法少女的@魔女化身关卡后解放	★5且Magia为5级的魔法少女@其魔女化身将在副本通关后解放	1	0	official js/_common/nativeCommand.js	same-object-order-context-match
LOW-MT-01802	magica/js/_common/nativeCommand2.js	通关★5 且 Magia Lv5 的魔法少女的@魔女化身关卡后解放	★5且Magia为5级的魔法少女@其魔女化身将在副本通关后解放	1	0	official js/_common/nativeCommand.js	same-object-order-context-match
LOW-MT-01803	magica/js/_common/nativeCommand.js	魔法阵形	魔法阵型	1	0	official template/formation/FormationQuest.html	exact-path-dom-match
LOW-MT-01803	magica/template/formation/FormationQuest.html	魔法阵形	魔法阵型	2	1	official template/formation/FormationQuest.html	exact-path-dom-match
LOW-MT-01803	magica/js/_common/nativeCommand2.js	魔法阵形	魔法阵型	1	0	official template/formation/FormationQuest.html	exact-path-dom-match
LOW-MT-01831	magica/js/top/TopPage.js	已清除缓存。	已清空缓存。	1	0	official js/top/TopPage.js	same-path-context-literal-alignment
LOW-MT-01834	magica/template/loginBonus/loginBonusPopupTemp.html	支援加成	协助奖励	1	0	official template/loginBonus/loginBonusPopupTemp.html	exact-path-dom-match
LOW-MT-01838	magica/template/chara/CharaBulkCustomizePopup.html	将全部素材批量放入。	一并设置所有素材。	1	0	official template/chara/CharaBulkCustomizePopup.html	exact-path-dom-match
