record_id	component	scope	file	stable_key_or_line	field	original_text	current_cn	suggested_cn	product_or_reference_location	source_tier	source_bucket	evidence_path_or_key	machine_translated	confidence	review_status	japanese_or_source_original	missing_original_reason	provenance_class	source_stage	source_batch	source_author	is_machine_translation	runtime_consumed	highest_authority_tier	highest_authority_match	authority_status	risk	issue_type	manual_review_status	evidence	notes
MT-01946	frontend_untranslated	frontend_i18n_input	i18n/frontend-strings.tsv	global:0a9105b64231be7ff6b5	candidate_cn	解散		解散	i18n/frontend-strings.tsv#global:0a9105b64231be7ff6b5/candidate_cn	current-product-visible-identity-audit	legacy-ai	i18n/generated/input-provenance.tsv:495;legacy extraction row has no translation candidate;candidate_id=cd5387275ad89517f9bd341e;key=global:0a9105b64231be7ff6b5;semantic_audit_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3;semantic_product_hits_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3	false	exact-product-node-audit	visible-cn-compatible-identity	解散	extracted source string is retained; exact-node semantics are separately audited	current_product_visible_identity	migrated_frontend_input_exact_node_closure	legacy-extraction-untranslated	not applicable; semantic classification only	false; no translation was authored	visible exact runtime node; offline candidate remains unselected	current-product-visible-identity-audit	解散	visible-cn-compatible-identity	low	frontend_visible_identity_retain	visible-cn-compatible-identity	i18n/generated/input-provenance.tsv:495;legacy extraction row has no translation candidate;candidate_id=cd5387275ad89517f9bd341e;key=global:0a9105b64231be7ff6b5;semantic_audit_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3;semantic_product_hits_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3	Retain the visible source spelling as the compatible identity; no product text was written.
MT-01947	frontend_untranslated	frontend_i18n_input	i18n/frontend-strings.tsv	global:0ba4a522d61b690bc808	candidate_cn	全属性		全属性	i18n/frontend-strings.tsv#global:0ba4a522d61b690bc808/candidate_cn	current-product-visible-identity-audit	legacy-ai	i18n/generated/input-provenance.tsv:201;legacy extraction row has no translation candidate;candidate_id=32806fba32bc059b3cad2f97;key=global:0ba4a522d61b690bc808;semantic_audit_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3;semantic_product_hits_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3	false	exact-product-node-audit	visible-cn-compatible-identity	全属性	extracted source string is retained; exact-node semantics are separately audited	current_product_visible_identity	migrated_frontend_input_exact_node_closure	legacy-extraction-untranslated	not applicable; semantic classification only	false; no translation was authored	visible exact runtime node; offline candidate remains unselected	current-product-visible-identity-audit	全属性	visible-cn-compatible-identity	low	frontend_visible_identity_retain	visible-cn-compatible-identity	i18n/generated/input-provenance.tsv:201;legacy extraction row has no translation candidate;candidate_id=32806fba32bc059b3cad2f97;key=global:0ba4a522d61b690bc808;semantic_audit_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3;semantic_product_hits_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3	Retain the visible source spelling as the compatible identity; no product text was written.
MT-01948	frontend_untranslated	frontend_i18n_input	i18n/frontend-strings.tsv	global:139349ae2024c7b0cb66	candidate_cn	属性			i18n/frontend-strings.tsv#global:139349ae2024c7b0cb66/candidate_cn	current-product-exact-node-audit	legacy-ai	i18n/generated/input-provenance.tsv:576;legacy extraction row has no translation candidate;candidate_id=45894f620d2e06a988fc6615;key=global:139349ae2024c7b0cb66;semantic_audit_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3;semantic_product_hits_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3	false	exact-product-node-audit	runtime-absent/not-backlog	属性	extracted source string is retained; exact-node semantics are separately audited	current_product_exact_node_absence	migrated_frontend_input_exact_node_closure	legacy-extraction-untranslated	not applicable; semantic classification only	false; no translation was authored	false; exact source is absent from current runtime nodes	current-product-exact-node-audit		runtime-absent/not-backlog	none	frontend_source_absent_not_translation_backlog	runtime-absent/not-backlog	i18n/generated/input-provenance.tsv:576;legacy extraction row has no translation candidate;candidate_id=45894f620d2e06a988fc6615;key=global:139349ae2024c7b0cb66;semantic_audit_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3;semantic_product_hits_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3	Exact current-product source node does not exist; no runtime translation is required.
MT-01949	frontend_untranslated	frontend_i18n_input	i18n/frontend-strings.tsv	global:1653151accee8a673eb5	candidate_cn	一			i18n/frontend-strings.tsv#global:1653151accee8a673eb5/candidate_cn	current-product-exact-node-audit	legacy-ai	i18n/generated/input-provenance.tsv:637;legacy extraction row has no translation candidate;candidate_id=cc58227901923812ccd1ae6f;key=global:1653151accee8a673eb5;semantic_audit_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3;semantic_product_hits_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3	false	exact-product-node-audit	runtime-absent/not-backlog	一	extracted source string is retained; exact-node semantics are separately audited	current_product_exact_node_absence	migrated_frontend_input_exact_node_closure	legacy-extraction-untranslated	not applicable; semantic classification only	false; no translation was authored	false; exact source is absent from current runtime nodes	current-product-exact-node-audit		runtime-absent/not-backlog	none	frontend_source_absent_not_translation_backlog	runtime-absent/not-backlog	i18n/generated/input-provenance.tsv:637;legacy extraction row has no translation candidate;candidate_id=cc58227901923812ccd1ae6f;key=global:1653151accee8a673eb5;semantic_audit_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3;semantic_product_hits_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3	Exact current-product source node does not exist; no runtime translation is required.
MT-01950	frontend_untranslated	frontend_i18n_input	i18n/frontend-strings.tsv	global:17fc4a0d39f616373959	candidate_cn	二			i18n/frontend-strings.tsv#global:17fc4a0d39f616373959/candidate_cn	current-product-exact-node-audit	legacy-ai	i18n/generated/input-provenance.tsv:638;legacy extraction row has no translation candidate;candidate_id=f6ecfe48d6094d5f1ec119b7;key=global:17fc4a0d39f616373959;semantic_audit_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3;semantic_product_hits_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3	false	exact-product-node-audit	runtime-absent/not-backlog	二	extracted source string is retained; exact-node semantics are separately audited	current_product_exact_node_absence	migrated_frontend_input_exact_node_closure	legacy-extraction-untranslated	not applicable; semantic classification only	false; no translation was authored	false; exact source is absent from current runtime nodes	current-product-exact-node-audit		runtime-absent/not-backlog	none	frontend_source_absent_not_translation_backlog	runtime-absent/not-backlog	i18n/generated/input-provenance.tsv:638;legacy extraction row has no translation candidate;candidate_id=f6ecfe48d6094d5f1ec119b7;key=global:17fc4a0d39f616373959;semantic_audit_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3;semantic_product_hits_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3	Exact current-product source node does not exist; no runtime translation is required.
MT-01951	frontend_untranslated	frontend_i18n_input	i18n/frontend-strings.tsv	global:1d80f6e84eb88218b3cf	candidate_cn	が			i18n/frontend-strings.tsv#global:1d80f6e84eb88218b3cf/candidate_cn	current-product-exact-node-audit	legacy-ai	i18n/generated/input-provenance.tsv:144;legacy extraction row has no translation candidate;candidate_id=18d7da0dd26360a496b393d2;key=global:1d80f6e84eb88218b3cf;semantic_audit_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3;semantic_product_hits_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3	false	exact-product-node-audit	runtime-absent/not-backlog	が	extracted source string is retained; exact-node semantics are separately audited	current_product_exact_node_absence	migrated_frontend_input_exact_node_closure	legacy-extraction-untranslated	not applicable; semantic classification only	false; no translation was authored	false; exact source is absent from current runtime nodes	current-product-exact-node-audit		runtime-absent/not-backlog	none	frontend_source_absent_not_translation_backlog	runtime-absent/not-backlog	i18n/generated/input-provenance.tsv:144;legacy extraction row has no translation candidate;candidate_id=18d7da0dd26360a496b393d2;key=global:1d80f6e84eb88218b3cf;semantic_audit_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3;semantic_product_hits_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3	Exact current-product source node does not exist; no runtime translation is required.
MT-01952	frontend_untranslated	frontend_i18n_input	i18n/frontend-strings.tsv	global:21adedb16f095c1c9dbe	candidate_cn	吉		吉	i18n/frontend-strings.tsv#global:21adedb16f095c1c9dbe/candidate_cn	current-product-visible-identity-audit	legacy-ai	i18n/generated/input-provenance.tsv:1221;legacy extraction row has no translation candidate;candidate_id=50a72c0dc0fa9ab15d314919;key=global:21adedb16f095c1c9dbe;semantic_audit_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3;semantic_product_hits_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3	false	exact-product-node-audit	visible-cn-compatible-identity	吉	extracted source string is retained; exact-node semantics are separately audited	current_product_visible_identity	migrated_frontend_input_exact_node_closure	legacy-extraction-untranslated	not applicable; semantic classification only	false; no translation was authored	visible exact runtime node; offline candidate remains unselected	current-product-visible-identity-audit	吉	visible-cn-compatible-identity	low	frontend_visible_identity_retain	visible-cn-compatible-identity	i18n/generated/input-provenance.tsv:1221;legacy extraction row has no translation candidate;candidate_id=50a72c0dc0fa9ab15d314919;key=global:21adedb16f095c1c9dbe;semantic_audit_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3;semantic_product_hits_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3	Retain the visible source spelling as the compatible identity; no product text was written.
MT-01953	frontend_untranslated	frontend_i18n_input	i18n/frontend-strings.tsv	global:247f96db649ef7bc8158	candidate_cn	基本		基本	i18n/frontend-strings.tsv#global:247f96db649ef7bc8158/candidate_cn	current-product-visible-identity-audit	legacy-ai	i18n/generated/input-provenance.tsv:269;legacy extraction row has no translation candidate;candidate_id=e7173a1ed98d6b09cc145213;key=global:247f96db649ef7bc8158;semantic_audit_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3;semantic_product_hits_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3	false	exact-product-node-audit	visible-cn-compatible-identity	基本	extracted source string is retained; exact-node semantics are separately audited	current_product_visible_identity	migrated_frontend_input_exact_node_closure	legacy-extraction-untranslated	not applicable; semantic classification only	false; no translation was authored	visible exact runtime node; offline candidate remains unselected	current-product-visible-identity-audit	基本	visible-cn-compatible-identity	low	frontend_visible_identity_retain	visible-cn-compatible-identity	i18n/generated/input-provenance.tsv:269;legacy extraction row has no translation candidate;candidate_id=e7173a1ed98d6b09cc145213;key=global:247f96db649ef7bc8158;semantic_audit_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3;semantic_product_hits_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3	Retain the visible source spelling as the compatible identity; no product text was written.
MT-01954	frontend_untranslated	frontend_i18n_input	i18n/frontend-strings.tsv	global:250558ed3152ec3e23ef	candidate_cn	&nbsp;年&nbsp;&nbsp;			i18n/frontend-strings.tsv#global:250558ed3152ec3e23ef/candidate_cn	current-product-exact-node-audit	legacy-ai	i18n/generated/input-provenance.tsv:1526;legacy extraction row has no translation candidate;candidate_id=7c4c4ed7ef01cae056a1f671;key=global:250558ed3152ec3e23ef;semantic_audit_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3;semantic_product_hits_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3	false	exact-product-node-audit	runtime-absent/not-backlog	&nbsp;年&nbsp;&nbsp;	extracted source string is retained; exact-node semantics are separately audited	current_product_exact_node_absence	migrated_frontend_input_exact_node_closure	legacy-extraction-untranslated	not applicable; semantic classification only	false; no translation was authored	false; exact source is absent from current runtime nodes	current-product-exact-node-audit		runtime-absent/not-backlog	none	frontend_source_absent_not_translation_backlog	runtime-absent/not-backlog	i18n/generated/input-provenance.tsv:1526;legacy extraction row has no translation candidate;candidate_id=7c4c4ed7ef01cae056a1f671;key=global:250558ed3152ec3e23ef;semantic_audit_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3;semantic_product_hits_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3	Exact current-product source node does not exist; no runtime translation is required.
MT-01955	frontend_untranslated	frontend_i18n_input	i18n/frontend-strings.tsv	global:385dc40306774957d51b	candidate_cn	分		分	i18n/frontend-strings.tsv#global:385dc40306774957d51b/candidate_cn	current-product-visible-identity-audit	legacy-ai	i18n/generated/input-provenance.tsv:55;legacy extraction row has no translation candidate;candidate_id=9a5243ca04b32894ecf097f1;key=global:385dc40306774957d51b;semantic_audit_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3;semantic_product_hits_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3	false	exact-product-node-audit	visible-cn-compatible-identity	分	extracted source string is retained; exact-node semantics are separately audited	current_product_visible_identity	migrated_frontend_input_exact_node_closure	legacy-extraction-untranslated	not applicable; semantic classification only	false; no translation was authored	visible exact runtime node; offline candidate remains unselected	current-product-visible-identity-audit	分	visible-cn-compatible-identity	low	frontend_visible_identity_retain	visible-cn-compatible-identity	i18n/generated/input-provenance.tsv:55;legacy extraction row has no translation candidate;candidate_id=9a5243ca04b32894ecf097f1;key=global:385dc40306774957d51b;semantic_audit_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3;semantic_product_hits_sha256=a8d66dcdec688e4baa14071950764802ef696e0d6ea6133ab5709e5dff4c4959;closure_items_sha256=5388304f6acf4a610303e335eda6b1e598e6842ded901b1a502f39d2aa05bfe3	Retain the visible source spelling as the compatible identity; no product text was written.
