row_id	physical_line	rule_type	source_key	current_cn	verdict	severity	proposed_cn	proposed_source_tier	reason	evidence	placeholder_check	newline_check	japanese_target_check	formal_term_note	product_write_allowed
ENG-002	2	exact	いいえ	否	acceptable-no-change	none	否	manual-semantic-reviewed	逐项语义复核未发现需改写问题；仅提升为人工语义已审，不冒充官方或 Wiki。	current Chinese is context-paired in both official CN native ABIs; root review confirms no change	pass	pass	pass		false
ENG-003	3	exact	戻る	返回	acceptable-no-change	none	返回	manual-semantic-reviewed	逐项语义复核未发现需改写问题；仅提升为人工语义已审，不冒充官方或 Wiki。	literal exists in official CN native evidence but pairing was not assumed; root review approves current value	pass	pass	pass		false
ENG-004	4	exact	その他	其他	acceptable-no-change	none	其他	manual-semantic-reviewed	逐项语义复核未发现需改写问题；仅提升为人工语义已审，不冒充官方或 Wiki。	prior semantic pass plus current row review; provenance remains manual-semantic-reviewed	pass	pass	pass		false
ENG-005	5	exact	キーボード入力: %s	键盘输入: %s	correction-required	low	键盘输入：%s	manual-semantic-reviewed	中文界面标点应使用全角冒号；%s 占位符保持不变。	root semantic review against Japanese source and adjacent official terminology; not an exact official whole-string	pass	pass	pass		false
ENG-009	9	exact	通信エラー	通信错误	acceptable-no-change	none	通信错误	manual-semantic-reviewed	逐项语义复核未发现需改写问题；仅提升为人工语义已审，不冒充官方或 Wiki。	prior semantic pass plus current row review; provenance remains manual-semantic-reviewed	pass	pass	pass		false
ENG-010	10	exact	ネットワーク接続に失敗しました。再接続しますか？	网络连接失败。要重新连接吗？	acceptable-no-change	none	网络连接失败。要重新连接吗？	manual-semantic-reviewed	逐项语义复核未发现需改写问题；仅提升为人工语义已审，不冒充官方或 Wiki。	prior semantic pass plus current row review; provenance remains manual-semantic-reviewed	pass	pass	pass		false
ENG-011	11	exact	データダウンロード	数据下载	acceptable-no-change	none	数据下载	manual-semantic-reviewed	逐项语义复核未发现需改写问题；仅提升为人工语义已审，不冒充官方或 Wiki。	prior semantic pass plus current row review; provenance remains manual-semantic-reviewed	pass	pass	pass		false
ENG-013	13	exact	「ダウンロードしない」を選択した場合、ボイス、ムービーは再生されません。	选择「不下载」的话，将无法播放语音和影片。	correction-required	medium	如选择“不下载”，将无法播放语音和动画。	manual-semantic-reviewed	国服相邻下载文案将ムービー称为“动画”；当前“影片”偏离项目术语。	root semantic review against Japanese source and adjacent official terminology; not an exact official whole-string	pass	pass	pass		false
ENG-015	15	exact	データ数が多いためWi-Fi環境でのダウンロードをお勧めします。\nプロローグ中もダウンロードを継続していますのでWi-Fi環境でのプレイをお勧めします。	数据量较大，建议在Wi-Fi环境下下载。\n序章期间也会继续下载，建议在Wi-Fi环境下游玩。	acceptable-no-change	none	数据量较大，建议在Wi-Fi环境下下载。\n序章期间也会继续下载，建议在Wi-Fi环境下游玩。	manual-semantic-reviewed	逐项语义复核未发现需改写问题；仅提升为人工语义已审，不冒充官方或 Wiki。	prior semantic pass plus current row review; provenance remains manual-semantic-reviewed	pass	pass	pass		false
ENG-016	16	exact	データの整合性チェック中です。	正在检查数据完整性。	acceptable-no-change	none	正在检查数据完整性。	manual-semantic-reviewed	逐项语义复核未发现需改写问题；仅提升为人工语义已审，不冒充官方或 Wiki。	prior semantic pass plus current row review; provenance remains manual-semantic-reviewed	pass	pass	pass		false
ENG-017	17	exact	ダウンロードエラー	下载错误	acceptable-no-change	none	下载错误	manual-semantic-reviewed	逐项语义复核未发现需改写问题；仅提升为人工语义已审，不冒充官方或 Wiki。	literal exists in official CN native evidence but pairing was not assumed; root review approves current value	pass	pass	pass		false
ENG-018	18	exact	ダウンロードしたファイルを保存できません。\n端末の空き容量などご確認ください。	无法保存已下载的文件。\n请检查设备的剩余空间。	acceptable-no-change	none	无法保存已下载的文件。\n请检查设备的剩余空间。	manual-semantic-reviewed	逐项语义复核未发现需改写问题；仅提升为人工语义已审，不冒充官方或 Wiki。	prior semantic pass plus current row review; provenance remains manual-semantic-reviewed	pass	pass	pass		false
ENG-019	19	exact	リトライ	重试	acceptable-no-change	none	重试	manual-semantic-reviewed	逐项语义复核未发现需改写问题；仅提升为人工语义已审，不冒充官方或 Wiki。	literal exists in official CN native evidence but pairing was not assumed; root review approves current value	pass	pass	pass		false
ENG-020	20	exact	データのダウンロード開始します。	开始下载数据。	acceptable-no-change	none	开始下载数据。	manual-semantic-reviewed	逐项语义复核未发现需改写问题；仅提升为人工语义已审，不冒充官方或 Wiki。	literal exists in official CN native evidence but pairing was not assumed; root review approves current value	pass	pass	pass		false
ENG-021	21	exact	【データサイズ：	【数据大小：	correction-required	low	【数据量：	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 同序列精确使用“数据量”。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14e0bc0']; armv7 offsets=['0x1184d58']	pass	pass	pass		false
ENG-022	22	exact	※Wi-Fi環境でのダウンロードをお勧めします。	※建议在Wi-Fi环境下下载。	acceptable-no-change	none	※建议在Wi-Fi环境下下载。	manual-semantic-reviewed	逐项语义复核未发现需改写问题；仅提升为人工语义已审，不冒充官方或 Wiki。	prior semantic pass plus current row review; provenance remains manual-semantic-reviewed	pass	pass	pass		false
ENG-023	23	exact	後でダウンロード	稍后下载	acceptable-no-change	none	稍后下载	manual-semantic-reviewed	逐项语义复核未发现需改写问题；仅提升为人工语义已审，不冒充官方或 Wiki。	prior semantic pass plus current row review; provenance remains manual-semantic-reviewed	pass	pass	pass		false
ENG-024	24	exact	Wi-Fiなど安定した通信環境をお勧めいたします。	建议使用Wi-Fi等稳定的网络环境。	acceptable-no-change	none	建议使用Wi-Fi等稳定的网络环境。	manual-semantic-reviewed	逐项语义复核未发现需改写问题；仅提升为人工语义已审，不冒充官方或 Wiki。	prior semantic pass plus current row review; provenance remains manual-semantic-reviewed	pass	pass	pass		false
ENG-025	25	exact	10連 - レアカード	10连 - 稀有卡牌	acceptable-no-change	none	10连 - 稀有卡牌	manual-semantic-reviewed	逐项语义复核未发现需改写问题；仅提升为人工语义已审，不冒充官方或 Wiki。	literal exists in official CN native evidence but pairing was not assumed; root review approves current value	pass	pass	pass		false
ENG-026	26	exact	単発 - レアカード	单发 - 稀有卡牌	correction-required	high	单抽 - 稀有卡牌	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 与国服扭蛋数据均使用“单抽”，当前“单发”是错误术语。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14e5c50']; armv7 offsets=['0x11860b8']	pass	pass	pass		false
ENG-027	27	exact	単発 - 通常カード	单发 - 普通卡牌	correction-required	high	单抽 - 普通卡牌	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 与国服扭蛋数据均使用“单抽”，当前“单发”是错误术语。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14e5c78']; armv7 offsets=['0x11860e0']	pass	pass	pass		false
ENG-028	28	exact	単発 - レアメモリア	单发 - 稀有记忆结晶	correction-required	high	单抽 - 稀有记忆结晶	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 与国服扭蛋数据均使用“单抽”，当前“单发”是错误术语。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14e5c90']; armv7 offsets=['0x11860f8']	pass	pass	pass		false
ENG-029	29	exact	単発 - 通常メモリア	单发 - 普通记忆结晶	correction-required	high	单抽 - 普通记忆结晶	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 与国服扭蛋数据均使用“单抽”，当前“单发”是错误术语。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14e5cb0']; armv7 offsets=['0x1186114']	pass	pass	pass		false
ENG-030	30	exact	使用禁止文字列が含まれています。	包含禁止使用的字符串。	correction-required	low	含有禁止使用的字符。	manual-semantic-reviewed	用户界面的文字列应译为“字符”；“字符串”属于程序术语。	root semantic review against Japanese source and adjacent official terminology; not an exact official whole-string	pass	pass	pass		false
ENG-031	31	exact	プレイヤー名を入力してください	请输入玩家名	acceptable-no-change	none	请输入玩家名	manual-semantic-reviewed	逐项语义复核未发现需改写问题；仅提升为人工语义已审，不冒充官方或 Wiki。	literal exists in official CN native evidence but pairing was not assumed; root review approves current value	pass	pass	pass		false
ENG-032	32	exact	※後から変更可能です（当日中の変更はできません）	※之后可以更改(当天内无法更改)	correction-required	low	※以后可以更改（当天不可更改）	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 同序列存在完整官中文字面值，并采用国服全角标点。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14cd1b0']; armv7 offsets=['0x117e27c']	pass	pass	pass		false
ENG-033	33	exact	入力エラー	输入错误	acceptable-no-change	none	输入错误	manual-semantic-reviewed	逐项语义复核未发现需改写问题；仅提升为人工语义已审，不冒充官方或 Wiki。	prior semantic pass plus current row review; provenance remains manual-semantic-reviewed	pass	pass	pass		false
ENG-034	34	exact	APが全回復しました！	AP已全部回复！	acceptable-no-change	none	AP已全部回复！	manual-semantic-reviewed	逐项语义复核未发现需改写问题；仅提升为人工语义已审，不冒充官方或 Wiki。	current Chinese is context-paired in both official CN native ABIs; root review confirms no change	pass	pass	pass		false
ENG-035	35	exact	に問題があります！】\n	有问题！】\n	acceptable-no-change	none	有问题！】\n	manual-semantic-reviewed	逐项语义复核未发现需改写问题；仅提升为人工语义已审，不冒充官方或 Wiki。	prior semantic pass plus current row review; provenance remains manual-semantic-reviewed	pass	pass	pass		false
ENG-036	36	exact	]は禁止です!! (	]禁止使用!! (	acceptable-no-change	none	]禁止使用!! (	manual-semantic-reviewed	逐项语义复核未发现需改写问题；仅提升为人工语义已审，不冒充官方或 Wiki。	prior semantic pass plus current row review; provenance remains manual-semantic-reviewed	pass	pass	pass		false
ENG-039	39	exact	デバフを反射します	反射减益	acceptable-no-change	none	反射减益	manual-semantic-reviewed	逐项语义复核未发现需改写问题；仅提升为人工语义已审，不冒充官方或 Wiki。	prior semantic pass plus current row review; provenance remains manual-semantic-reviewed	pass	pass	pass		false
ENG-040	40	exact	（あと	（剩余	acceptable-no-change	none	（剩余	manual-semantic-reviewed	逐项语义复核未发现需改写问题；仅提升为人工语义已审，不冒充官方或 Wiki。	prior semantic pass plus current row review; provenance remains manual-semantic-reviewed	pass	pass	pass		false
ENG-041	41	exact	敵から受けるダメージが 	受到敌方的伤害提升 	acceptable-no-change	none	受到敌方的伤害提升 	manual-semantic-reviewed	逐项语义复核未发现需改写问题；仅提升为人工语义已审，不冒充官方或 Wiki。	prior semantic pass plus current row review; provenance remains manual-semantic-reviewed	pass	pass	pass		false
ENG-043	43	exact	プールシャッフル	重洗圆盘	correction-required	low	行动盘池洗牌	manual-semantic-reviewed	Pool Shuffle 是行动盘池洗牌机制；“重洗圆盘”含义模糊。旧国服保留英文机制名，本项属人工语义定稿。	root semantic review against Japanese source and adjacent official terminology; not an exact official whole-string	pass	pass	pass		false
ENG-044	44	exact	ディスク再配布	圆盘重新配发	correction-required	medium	重新分配行动盘	official-cn-native-sequence-exact-both-abis	双 ABI 国服 native 精确使用“重新分配行动盘”。	official CN native exact C-string in both ABIs; arm64 offsets=['0x14ea498']; armv7 offsets=['0x11875a8']	pass	pass	pass		false
