item_id	source_index	stable_business_key	source_key	source_text	current_cn	ds_suggested_cn	adopted_cn	adoption_kind	runtime_strategy	explicit_rewrites_json	machine_origin	authority_tier	review_status	evidence
LOW-MT-00601	295	i18n/frontend-strings.tsv#2d36c00c19442648fc85e317/candidate_cn	2d36c00c19442648fc85e317	不足しています。	。	不足。	不足。	suggestion-verbatim	canonical-only	[]	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted	User directed all available suggested Chinese to replace the current Chinese; Codex preserved structure and corrected context defects before application.
LOW-MT-00620	314	i18n/frontend-strings.tsv#310e63d6cf6464a89c461af0/candidate_cn	310e63d6cf6464a89c461af0	全ての魔法少女のHPを回復しました	已全部魔法少女的HP回复	已回复全部魔法少女的HP	已回复全部魔法少女的HP	suggestion-verbatim	target-manifest-exact	[]	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted	User directed all available suggested Chinese to replace the current Chinese; Codex preserved structure and corrected context defects before application.
LOW-MT-00622	316	i18n/frontend-strings.tsv#313dad4acc9fce4f8d64c394/candidate_cn	313dad4acc9fce4f8d64c394	ランキングバトルのプレイ期間外のため\\x3cbr\\x3eプレイ結果は反映されません。\\x3cbr\\x3eトップページに戻ります。	不在排位战的可玩期间内,\\x3cbr\\x3e对战结果不会被记录。\\x3cbr\\x3e返回首页。	不在排位战的可玩期间内，\x3cbr\x3e对战结果不会被记录。\x3cbr\x3e返回首页。	不在排位战的可玩期间内，\\x3cbr\\x3e对战结果不会被记录。\\x3cbr\\x3e返回首页。	suggestion-structure-normalized	target-manifest-exact	[]	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted	User directed all available suggested Chinese to replace the current Chinese; Codex preserved structure and corrected context defects before application.
LOW-MT-00631	325	i18n/frontend-strings.tsv#32fc4a921bd9fa2b378d1850/candidate_cn	32fc4a921bd9fa2b378d1850	鏡の魔女の腕を\\x3cspan class\\x3d'attention'\\x3e全て制圧すると挑戦\\x3c/span\\x3eできます。	\\x3cspan class\\x3d'attention'\\x3e压制镜之魔女的全部手臂后即可挑战\\x3c/span\\x3e。	镜之魔女的全部手臂\x3cspan class\x3d'attention'\x3e压制后即可挑战\x3c/span\x3e。	镜之魔女的手臂\\x3cspan class\\x3d'attention'\\x3e全部压制后即可挑战\\x3c/span\\x3e。	suggestion-context-corrected	target-manifest-exact	[]	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted	User directed all available suggested Chinese to replace the current Chinese; Codex preserved structure and corrected context defects before application.
LOW-MT-00638	332	i18n/frontend-strings.tsv#34396445df52542bc8d2c87c/candidate_cn	34396445df52542bc8d2c87c	に更新されます。	更新。	将更新为。	时更新。	suggestion-context-corrected	target-manifest-exact	[]	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted	User directed all available suggested Chinese to replace the current Chinese; Codex preserved structure and corrected context defects before application.
LOW-MT-00666	360	i18n/frontend-strings.tsv#374d03562c4707a705b7b793/candidate_cn	374d03562c4707a705b7b793	個\\x3c/span\\x3e消費して\\x3cbr\\x3eストーリーを再生しますか？	个\\x3c/span\\x3e来\\x3cbr\\x3e回放剧情吗?	消耗{0}个\x3c/span\x3e来\x3cbr\x3e回放剧情吗?	个\\x3c/span\\x3e，是否消耗这些道具并\\x3cbr\\x3e播放剧情？	suggestion-context-corrected	target-manifest-exact	[]	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted	User directed all available suggested Chinese to replace the current Chinese; Codex preserved structure and corrected context defects before application.
LOW-MT-00672	366	i18n/frontend-strings.tsv#38f204a57aa8fc4d2b2ef779/candidate_cn	38f204a57aa8fc4d2b2ef779	1日1回無料10連ノーマルガチャを行います。\\x3cbr\\x3eよろしいですか？\\x3cdiv id\\x3d'saleSettingBtn' class\\x3d'sb_gold_02 TE se_decide'\\x3e自動設定\\x3c/div\\x3e	进行每日1次免费10连普通扭蛋。\\x3cbr\\x3e确定吗?\\x3cdiv id\\x3d'saleSettingBtn' class\\x3d'sb_gold_02 TE se_decide'\\x3e自动设置\\x3c/div\\x3e	进行每日1次免费10连普通扭蛋。\x3cbr\x3e可以吗?\x3cdiv id\x3d'saleSettingBtn' class\x3d'sb_gold_02 TE se_decide'\x3e自动设置\x3c/div\x3e	进行每日1次免费10连普通扭蛋。\\x3cbr\\x3e确定要进行吗？\\x3cdiv id\\x3d'saleSettingBtn' class\\x3d'sb_gold_02 TE se_decide'\\x3e自动设置\\x3c/div\\x3e	suggestion-context-corrected	target-manifest-exact	[]	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted	User directed all available suggested Chinese to replace the current Chinese; Codex preserved structure and corrected context defects before application.
LOW-MT-00683	377	i18n/frontend-strings.tsv#3aa00888efee64f63d6a3838/candidate_cn	3aa00888efee64f63d6a3838	解放されていく枠内のクエストを全てクリアすることで特別な報酬が入手できます。	通关逐步解放的方框内全部关卡,即可获得特别报酬。	通关逐步解放的方框内全部关卡，即可获得特别报酬。	通关逐步解放的方框内全部关卡，即可获得特别报酬。	suggestion-verbatim	target-manifest-exact	[]	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted	User directed all available suggested Chinese to replace the current Chinese; Codex preserved structure and corrected context defects before application.
LOW-MT-00684	378	i18n/frontend-strings.tsv#3af193365e7f8aa651478677/candidate_cn	3af193365e7f8aa651478677	よろしいですか？\\x3c/p\\x3e	确定吗?\\x3c/p\\x3e	确定吗？\\x3c/p\\x3e	确定吗？\\x3c/p\\x3e	suggestion-verbatim	target-manifest-exact	[]	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted	User directed all available suggested Chinese to replace the current Chinese; Codex preserved structure and corrected context defects before application.
LOW-MT-00685	379	i18n/frontend-strings.tsv#3b258ed4fcc4ceee9fafa08a/candidate_cn	3b258ed4fcc4ceee9fafa08a	のメモリアを獲得します。	的记忆结晶。	的记忆结晶获得。	的记忆结晶即将到手。	suggestion-context-corrected	target-manifest-exact	[]	true	legacy_unverified_ai_assisted	user-directed-suggestion-adopted	User directed all available suggested Chinese to replace the current Chinese; Codex preserved structure and corrected context defects before application.
