pieceId	before	after	source_tier	rationale	description
1356	Standby Ready	准备就绪	manual-context	结合“旭日之心”待命语境的完整标题人工翻译	从奈叶第一次使用魔法开始＠一直陪伴在她身旁的智能装置“旭日之心”＠每次经过新的战斗，都会改变形态，不断改良＠与奈叶结下了，不可动摇的纽带与信赖
1524	Miracle Heroines	奇迹女主角们	wiki-tw-simplified	Wiki 同记录 name_tw=奇蹟女主角們，转换为简体	“好了，姿势要端正！扭扭捏捏可不好哦！”＠“呃呃，为什么会变成这样呢……”＠“没有笑脸的话，看着就不像是真的了吧？”＠“什么‘像’啊，我们本来就是真正的魔法少女吧…？”
1548	The Great Escape	大逃亡	wiki-tw-simplified	Wiki 同记录 name_tw=大逃亡	（虽然会加速……但是不太清楚怎么减速啊……）＠“……喂，润……难道说……你不知道怎么刹车……吗……”＠“………………”＠“……怎，怎么不说话啊……！？”
1554	Maid in Vampire	吸血鬼女仆	wiki-tw-support+manual	Wiki 同记录 name_tw=MAID·IN·吸血鬼；将完整独立标题中文化并保留女仆/吸血鬼双重意象	哎呀呀女仆小姐，没有弄错吧？＠哎呀呀女仆小姐，好时髦的尖牙啊＠黄色的画布和鲜红的墨水＠用它们画出的是可爱的蝙蝠
1571	Little Vacation	小小假期	manual-context	结合“小さな世界”与圣诞假期语境翻译	（鹤乃）“又见面了！我们是驯鹿圣诞老人！来配送笑容了哦！”＠（菲利希亚）“溢出的笑容，就是我们的报酬！”＠被纯白像素点缀的，永久的白色圣诞＠两位圣诞老人今天也要前往，被天使守护的小小世界
1588	The Great Father	伟大的父亲	manual-context	完整标题直译，正文不含需另行保留的英语口癖	抓住天上的星星。然后成为凌驾于任何人之上的闪耀的一等星＠千方百计也达不到的话，就抓住眼前的火焰吧＠依靠自己的斗志和感情，不断粉碎自己的敌人＠就算不期望，总有一天也会成为持续燃烧的太阳
1608	Disguise	伪装	manual-context	结合真假世界与隐藏自我的正文语境翻译	街上的照明什么的，要是能全部消失就好了＠让夜幕笼罩城市，一切都变成漆黑一片的话，屏幕的另一侧就是正确的＠只有二十多英寸的真正的世界＠在虚假的世界夺回威风前的这几个小时才是活着的时间
1609	Night Buzz Time	夜间热议时刻	manual-context	结合视频发布网站与 SNS 传播热度语境翻译	「Hello，既然我来了就放心吧＠因为我是保护宝崎不受坏魔女侵害的正义英雄！＠也不是什么秘密，拍照和拍视频都没问题！＠上传到视频发布网站和SNS上完全OKw」
1610	Secret of Success	成功的秘诀	manual-context	结合向自己施加魔法、跨越黑暗的正文语境翻译	我不会向神明祈祷，也不会向未知的东西许愿＠一直都是向着自己，自己对自己施加魔法＠跃入黑暗中，即将撞上地面死掉时的心脏的鼓动＠平静地深呼吸之后，视野就会开阔的夜晚要开始了
1611	Naked Heart	赤裸之心	manual-context	结合温泉、裸の自分与一糸まとわぬ想い的意象翻译	冰冷的真心融化在温泉里，炽热的思念化作蒸汽＠膨胀的感情拭去了眼前的朦胧，将坦诚的自己揭露开来＠触碰到赤裸裸的思念后，感受到的冰冷与温暖一定是虚假的吧＠浸湿着悔恨的泪水才是真实的
1612	Never Forget	永不忘却	manual-context	结合共同铺设道路与铭记希望的正文语境翻译	希望寄托给了夜晚。不安互相寄托给了对方＠光明可见的城市的轮廓。让虚伪变为真实的舞台＠有你在身边，掌心传来的热度让我感受到了现实＠不要跳下，跃起吧。去铺设我们自己的道路
1678	Miracle☆Reporters	奇迹☆记者们	manual-context	保留标题星号与复数记者含义	大约４年的Weekly。魔法速报的奇迹依然健在☆＠不管是无法逆转的困境，还是无视法则的阴谋，＠只要交给传达魔法纪录真实的两位报告者＠就能以不屈不挠的根性，颠覆无数次！（魔法速报２・200回纪念）
1745	First record	最初的记录	manual-context	结合 TV 动画第一季先导视觉图与“持续刻录的唱片”双关翻译	兴高采烈，心跳怦怦，脚步加快@那是喜悦和不安变成了期待，心中浮想联翩的证明。@如今，持续刻录的唱片，正奏着崭新的乐音@（TV动画 1st SEASON 先导视觉图）
