status	risk	file	key_or_line	field	original_text	final_cn	category	source_tier	source_path	reviewer_check	notes
待人工复核	高	magica/js/libs/itemList.json	EVENT_DAILYTOWER_1212_STICKER_105100	parameter	206,赫尔卡	206,赫露迦	专名权威化	第二权威：Wiki	magireco-wiki-data@42641f87818b/data/characters.json:15087-15152	核对 ヘルカ → 赫露迦；ドルマ → 卓玛；检查语境、标点与显示宽度	官方2022 dump不覆盖该后续角色/文本，采用Wiki层；不改对象结构
待人工复核	高	magica/js/libs/itemList.json	EVENT_DAILYTOWER_1212_STICKER_105200	parameter	208,丰	208,台与	专名权威化	第二权威：Wiki	magireco-wiki-data@42641f87818b/data/characters.json:4169-4212	核对 トヨ → 台与；检查语境、标点与显示宽度	官方2022 dump不覆盖该后续角色/文本，采用Wiki层；不改对象结构
待人工复核	高	magica/js/libs/itemList.json	EVENT_DAILYTOWER_1212_STICKER_105300	parameter	210,阿玛莉莉丝	210,阿玛琉莉丝	专名权威化	第二权威：Wiki	magireco-wiki-data@42641f87818b/data/characters.json:15670-15719	核对 アマリュリス → 阿玛琉莉丝；检查语境、标点与显示宽度	官方2022 dump不覆盖该后续角色/文本，采用Wiki层；不改对象结构
待人工复核	高	magica/js/libs/sectionList.json	103802	message	喂，多尔玛……等战斗结束以后，＠我们一起喝好多好多酥油茶吧。	喂，卓玛……等战斗结束以后，＠我们一起喝好多好多酥油茶吧。	专名权威化	第二权威：Wiki	magireco-wiki-data@42641f87818b/data/characters.json:15087-15152	核对 ヘルカ → 赫露迦；ドルマ → 卓玛；检查语境、标点与显示宽度	官方2022 dump不覆盖该后续角色/文本，采用Wiki层；不改对象结构
待人工复核	中	magica/js/libs/sectionList.json	104201	outline	“除自己以外的时间全部停止”……爱生真昼开始被意外发动的时间停止玩弄。此后，她经历了治愈濒死猫咪艾米、时间停止后发生爆炸、进入结界等事件，一直寻找时间停止的原因。＠真昼追踪能够在静止时间中行动的人，目击同班同学巴麻美，并被卷入佐仓杏子、晓美焰、鹿目圆等少女的激烈战斗，由此得知魔女与魔法少女的存在。＠她再次进入结界，想从这些人身上寻找时间停止的原因，却遭魔女手下杀害。	“除自己以外的时间全部停止”……爱生眩开始被意外发动的时间停止玩弄。此后，她经历了治愈濒死猫咪艾米、时间停止后发生爆炸、进入结界等事件，一直寻找时间停止的原因。＠眩追踪能够在静止时间中行动的人，目击同班同学巴麻美，并被卷入佐仓杏子、晓美焰、鹿目圆等少女的激烈战斗，由此得知魔女与魔法少女的存在。＠她再次进入结界，想从这些人身上寻找时间停止的原因，却遭魔女手下杀害。	Scene0人名一致性	第二权威：Wiki	magireco-wiki-data@42641f87818b/data/characters.json:11109-11150	核对 愛生 まばゆ → 爱生眩；检查语境、标点与显示宽度	仅将目标人名替换为Wiki规范；其余正文逐字保持
待人工复核	中	magica/js/libs/sectionList.json	104202	outline	真昼回到一个月前。初次见面的丘比告诉她：她本来就是魔法少女，却完全不记得自己的愿望；她能够操纵光，也能使用光学迷彩。＠真昼隐藏身形接近焰等人，得知自己一直被卷入焰的时间停止与时间回溯。她目睹知晓魔法少女真相的焰努力争取麻美等人信任，也看见成为魔法少女的沙耶香不断与周围比较，最终被真相击垮。＠她想停止旁观，却得知众人仍无法打败魔女之夜，只能把未来托付给下一次轮回。	眩回到一个月前。初次见面的丘比告诉她：她本来就是魔法少女，却完全不记得自己的愿望；她能够操纵光，也能使用光学迷彩。＠眩隐藏身形接近焰等人，得知自己一直被卷入焰的时间停止与时间回溯。她目睹知晓魔法少女真相的焰努力争取麻美等人信任，也看见成为魔法少女的沙耶香不断与周围比较，最终被真相击垮。＠她想停止旁观，却得知众人仍无法打败魔女之夜，只能把未来托付给下一次轮回。	Scene0人名一致性	第二权威：Wiki	magireco-wiki-data@42641f87818b/data/characters.json:11109-11150	核对 愛生 まばゆ → 爱生眩；检查语境、标点与显示宽度	仅将目标人名替换为Wiki规范；其余正文逐字保持
待人工复核	中	magica/js/libs/sectionList.json	104203	outline	焰为了拯救小圆不断重复时间。得知真相的真昼想主动出现在焰面前，却看见性情已经改变的焰消灭丘比，因而犹豫。＠后来，她得知丘比存在多个个体，小圆即将面临签约危机，终于现身告知焰情况；但这几乎等同于承认自己一直在偷窥，招致焰的厌恶。＠即便如此，真昼仍帮助苦战魔女的小圆，斥责想与已经签约的小圆保持距离的焰；又以自己的魔法看见未来，循着未来行动救下焰，最终失去生命。＠这一切，只因为她一直敬佩深爱小圆的焰。	焰为了拯救小圆不断重复时间。得知真相的眩想主动出现在焰面前，却看见性情已经改变的焰消灭丘比，因而犹豫。＠后来，她得知丘比存在多个个体，小圆即将面临签约危机，终于现身告知焰情况；但这几乎等同于承认自己一直在偷窥，招致焰的厌恶。＠即便如此，眩仍帮助苦战魔女的小圆，斥责想与已经签约的小圆保持距离的焰；又以自己的魔法看见未来，循着未来行动救下焰，最终失去生命。＠这一切，只因为她一直敬佩深爱小圆的焰。	Scene0人名一致性	第二权威：Wiki	magireco-wiki-data@42641f87818b/data/characters.json:11109-11150	核对 愛生 まばゆ → 爱生眩；检查语境、标点与显示宽度	仅将目标人名替换为Wiki规范；其余正文逐字保持
待人工复核	中	magica/js/libs/sectionList.json	104204	outline	焰通过时间回溯让真昼复活。真昼以能够看见“无法改变的最佳未来”的预知能力支援焰，小圆却仍与丘比签约。＠百江渚以“请把那只魔女从绝望中解放”为愿望诞生，但得知麻美死亡后，认定是自己杀了麻美；又因杀死杏子而深受罪恶感折磨。＠真昼在此过程中回想起与占卜师母亲的过去，也记起“剪除记忆胶片”的力量。她用这份力量拯救渚的内心，随后众人一同挑战魔女之夜。	焰通过时间回溯让眩复活。眩以能够看见“无法改变的最佳未来”的预知能力支援焰，小圆却仍与丘比签约。＠百江渚以“请把那只魔女从绝望中解放”为愿望诞生，但得知麻美死亡后，认定是自己杀了麻美；又因杀死杏子而深受罪恶感折磨。＠眩在此过程中回想起与占卜师母亲的过去，也记起“剪除记忆胶片”的力量。她用这份力量拯救渚的内心，随后众人一同挑战魔女之夜。	Scene0人名一致性	第二权威：Wiki	magireco-wiki-data@42641f87818b/data/characters.json:11109-11150	核对 愛生 まばゆ → 爱生眩；检查语境、标点与显示宽度	仅将目标人名替换为Wiki规范；其余正文逐字保持
待人工复核	中	magica/js/libs/sectionList.json	104205	outline	真昼与渚再也无法相见。明知如此，焰仍努力阻止小圆接触魔女；真昼则为了寻找阻止小圆签约的关键，邀请沙耶香到Recompense帮忙。＠经常去医院探望的沙耶香最终成为魔法少女，丘比趁机接触小圆。焰担心事态恶化而出现在沙耶香面前，却遭对方警戒；真昼的魔法少女身份暴露后，也失去信任。＠直到挑战魔女之夜前，双方隔阂仍未消除。真昼等人最终决定在战斗中重新启动时间轮回。	眩与渚再也无法相见。明知如此，焰仍努力阻止小圆接触魔女；眩则为了寻找阻止小圆签约的关键，邀请沙耶香到Recompense帮忙。＠经常去医院探望的沙耶香最终成为魔法少女，丘比趁机接触小圆。焰担心事态恶化而出现在沙耶香面前，却遭对方警戒；眩的魔法少女身份暴露后，也失去信任。＠直到挑战魔女之夜前，双方隔阂仍未消除。眩等人最终决定在战斗中重新启动时间轮回。	Scene0人名一致性	第二权威：Wiki	magireco-wiki-data@42641f87818b/data/characters.json:11109-11150	核对 愛生 まばゆ → 爱生眩；检查语境、标点与显示宽度	仅将目标人名替换为Wiki规范；其余正文逐字保持
待人工复核	中	magica/js/libs/sectionList.json	104206	outline	真昼掌握着同一段时间中发生事件的流程图。为了利用这些信息阻止小圆签约，她再次邀请沙耶香到Recompense帮忙。＠真昼每天跟踪前往医院探望的沙耶香，逐渐接近她“治好恭介”的愿望与恋心。仁美宣布将向恭介告白，沙耶香因此动摇；与真昼交谈后，她终于决心面对自己的感情。＠然而沙耶香悲叹自己已非人类，扔掉灵魂宝石而死；小圆为了救她成为魔法少女，并走向魔女之夜。	眩掌握着同一段时间中发生事件的流程图。为了利用这些信息阻止小圆签约，她再次邀请沙耶香到Recompense帮忙。＠眩每天跟踪前往医院探望的沙耶香，逐渐接近她“治好恭介”的愿望与恋心。仁美宣布将向恭介告白，沙耶香因此动摇；与眩交谈后，她终于决心面对自己的感情。＠然而沙耶香悲叹自己已非人类，扔掉灵魂宝石而死；小圆为了救她成为魔法少女，并走向魔女之夜。	Scene0人名一致性	第二权威：Wiki	magireco-wiki-data@42641f87818b/data/characters.json:11109-11150	核对 愛生 まばゆ → 爱生眩；检查语境、标点与显示宽度	仅将目标人名替换为Wiki规范；其余正文逐字保持
