log_line	hook	source_text_escaped	classification	action	machine_translation_status	authority_evidence	detailed_translation_row
185	Label::setString	\u0020	whitespace-noise	ignore	not-applicable	runtime-literal	
790	Label::setString	没错，大家一定要解开无尽镜界的谜团。	already-zh	no-action	unknown-current-package-provenance	current-runtime-visible-zh	
792	Label::setString	我会准备好各种补给，大家要平安回来哦。	already-zh	no-action	unknown-current-package-provenance	current-runtime-visible-zh	
1091	Label::setString	Puella 连击	zh-with-official-game-term	no-action	unknown-current-package-provenance	old-cn command.js/help.json retain Puella	
1093	Label::setString	用相同圆盘达成 Puella Combo\n可以造成更大的伤害	zh-with-official-game-term	no-action	unknown-current-package-provenance	old-cn command.js/help.json retain Puella Combo	
1117	Label::setString	x1.0	nonlinguistic-speed	ignore	not-applicable	runtime-literal	
1119	Label::setString	x2.0	nonlinguistic-speed	ignore	not-applicable	runtime-literal	
1121	Label::setString	x3.0	nonlinguistic-speed	ignore	not-applicable	runtime-literal	
1186	Label::setString	3	nonlinguistic-number	ignore	not-applicable	runtime-literal	
1198	Label::setString	Mitama Yakumo	untranslated-name	translate-official-cn	false	Decoded_MyPage.json charaNo=1017	Mitama Yakumo
1210	Label::setString	旅する調整屋	untranslated-memoria-name	review-wiki	unknown	memoria.json pieceId=1449	旅する調整屋
1212	Label::setString	Critical Hit Chance [IV] / ATK UP [II] / Negate Charm	untranslated-memoria-effect	translate-official-term-join	false	Decoded_MyPage.json exact art IDs	Critical Hit Chance [IV] / ATK UP [II] / Negate Charm
1214	Label::setString	やさしいは作れる	untranslated-memoria-name	review-wiki	unknown	memoria.json pieceId=1472	やさしいは作れる
1216	Label::setString	Damage UP [V] / Reduce Damage [IV]	untranslated-memoria-effect	review-wiki-and-parallel-art	unknown	memoria.json skillId=147201;Decoded_MyPage partial art evidence	Damage UP [V] / Reduce Damage [IV]
1226	Label::setString	I'm so nervous, my heart is pounding...	untranslated-battle-quote	translate-official-cn	false	Decoded_MyPage.json charaNo=1017 messageId=44	I'm so nervous, my heart is pounding...
1383	Label::setString	Magia	official-source-preserved	no-rule-required	false	old-cn help.json exact title=Magia	Magia
1385	Label::setString	Magia 槽积攒到 100 以上后\n随时都能发动 Magia	zh-with-official-game-term	no-action	unknown-current-package-provenance	old-cn help.json/standalone UI retain Magia	
1553	Label::setString	Your Coordinator would appreciate a compliment or two!	untranslated-battle-quote	translate-official-cn	false	Decoded_MyPage.json charaNo=1017 messageId=45	Your Coordinator would appreciate a compliment or two!
1756	Label::setString	Accele 圆盘	zh-with-official-game-term	no-action	unknown-current-package-provenance	old-cn command.js/help.json retain Accele	
1758	Label::setString	先用 Accele 圆盘攻击\n之后的圆盘更容易积攒 Magia 槽	zh-with-official-game-term	no-action	unknown-current-package-provenance	old-cn command.js/help.json retain Accele and Magia	
