product_path	source_text	final_cn	source_tier	operation	anchor
magica/template/arena/ArenaCurePop.html	You have MAX BP.	BP已达到最大值。	official-cn	replace-once	
magica/template/arena/ArenaCurePop.html	You have no BP Potions.	无BP回复药。	official-cn	replace-once	
magica/template/arena/ArenaCurePop.html	Use a BP Potion to Restore your BP?	要使用BP回复药回复全部BP吗？	official-cn	replace-once	
magica/template/arena/ArenaCurePop.html	BP Potion	BP回复药	official-cn	replace-once	
magica/template/arena/ArenaCurePop.html	Stock:	持有数	official-cn	replace-once	
magica/template/arena/ArenaCurePop.html	Restore	回复	official-cn	replace-once	
magica/template/config/deleteUserData/popupComplete.html	Player Data has been deleted.	玩家数据已删除。	root-reviewed	replace-once	
magica/template/config/deleteUserData/popupConfirm.html	Are you sure you want to delete your player data stored on the server?	是否删除保存在服务器上的玩家数据？	root-reviewed	replace-once	
magica/template/config/deleteUserData/popupConfirm.html	※Even if your transfer password and account links are set,	※即使已设置数据转移密码或关联外部账号，	root-reviewed	replace-once	
magica/template/config/deleteUserData/popupConfirm.html	once your player data has been deleted,	玩家数据删除后	root-reviewed	replace-once	
magica/template/config/deleteUserData/popupConfirm.html	it will NOT be possible to recover your data later.	也将无法恢复数据。	root-reviewed	replace-once	
magica/template/config/deleteUserData/popupError.html	The Player ID entered is incorrect.	玩家ID有误。	root-reviewed	replace-once	
magica/template/config/deleteUserData/popupError.html	※Your Player ID can be found on the Game Settings menu.	※玩家ID可在菜单中查看。	root-reviewed	replace-once	
magica/template/config/deleteUserData/popupInputPlayerID.html	To delete you Player Data, please enter your Player ID.	若要删除玩家数据，请输入玩家ID。	root-reviewed	replace-once	
magica/template/config/deleteUserData/popupInputPlayerID.html	※Player Data can only be deleted for the account currently active on this device.	※仅可删除当前设备上正在使用的账号的玩家数据。	root-reviewed	replace-once	
magica/template/config/deleteUserData/popupInputPlayerID.html	※Your Player ID can be found on the Game Settings menu or your Profile Screen.	※玩家ID可在游戏设置画面或个人资料画面中查看。	root-reviewed	replace-once	
magica/template/config/deleteUserData/popupInputPlayerID.html	※Once deleted, Player Data CANNOT be recovered under any circumstances.	※已删除的玩家数据在任何情况下都无法恢复。	root-reviewed	replace-once	
magica/template/config/deleteUserData/popupReConfirm.html	The following Player Data will be deleted from the server.	将从服务器删除以下玩家数据。	root-reviewed	replace-once	
magica/template/config/deleteUserData/popupReConfirm.html	Are you sure you want to proceed?	确定要删除吗？	root-reviewed	replace-once	
magica/template/config/deleteUserData/popupReConfirm.html	Player Name	玩家名	root-reviewed	replace-once	
magica/template/config/deleteUserData/popupReConfirm.html	Player Rank	玩家等级	root-reviewed	replace-once	
magica/template/config/deleteUserData/popupReConfirm.html	Birthday	生日	root-reviewed	replace-once	
magica/template/config/deleteUserData/popupReConfirm.html	※If you do not wish to delete your data, please select Cancel.	※如果不删除，请选择“取消”。	root-reviewed	replace-once	
magica/template/event/EventWitch/parts/MemoriaDetailPopup.html	MAX HP	最大HP	root-reviewed	replace-once	
magica/template/event/EventWitch/parts/MemoriaDetailPopup.html	MAX ATK	最大ATK	root-reviewed	replace-once	
magica/template/event/EventWitch/parts/MemoriaDetailPopup.html	MAX DEF	最大DEF	root-reviewed	replace-once	
magica/template/quest/QuestDetailPopup.html	任务	任务	official-cn	preserve-exact-anchor	"<div class=""questDetailTitle c_white"">任务</div>"
magica/template/quest/QuestDetailPopup.html	获得的报酬	获得的报酬	official-cn	preserve-exact-anchor	"<div class=""questDetailTitle c_white"">获得的报酬</div>"
magica/template/quest/MainQuest.html	"<span class=""sectionNo"">Ch.<%=""<%= model.chapterNoForView %\>""%>: Ep.<%=""<%= model.section.genericIndex %\>""%></span>"	"<span class=""sectionNo"">Ch.<%=""<%= model.chapterNoForView %\>""%>: <%=""<%= model.section.genericIndex %\>""%>话</span>"	official-cn	replace-once	
magica/template/quest/SubQuest.html	"<span class=""sectionNo"">Ch.<%=""<%= model.chapterNoForView %\>""%>: Ep.<%=""<%= model.section.genericIndex %\>""%></span>"	"<span class=""sectionNo"">Ch.<%=""<%= model.chapterNoForView %\>""%>: <%=""<%= model.section.genericIndex %\>""%>话</span>"	official-cn	replace-once	
