record_id	component	scope	file	stable_key_or_line	field	original_text	current_cn	suggested_cn	product_or_reference_location	source_tier	source_bucket	evidence_path_or_key	machine_translated	confidence	review_status	japanese_or_source_original	missing_original_reason	provenance_class	source_stage	source_batch	source_author	is_machine_translation	runtime_consumed	highest_authority_tier	highest_authority_match	authority_status	risk	issue_type	manual_review_status	evidence	notes
MT-01999	glossary_wiki_authority_support	offline_authority_support	i18n/glossary.tsv	WGS-0001	zhCN	10連ガチャチケット	10连扭蛋券	10连扭蛋券	i18n/glossary.tsv#WGS-0001/zhCN	wiki	wiki	i18n/generated/input-provenance.tsv:2;migrated Wiki glossary candidate;key=global:aae22850b7f62bbc1414	false	high_as_wiki_candidate	authority-support-available	10連ガチャチケット		wiki_authority_support	migrated_glossary	wiki-migrated-glossary	HiiragiNemu/magireco-wiki-data contributors	false	false; offline authority input, not directly consumed at runtime	wiki	10连扭蛋券	wiki-authority-support-available	low	wiki_authority_support_not_direct_runtime	authority-support-available	i18n/generated/input-provenance.tsv:2;migrated Wiki glossary candidate;key=global:aae22850b7f62bbc1414	Wiki is second authority; official CN still wins on an exact stable-ID conflict
MT-02000	glossary_wiki_authority_support	offline_authority_support	i18n/glossary.tsv	WGS-0002	zhCN	AP回復薬	AP回复药	AP回复药	i18n/glossary.tsv#WGS-0002/zhCN	wiki	wiki	i18n/generated/input-provenance.tsv:3;migrated Wiki glossary candidate;key=global:c86d238f6b9e6ef45792	false	high_as_wiki_candidate	authority-support-available	AP回復薬		wiki_authority_support	migrated_glossary	wiki-migrated-glossary	HiiragiNemu/magireco-wiki-data contributors	false	false; offline authority input, not directly consumed at runtime	wiki	AP回复药	wiki-authority-support-available	low	wiki_authority_support_not_direct_runtime	authority-support-available	i18n/generated/input-provenance.tsv:3;migrated Wiki glossary candidate;key=global:c86d238f6b9e6ef45792	Wiki is second authority; official CN still wins on an exact stable-ID conflict
MT-02001	glossary_wiki_authority_support	offline_authority_support	i18n/glossary.tsv	WGS-0003	zhCN	AP回復薬50	AP回复药50	AP回复药50	i18n/glossary.tsv#WGS-0003/zhCN	wiki	wiki	i18n/generated/input-provenance.tsv:4;migrated Wiki glossary candidate;key=global:3dc5090f8065b153d87b	false	high_as_wiki_candidate	authority-support-available	AP回復薬50		wiki_authority_support	migrated_glossary	wiki-migrated-glossary	HiiragiNemu/magireco-wiki-data contributors	false	false; offline authority input, not directly consumed at runtime	wiki	AP回复药50	wiki-authority-support-available	low	wiki_authority_support_not_direct_runtime	authority-support-available	i18n/generated/input-provenance.tsv:4;migrated Wiki glossary candidate;key=global:3dc5090f8065b153d87b	Wiki is second authority; official CN still wins on an exact stable-ID conflict
MT-02002	glossary_wiki_authority_support	offline_authority_support	i18n/glossary.tsv	WGS-0004	zhCN	Acceleドロー	重抽为Accele	重抽为Accele	i18n/glossary.tsv#WGS-0004/zhCN	wiki	wiki	i18n/generated/input-provenance.tsv:5;migrated Wiki glossary candidate;key=global:9556c45fdd6f67bac5b6	false	high_as_wiki_candidate	authority-support-available	Acceleドロー		wiki_authority_support	migrated_glossary	wiki-migrated-glossary	HiiragiNemu/magireco-wiki-data contributors	false	false; offline authority input, not directly consumed at runtime	wiki	重抽为Accele	wiki-authority-support-available	low	wiki_authority_support_not_direct_runtime	authority-support-available	i18n/generated/input-provenance.tsv:5;migrated Wiki glossary candidate;key=global:9556c45fdd6f67bac5b6	Wiki is second authority; official CN still wins on an exact stable-ID conflict
MT-02003	glossary_wiki_authority_support	offline_authority_support	i18n/glossary.tsv	WGS-0005	zhCN	Another Daze最終Battleで…	在Another Daze最终Battle…	在Another Daze最终Battle…	i18n/glossary.tsv#WGS-0005/zhCN	wiki	wiki	i18n/generated/input-provenance.tsv:6;migrated Wiki glossary candidate;key=global:42f80fdab5b84977a21a	false	high_as_wiki_candidate	authority-support-available	Another Daze最終Battleで…		wiki_authority_support	migrated_glossary	wiki-migrated-glossary	HiiragiNemu/magireco-wiki-data contributors	false	false; offline authority input, not directly consumed at runtime	wiki	在Another Daze最终Battle…	wiki-authority-support-available	low	wiki_authority_support_not_direct_runtime	authority-support-available	i18n/generated/input-provenance.tsv:6;migrated Wiki glossary candidate;key=global:42f80fdab5b84977a21a	Wiki is second authority; official CN still wins on an exact stable-ID conflict
MT-02004	glossary_wiki_authority_support	offline_authority_support	i18n/glossary.tsv	WGS-0006	zhCN	BP回復薬	BP回复药	BP回复药	i18n/glossary.tsv#WGS-0006/zhCN	wiki	wiki	i18n/generated/input-provenance.tsv:7;migrated Wiki glossary candidate;key=global:31806a4d9d8e72b4f535	false	high_as_wiki_candidate	authority-support-available	BP回復薬		wiki_authority_support	migrated_glossary	wiki-migrated-glossary	HiiragiNemu/magireco-wiki-data contributors	false	false; offline authority input, not directly consumed at runtime	wiki	BP回复药	wiki-authority-support-available	low	wiki_authority_support_not_direct_runtime	authority-support-available	i18n/generated/input-provenance.tsv:7;migrated Wiki glossary candidate;key=global:31806a4d9d8e72b4f535	Wiki is second authority; official CN still wins on an exact stable-ID conflict
MT-02005	glossary_wiki_authority_support	offline_authority_support	i18n/glossary.tsv	WGS-0007	zhCN	Blast ダメージDOWN	Blast伤害DOWN	Blast伤害DOWN	i18n/glossary.tsv#WGS-0007/zhCN	wiki	wiki	i18n/generated/input-provenance.tsv:8;migrated Wiki glossary candidate;key=global:a4af7cb7caa211806666	false	high_as_wiki_candidate	authority-support-available	Blast ダメージDOWN		wiki_authority_support	migrated_glossary	wiki-migrated-glossary	HiiragiNemu/magireco-wiki-data contributors	false	false; offline authority input, not directly consumed at runtime	wiki	Blast伤害DOWN	wiki-authority-support-available	low	wiki_authority_support_not_direct_runtime	authority-support-available	i18n/generated/input-provenance.tsv:8;migrated Wiki glossary candidate;key=global:a4af7cb7caa211806666	Wiki is second authority; official CN still wins on an exact stable-ID conflict
MT-02006	glossary_wiki_authority_support	offline_authority_support	i18n/glossary.tsv	WGS-0008	zhCN	Blast ダメージUP	Blast伤害UP	Blast伤害UP	i18n/glossary.tsv#WGS-0008/zhCN	wiki	wiki	i18n/generated/input-provenance.tsv:9;migrated Wiki glossary candidate;key=global:3d049d085334d9045b96	false	high_as_wiki_candidate	authority-support-available	Blast ダメージUP		wiki_authority_support	migrated_glossary	wiki-migrated-glossary	HiiragiNemu/magireco-wiki-data contributors	false	false; offline authority input, not directly consumed at runtime	wiki	Blast伤害UP	wiki-authority-support-available	low	wiki_authority_support_not_direct_runtime	authority-support-available	i18n/generated/input-provenance.tsv:9;migrated Wiki glossary candidate;key=global:3d049d085334d9045b96	Wiki is second authority; official CN still wins on an exact stable-ID conflict
MT-02007	glossary_wiki_authority_support	offline_authority_support	i18n/glossary.tsv	WGS-0009	zhCN	Blast ダメージカット	Blast伤害削减	Blast伤害削减	i18n/glossary.tsv#WGS-0009/zhCN	wiki	wiki	i18n/generated/input-provenance.tsv:10;migrated Wiki glossary candidate;key=global:02c9e0a90816c877b947	false	high_as_wiki_candidate	authority-support-available	Blast ダメージカット		wiki_authority_support	migrated_glossary	wiki-migrated-glossary	HiiragiNemu/magireco-wiki-data contributors	false	false; offline authority input, not directly consumed at runtime	wiki	Blast伤害削减	wiki-authority-support-available	low	wiki_authority_support_not_direct_runtime	authority-support-available	i18n/generated/input-provenance.tsv:10;migrated Wiki glossary candidate;key=global:02c9e0a90816c877b947	Wiki is second authority; official CN still wins on an exact stable-ID conflict
MT-02008	glossary_wiki_authority_support	offline_authority_support	i18n/glossary.tsv	WGS-0010	zhCN	Blast ダメージカット状態	Blast伤害削减状态	Blast伤害削减状态	i18n/glossary.tsv#WGS-0010/zhCN	wiki	wiki	i18n/generated/input-provenance.tsv:11;migrated Wiki glossary candidate;key=global:ba9b8815f8dbc7b7ac7d	false	high_as_wiki_candidate	authority-support-available	Blast ダメージカット状態		wiki_authority_support	migrated_glossary	wiki-migrated-glossary	HiiragiNemu/magireco-wiki-data contributors	false	false; offline authority input, not directly consumed at runtime	wiki	Blast伤害削减状态	wiki-authority-support-available	low	wiki_authority_support_not_direct_runtime	authority-support-available	i18n/generated/input-provenance.tsv:11;migrated Wiki glossary candidate;key=global:ba9b8815f8dbc7b7ac7d	Wiki is second authority; official CN still wins on an exact stable-ID conflict
