record_id	component	scope	file	stable_key_or_line	field	original_text	current_cn	suggested_cn	product_or_reference_location	source_tier	source_bucket	evidence_path_or_key	machine_translated	confidence	review_status	japanese_or_source_original	missing_original_reason	provenance_class	source_stage	source_batch	source_author	is_machine_translation	runtime_consumed	highest_authority_tier	highest_authority_match	authority_status	risk	issue_type	manual_review_status	evidence	notes
MT-00317	frontend_ai_assisted_translated	frontend_i18n_input	i18n/frontend-strings.tsv	0021943b11297d3885fffb41	candidate_cn	解放日時	解放时间	needs-review/root-translation-required	i18n/frontend-strings.tsv#0021943b11297d3885fffb41/candidate_cn	legacy_unverified_ai_assisted	legacy-ai	i18n/generated/input-provenance.tsv:1394;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=7805a53c5b384cd48573d0d267220b0e80fb93f3	ai-assisted-unverified	low	pending	解放日時		legacy_unverified_ai_assisted	global	legacy-kimi-ai-assisted	Kimi AI-assisted batch label; per-row human author not proven	ai_assisted_batch_unverified_per_row	false; offline inputs are not consumed by Actions/Build_JS/runtime	legacy_unverified_ai_assisted		no_per_entry_official_or_wiki_pair	medium	legacy_ai_assisted_or_mixed_i18n_input	pending	i18n/generated/input-provenance.tsv:1394;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=7805a53c5b384cd48573d0d267220b0e80fb93f3	path_prefix=;selected=true;no product-tree auto-materialization
MT-00318	frontend_ai_assisted_translated	frontend_i18n_input	i18n/frontend-strings.tsv	002a8518d31ddb1425793804	candidate_cn	アプリを削除してしまうとデータが初期化されてしまいますのでご注意ください。	请注意,删除应用后数据将被初始化。	如果删除应用，数据将被初始化，请务必注意。	i18n/frontend-strings.tsv#002a8518d31ddb1425793804/candidate_cn	official_cn_dump	official	i18n/generated/input-provenance.tsv:1181;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=f7d079e78fac968fa8c892ddd4bb638c062c9eb5; selected authority i18n/reviewed-candidates.tsv:7;LOW-MT-00315; official and JP trees share template/top/NewVersionRecommend.html; rejected ambiguous alignments are recorded in the Pass20 review table; locator=D:/magia/MyProducts/MAGIA RECORD CN/静态数据/static/magica/template/top/NewVersionRecommend.html#div#NewVersionRecommend/div:nth-of-type(1)/div#versionReccommend/span.versionReccommendTxt02.c_gold:nth-of-type(2)/br:nth-of-type(1); source_sha256=b200eb7661ca0c53454c6ed6cb6db016183a6be8844a48cba355c92ab1fa6f71; match=exact-path-dom-match; machineTranslated=false; confidence=exact; review=official-source-verified	ai-assisted-unverified	low	authority-resolved	アプリを削除してしまうとデータが初期化されてしまいますのでご注意ください。		legacy_unverified_ai_assisted	global	legacy-kimi-ai-assisted	Kimi AI-assisted batch label; per-row human author not proven	ai_assisted_batch_unverified_per_row	false; offline inputs are not consumed by Actions/Build_JS/runtime	official_cn_dump	如果删除应用，数据将被初始化，请务必注意。	explicit-higher-authority-selected	low	legacy_low_tier_replaced_by_explicit_authority	authority-resolved	i18n/generated/input-provenance.tsv:1181;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=f7d079e78fac968fa8c892ddd4bb638c062c9eb5; selected authority i18n/reviewed-candidates.tsv:7;LOW-MT-00315; official and JP trees share template/top/NewVersionRecommend.html; rejected ambiguous alignments are recorded in the Pass20 review table; locator=D:/magia/MyProducts/MAGIA RECORD CN/静态数据/static/magica/template/top/NewVersionRecommend.html#div#NewVersionRecommend/div:nth-of-type(1)/div#versionReccommend/span.versionReccommendTxt02.c_gold:nth-of-type(2)/br:nth-of-type(1); source_sha256=b200eb7661ca0c53454c6ed6cb6db016183a6be8844a48cba355c92ab1fa6f71; match=exact-path-dom-match; machineTranslated=false; confidence=exact; review=official-source-verified	path_prefix=;selected=false;explicit reviewed candidate supersedes low-tier value
MT-00319	frontend_ai_assisted_translated	frontend_i18n_input	i18n/frontend-strings.tsv	002d0fec3c21cad5e83711db	candidate_cn	魔力解放確認	魔力解放确认	needs-review/root-translation-required	i18n/frontend-strings.tsv#002d0fec3c21cad5e83711db/candidate_cn	legacy_unverified_ai_assisted	legacy-ai	i18n/generated/input-provenance.tsv:942;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=7805a53c5b384cd48573d0d267220b0e80fb93f3	ai-assisted-unverified	low	pending	魔力解放確認		legacy_unverified_ai_assisted	global	legacy-kimi-ai-assisted	Kimi AI-assisted batch label; per-row human author not proven	ai_assisted_batch_unverified_per_row	false; offline inputs are not consumed by Actions/Build_JS/runtime	legacy_unverified_ai_assisted		no_per_entry_official_or_wiki_pair	medium	legacy_ai_assisted_or_mixed_i18n_input	pending	i18n/generated/input-provenance.tsv:942;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=7805a53c5b384cd48573d0d267220b0e80fb93f3	path_prefix=;selected=true;no product-tree auto-materialization
MT-00320	frontend_ai_assisted_translated	frontend_i18n_input	i18n/frontend-strings.tsv	00406b3af58099722ba48576	candidate_cn	パフパフパフー♪＠パーフェクトおめでとう！＠全部解けるとすっきりするわよね	啪啪啪♪＠恭喜全对!＠全部答完真是痛快呢	needs-review/root-translation-required	i18n/frontend-strings.tsv#00406b3af58099722ba48576/candidate_cn	legacy_unverified_ai_assisted	legacy-ai	i18n/generated/input-provenance.tsv:610;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=f7d079e78fac968fa8c892ddd4bb638c062c9eb5	ai-assisted-unverified	low	pending	パフパフパフー♪＠パーフェクトおめでとう！＠全部解けるとすっきりするわよね		legacy_unverified_ai_assisted	global	legacy-kimi-ai-assisted	Kimi AI-assisted batch label; per-row human author not proven	ai_assisted_batch_unverified_per_row	false; offline inputs are not consumed by Actions/Build_JS/runtime	legacy_unverified_ai_assisted		no_per_entry_official_or_wiki_pair	medium	legacy_ai_assisted_or_mixed_i18n_input	pending	i18n/generated/input-provenance.tsv:610;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=f7d079e78fac968fa8c892ddd4bb638c062c9eb5	path_prefix=;selected=true;no product-tree auto-materialization
MT-00321	frontend_ai_assisted_translated	frontend_i18n_input	i18n/frontend-strings.tsv	00696d0f07ec776663c76d40	candidate_cn	デイリー報酬	每日报酬	needs-review/root-translation-required	i18n/frontend-strings.tsv#00696d0f07ec776663c76d40/candidate_cn	legacy_unverified_ai_assisted	legacy-ai	i18n/generated/input-provenance.tsv:771;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=7805a53c5b384cd48573d0d267220b0e80fb93f3	ai-assisted-unverified	low	pending	デイリー報酬		legacy_unverified_ai_assisted	global	legacy-kimi-ai-assisted	Kimi AI-assisted batch label; per-row human author not proven	ai_assisted_batch_unverified_per_row	false; offline inputs are not consumed by Actions/Build_JS/runtime	legacy_unverified_ai_assisted		no_per_entry_official_or_wiki_pair	medium	legacy_ai_assisted_or_mixed_i18n_input	pending	i18n/generated/input-provenance.tsv:771;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=7805a53c5b384cd48573d0d267220b0e80fb93f3	path_prefix=;selected=true;no product-tree auto-materialization
MT-00322	frontend_ai_assisted_translated	frontend_i18n_input	i18n/frontend-strings.tsv	007205dbf9332de767f5580a	candidate_cn	メモリアセット	记忆结晶组合	needs-review/root-translation-required	i18n/frontend-strings.tsv#007205dbf9332de767f5580a/candidate_cn	legacy_unverified_ai_assisted	legacy-ai	i18n/generated/input-provenance.tsv:18;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=6ac6c6b1c20e89ec29482de9205635c96f325398	ai-assisted-unverified	low	pending	メモリアセット		legacy_unverified_ai_assisted	global	legacy-claude-ai-assisted	Claude AI-assisted batch label; per-row human author not proven	ai_assisted_batch_unverified_per_row	false; offline inputs are not consumed by Actions/Build_JS/runtime	legacy_unverified_ai_assisted		no_per_entry_official_or_wiki_pair	medium	legacy_ai_assisted_or_mixed_i18n_input	pending	i18n/generated/input-provenance.tsv:18;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=6ac6c6b1c20e89ec29482de9205635c96f325398	path_prefix=;selected=true;no product-tree auto-materialization
MT-00323	frontend_ai_assisted_translated	frontend_i18n_input	i18n/frontend-strings.tsv	0086ff8c330e586378ec8e20	candidate_cn	参加報酬	参与报酬	needs-review/root-translation-required	i18n/frontend-strings.tsv#0086ff8c330e586378ec8e20/candidate_cn	legacy_unverified_ai_assisted	legacy-ai	i18n/generated/input-provenance.tsv:509;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=7805a53c5b384cd48573d0d267220b0e80fb93f3	ai-assisted-unverified	low	pending	参加報酬		legacy_unverified_ai_assisted	global	legacy-kimi-ai-assisted	Kimi AI-assisted batch label; per-row human author not proven	ai_assisted_batch_unverified_per_row	false; offline inputs are not consumed by Actions/Build_JS/runtime	legacy_unverified_ai_assisted		no_per_entry_official_or_wiki_pair	medium	legacy_ai_assisted_or_mixed_i18n_input	pending	i18n/generated/input-provenance.tsv:509;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=7805a53c5b384cd48573d0d267220b0e80fb93f3	path_prefix=;selected=true;no product-tree auto-materialization
MT-00324	frontend_ai_assisted_translated	frontend_i18n_input	i18n/frontend-strings.tsv	008f669d52836c62869a27cb	candidate_cn	精神強化に必要なCCが不足しています。	精神强化所需CC不足。	needs-review/root-translation-required	i18n/frontend-strings.tsv#008f669d52836c62869a27cb/candidate_cn	legacy_unverified_ai_assisted	legacy-ai	i18n/generated/input-provenance.tsv:934;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=f7d079e78fac968fa8c892ddd4bb638c062c9eb5	ai-assisted-unverified	low	pending	精神強化に必要なCCが不足しています。		legacy_unverified_ai_assisted	global	legacy-kimi-ai-assisted	Kimi AI-assisted batch label; per-row human author not proven	ai_assisted_batch_unverified_per_row	false; offline inputs are not consumed by Actions/Build_JS/runtime	legacy_unverified_ai_assisted		no_per_entry_official_or_wiki_pair	medium	legacy_ai_assisted_or_mixed_i18n_input	pending	i18n/generated/input-provenance.tsv:934;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=f7d079e78fac968fa8c892ddd4bb638c062c9eb5	path_prefix=;selected=true;no product-tree auto-materialization
MT-00325	frontend_ai_assisted_translated	frontend_i18n_input	i18n/frontend-strings.tsv	00ba2d290580be6541a7e725	candidate_cn	殲滅戦には専用の編成が必要です。\\x3cbr\\x3eクエスト編成をコピーして殲滅戦の編成を行いますか？	歼灭战需要专用编成。\\x3cbr\\x3e要复制关卡编成来进行歼灭战编成吗?	needs-review/root-translation-required	i18n/frontend-strings.tsv#00ba2d290580be6541a7e725/candidate_cn	legacy_unverified_ai_assisted	legacy-ai	i18n/generated/input-provenance.tsv:1130;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=f7d079e78fac968fa8c892ddd4bb638c062c9eb5	ai-assisted-unverified	low	pending	殲滅戦には専用の編成が必要です。\\x3cbr\\x3eクエスト編成をコピーして殲滅戦の編成を行いますか？		legacy_unverified_ai_assisted	global	legacy-kimi-ai-assisted	Kimi AI-assisted batch label; per-row human author not proven	ai_assisted_batch_unverified_per_row	false; offline inputs are not consumed by Actions/Build_JS/runtime	legacy_unverified_ai_assisted		no_per_entry_official_or_wiki_pair	medium	legacy_ai_assisted_or_mixed_i18n_input	pending	i18n/generated/input-provenance.tsv:1130;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=f7d079e78fac968fa8c892ddd4bb638c062c9eb5	path_prefix=;selected=true;no product-tree auto-materialization
MT-00326	frontend_ai_assisted_translated	frontend_i18n_input	i18n/frontend-strings.tsv	00fe76207a926462423083fa	candidate_cn	・プログラムの不具合を利用した不正行為(アイテムを不正に取得する等の特に悪質な行為)、およびそれを助長する行為(故意に不具合を利用したと運営が判断した場合を含む)により本サービスの運営、提供を妨害し、それらに支障をきたす行為。	·利用程序漏洞进行不正当行为(如不正当获取道具等特别恶劣的行为),以及助长该行为的情形(包括经运营判断为故意利用漏洞的情形),妨碍本服务的运营与提供并造成障碍的行为。	·利用程序漏洞的行为（不正当获取道具等特别恶劣的行为）、以及助长此做法（包括被运营方判定为故意利用漏洞的情况）导致对本服务的运营、提供造成妨害甚至导致故障发生的行为。	i18n/frontend-strings.tsv#00fe76207a926462423083fa/candidate_cn	official_cn_dump	official	i18n/generated/input-provenance.tsv:1237;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=f7d079e78fac968fa8c892ddd4bb638c062c9eb5; selected authority i18n/reviewed-candidates.tsv:8;LOW-MT-00323; official and JP trees share template/user/Ban.html; rejected ambiguous alignments are recorded in the Pass20 review table; locator=D:/magia/MyProducts/MAGIA RECORD CN/静态数据/static/magica/template/user/Ban.html#div#BanWrap/div#mainWrap/div.banList:nth-of-type(1)/div.caution:nth-of-type(1)/br:nth-of-type(1)/br:nth-of-type(1)/br:nth-of-type(1)/br:nth-of-type(1)/br:nth-of-type(1); source_sha256=6dadcffd0f7bb76373427b0240f5a7bff6c6ce541170e4f7f8935e281337dde0; match=exact-path-dom-match; machineTranslated=false; confidence=exact; review=official-source-verified	ai-assisted-unverified	low	authority-resolved	・プログラムの不具合を利用した不正行為(アイテムを不正に取得する等の特に悪質な行為)、およびそれを助長する行為(故意に不具合を利用したと運営が判断した場合を含む)により本サービスの運営、提供を妨害し、それらに支障をきたす行為。		legacy_unverified_ai_assisted	global	legacy-kimi-ai-assisted	Kimi AI-assisted batch label; per-row human author not proven	ai_assisted_batch_unverified_per_row	false; offline inputs are not consumed by Actions/Build_JS/runtime	official_cn_dump	·利用程序漏洞的行为（不正当获取道具等特别恶劣的行为）、以及助长此做法（包括被运营方判定为故意利用漏洞的情况）导致对本服务的运营、提供造成妨害甚至导致故障发生的行为。	explicit-higher-authority-selected	low	legacy_low_tier_replaced_by_explicit_authority	authority-resolved	i18n/generated/input-provenance.tsv:1237;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=f7d079e78fac968fa8c892ddd4bb638c062c9eb5; selected authority i18n/reviewed-candidates.tsv:8;LOW-MT-00323; official and JP trees share template/user/Ban.html; rejected ambiguous alignments are recorded in the Pass20 review table; locator=D:/magia/MyProducts/MAGIA RECORD CN/静态数据/static/magica/template/user/Ban.html#div#BanWrap/div#mainWrap/div.banList:nth-of-type(1)/div.caution:nth-of-type(1)/br:nth-of-type(1)/br:nth-of-type(1)/br:nth-of-type(1)/br:nth-of-type(1)/br:nth-of-type(1); source_sha256=6dadcffd0f7bb76373427b0240f5a7bff6c6ce541170e4f7f8935e281337dde0; match=exact-path-dom-match; machineTranslated=false; confidence=exact; review=official-source-verified	path_prefix=;selected=false;explicit reviewed candidate supersedes low-tier value
