record_id	component	scope	file	stable_key_or_line	field	original_text	current_cn	suggested_cn	product_or_reference_location	source_tier	source_bucket	evidence_path_or_key	machine_translated	confidence	review_status	japanese_or_source_original	missing_original_reason	provenance_class	source_stage	source_batch	source_author	is_machine_translation	runtime_consumed	highest_authority_tier	highest_authority_match	authority_status	risk	issue_type	manual_review_status	evidence	notes
MT-00619	fragments_unverified_mixed	frontend_i18n_fragment	i18n/fragments.tsv	122a686ee9ab1526fc3ba234	candidate_cn	<span class='c_pink'>\n\t\t<%='<%= gachaModel.useItem.name %\\>'%>\n\t</span>を\n\t<span class='c_pink'>\n\t\t<%='<%= model.needQuantity %\\>'%><%='<%= gachaModel.useItem.unit %\\>'%>\n\t</span>使用\n\t<span class='c_pink'>\n\t\t<%='<%= model.gachaCount %\\>'%>次扭蛋\n\t</span>开抽。	使用<span class='c_pink'>\n\t\t<%='<%= model.needQuantity %\\>'%><%='<%= gachaModel.useItem.unit %\\>'%>\n\t</span><span class='c_pink'>\n\t\t<%='<%= gachaModel.useItem.name %\\>'%>\n\t</span>开抽<span class='c_pink'>\n\t\t<%='<%= model.gachaCount %\\>'%>次扭蛋\n\t</span>。	needs-review/root-translation-required	i18n/fragments.tsv#122a686ee9ab1526fc3ba234/candidate_cn	legacy_unverified_ai_assisted	legacy-ai	i18n/generated/input-provenance.tsv:22;path-specific human/model patch without per-entry review provenance;commit=	unknown	low	pending	<span class='c_pink'>\n\t\t<%='<%= gachaModel.useItem.name %\\>'%>\n\t</span>を\n\t<span class='c_pink'>\n\t\t<%='<%= model.needQuantity %\\>'%><%='<%= gachaModel.useItem.unit %\\>'%>\n\t</span>使用\n\t<span class='c_pink'>\n\t\t<%='<%= model.gachaCount %\\>'%>次扭蛋\n\t</span>开抽。		legacy_unverified_ai_assisted	fragment	legacy-unverified-mixed-patch	unknown mixed human/model authorship	unknown_mixed_human_model	false; offline inputs are not consumed by Actions/Build_JS/runtime	legacy_unverified_ai_assisted		no_per_entry_official_or_wiki_pair	high	legacy_ai_assisted_or_mixed_i18n_input	pending	i18n/generated/input-provenance.tsv:22;path-specific human/model patch without per-entry review provenance;commit=	path_prefix=template/campaign/box_gacha/CampaignBoxGachaTop.html;selected=true;no product-tree auto-materialization
MT-00620	fragments_unverified_mixed	frontend_i18n_fragment	i18n/fragments.tsv	22f5f26e0ae24f081bac495a	candidate_cn	<span class='c_pink'><%= model.attackCountInfo.itemName %></span>を<span class='c_pink'>1张</span>使用<br> 镜界排位赛的对战次数<span class='c_pink'>1次</span>可以回复。	使用<span class='c_pink'>1张</span><span class='c_pink'><%= model.attackCountInfo.itemName %></span><br> 即可回复<span class='c_pink'>1次</span>镜界排位赛的对战次数。	needs-review/root-translation-required	i18n/fragments.tsv#22f5f26e0ae24f081bac495a/candidate_cn	legacy_unverified_ai_assisted	legacy-ai	i18n/generated/input-provenance.tsv:24;path-specific human/model patch without per-entry review provenance;commit=	unknown	low	pending	<span class='c_pink'><%= model.attackCountInfo.itemName %></span>を<span class='c_pink'>1张</span>使用<br> 镜界排位赛的对战次数<span class='c_pink'>1次</span>可以回复。		legacy_unverified_ai_assisted	fragment	legacy-unverified-mixed-patch	unknown mixed human/model authorship	unknown_mixed_human_model	false; offline inputs are not consumed by Actions/Build_JS/runtime	legacy_unverified_ai_assisted		no_per_entry_official_or_wiki_pair	high	legacy_ai_assisted_or_mixed_i18n_input	pending	i18n/generated/input-provenance.tsv:24;path-specific human/model patch without per-entry review provenance;commit=	path_prefix=template/event/EventArenaRankMatch/parts/AttackCountItemPopup.html;selected=true;no product-tree auto-materialization
MT-00621	fragments_unverified_mixed	frontend_i18n_fragment	i18n/fragments.tsv	396e7b2bda3e22c6ecb02abf	candidate_cn	<span class='c_pink'>魔法石</span>を<span class='c_pink'><%= model.attackCountInfo.recoverNeedNum %>个</span>使用<br> 镜界排位赛的对战次数<span class='c_pink'><%= model.attackCountInfo.numMax %>次</span>即将回复。	使用<span class='c_pink'><%= model.attackCountInfo.recoverNeedNum %>个</span><span class='c_pink'>魔法石</span><br> 即可回复<span class='c_pink'><%= model.attackCountInfo.numMax %>次</span>镜界排位赛的对战次数。	needs-review/root-translation-required	i18n/fragments.tsv#396e7b2bda3e22c6ecb02abf/candidate_cn	legacy_unverified_ai_assisted	legacy-ai	i18n/generated/input-provenance.tsv:25;path-specific human/model patch without per-entry review provenance;commit=	unknown	low	pending	<span class='c_pink'>魔法石</span>を<span class='c_pink'><%= model.attackCountInfo.recoverNeedNum %>个</span>使用<br> 镜界排位赛的对战次数<span class='c_pink'><%= model.attackCountInfo.numMax %>次</span>即将回复。		legacy_unverified_ai_assisted	fragment	legacy-unverified-mixed-patch	unknown mixed human/model authorship	unknown_mixed_human_model	false; offline inputs are not consumed by Actions/Build_JS/runtime	legacy_unverified_ai_assisted		no_per_entry_official_or_wiki_pair	high	legacy_ai_assisted_or_mixed_i18n_input	pending	i18n/generated/input-provenance.tsv:25;path-specific human/model patch without per-entry review provenance;commit=	path_prefix=template/event/EventArenaRankMatch/parts/AttackCountPopup.html;selected=true;no product-tree auto-materialization
MT-00622	fragments_unverified_mixed	frontend_i18n_fragment	i18n/fragments.tsv	818c3524b0c94b4edee137a4	candidate_cn	"<span class='c_pink'><%='<%= model.userUseItem.item.name %\\>'%></span>を<span class='c_pink'><%='<%= (model.userUseItem.subItemFlag) ? ""1"" : model.needQuantity %\\>'%><%='<%= model.userUseItem.item.unit %\\>'%></span>使用<span class='c_pink'><%='<%= displayTitle %\\>'%></span>进行中。"	"使用<span class='c_pink'><%='<%= (model.userUseItem.subItemFlag) ? ""1"" : model.needQuantity %\\>'%><%='<%= model.userUseItem.item.unit %\\>'%></span><span class='c_pink'><%='<%= model.userUseItem.item.name %\\>'%></span>进行<span class='c_pink'><%='<%= displayTitle %\\>'%></span>。"	needs-review/root-translation-required	i18n/fragments.tsv#818c3524b0c94b4edee137a4/candidate_cn	legacy_unverified_ai_assisted	legacy-ai	i18n/generated/input-provenance.tsv:23;path-specific human/model patch without per-entry review provenance;commit=	unknown	low	pending	"<span class='c_pink'><%='<%= model.userUseItem.item.name %\\>'%></span>を<span class='c_pink'><%='<%= (model.userUseItem.subItemFlag) ? ""1"" : model.needQuantity %\\>'%><%='<%= model.userUseItem.item.unit %\\>'%></span>使用<span class='c_pink'><%='<%= displayTitle %\\>'%></span>进行中。"		legacy_unverified_ai_assisted	fragment	legacy-unverified-mixed-patch	unknown mixed human/model authorship	unknown_mixed_human_model	false; offline inputs are not consumed by Actions/Build_JS/runtime	legacy_unverified_ai_assisted		no_per_entry_official_or_wiki_pair	high	legacy_ai_assisted_or_mixed_i18n_input	pending	i18n/generated/input-provenance.tsv:23;path-specific human/model patch without per-entry review provenance;commit=	path_prefix=template/gacha/GachaTop.html;selected=true;no product-tree auto-materialization
MT-00623	fragments_unverified_mixed	frontend_i18n_fragment	i18n/fragments.tsv	ac5e2560739c25efd68a23da	candidate_cn	<span class='c_pink'>魔法石</span>を<span class='c_pink'><%= model.recoverNeedNum %>个</span>使用	使用<span class='c_pink'><%= model.recoverNeedNum %>个</span><span class='c_pink'>魔法石</span>	needs-review/root-translation-required	i18n/fragments.tsv#ac5e2560739c25efd68a23da/candidate_cn	legacy_unverified_ai_assisted	legacy-ai	i18n/generated/input-provenance.tsv:26;path-specific human/model patch without per-entry review provenance;commit=	unknown	low	pending	<span class='c_pink'>魔法石</span>を<span class='c_pink'><%= model.recoverNeedNum %>个</span>使用		legacy_unverified_ai_assisted	fragment	legacy-unverified-mixed-patch	unknown mixed human/model authorship	unknown_mixed_human_model	false; offline inputs are not consumed by Actions/Build_JS/runtime	legacy_unverified_ai_assisted		no_per_entry_official_or_wiki_pair	high	legacy_ai_assisted_or_mixed_i18n_input	pending	i18n/generated/input-provenance.tsv:26;path-specific human/model patch without per-entry review provenance;commit=	path_prefix=template/event/EventArenaRankMatch/parts/CoolTimePopup.html;selected=true;no product-tree auto-materialization
MT-00624	fragments_unverified_mixed	frontend_i18n_fragment	i18n/fragments.tsv	c60449f00e5808817a945f37	candidate_cn	"+c+""が""+a+l+e"	+c+a+e+l	needs-review/root-translation-required	i18n/fragments.tsv#c60449f00e5808817a945f37/candidate_cn	legacy_unverified_ai_assisted	legacy-ai	i18n/generated/input-provenance.tsv:27;path-specific human/model patch without per-entry review provenance;commit=	unknown	low	pending	"+c+""が""+a+l+e"		legacy_unverified_ai_assisted	fragment	legacy-unverified-mixed-patch	unknown mixed human/model authorship	unknown_mixed_human_model	false; offline inputs are not consumed by Actions/Build_JS/runtime	legacy_unverified_ai_assisted		no_per_entry_official_or_wiki_pair	high	legacy_ai_assisted_or_mixed_i18n_input	pending	i18n/generated/input-provenance.tsv:27;path-specific human/model patch without per-entry review provenance;commit=	path_prefix=js/event/EventArenaRankMatch/Utility.js;selected=true;no product-tree auto-materialization
MT-00625	fragments_unverified_mixed	frontend_i18n_fragment	i18n/fragments.tsv	d898bb14a2ec252e6e316cfd	candidate_cn	<span class='c_pink'>\n\t\t<%='<%= gachaModel.useItem.name %\\>'%>\n\t</span>を\n\t<span class='c_pink'>\n\t\t<%='<%= model.needQuantity %\\>'%><%='<%= gachaModel.useItem.unit %\\>'%>\n\t</span>使用\n\t<span class='c_pink'>\n\t\t<%='<%= model.displayTitle %\\>'%>\n\t</span>进行中。	使用<span class='c_pink'>\n\t\t<%='<%= model.needQuantity %\\>'%><%='<%= gachaModel.useItem.unit %\\>'%>\n\t</span><span class='c_pink'>\n\t\t<%='<%= gachaModel.useItem.name %\\>'%>\n\t</span>进行<span class='c_pink'>\n\t\t<%='<%= model.displayTitle %\\>'%>\n\t</span>。	needs-review/root-translation-required	i18n/fragments.tsv#d898bb14a2ec252e6e316cfd/candidate_cn	legacy_unverified_ai_assisted	legacy-ai	i18n/generated/input-provenance.tsv:21;path-specific human/model patch without per-entry review provenance;commit=	unknown	low	pending	<span class='c_pink'>\n\t\t<%='<%= gachaModel.useItem.name %\\>'%>\n\t</span>を\n\t<span class='c_pink'>\n\t\t<%='<%= model.needQuantity %\\>'%><%='<%= gachaModel.useItem.unit %\\>'%>\n\t</span>使用\n\t<span class='c_pink'>\n\t\t<%='<%= model.displayTitle %\\>'%>\n\t</span>进行中。		legacy_unverified_ai_assisted	fragment	legacy-unverified-mixed-patch	unknown mixed human/model authorship	unknown_mixed_human_model	false; offline inputs are not consumed by Actions/Build_JS/runtime	legacy_unverified_ai_assisted		no_per_entry_official_or_wiki_pair	high	legacy_ai_assisted_or_mixed_i18n_input	pending	i18n/generated/input-provenance.tsv:21;path-specific human/model patch without per-entry review provenance;commit=	path_prefix=template/campaign/box_gacha/CampaignBoxGachaTop.html;selected=true;no product-tree auto-materialization
MT-03266	overrides_unverified_mixed	frontend_i18n_override	i18n/overrides.tsv	023ac845cac49c8e578ae4b3	candidate_cn	が	还缺	needs-review/root-translation-required	i18n/overrides.tsv#023ac845cac49c8e578ae4b3/candidate_cn	legacy_unverified_ai_assisted	legacy-ai	i18n/generated/input-provenance.tsv:31;path-specific human/model patch without per-entry review provenance;commit=	unknown	low	pending	が		legacy_unverified_ai_assisted	override	legacy-unverified-mixed-patch	unknown mixed human/model authorship	unknown_mixed_human_model	false; offline inputs are not consumed by Actions/Build_JS/runtime	legacy_unverified_ai_assisted		no_per_entry_official_or_wiki_pair	high	legacy_ai_assisted_or_mixed_i18n_input	pending	i18n/generated/input-provenance.tsv:31;path-specific human/model patch without per-entry review provenance;commit=	path_prefix=template/gacha/GachaTop.html;selected=true;no product-tree auto-materialization
MT-03267	overrides_unverified_mixed	frontend_i18n_override	i18n/overrides.tsv	0cbfffbcc7e9712bb9c84030	candidate_cn	サポート	辅助	needs-review/root-translation-required	i18n/overrides.tsv#0cbfffbcc7e9712bb9c84030/candidate_cn	legacy_unverified_ai_assisted	legacy-ai	i18n/generated/input-provenance.tsv:11;path-specific human/model patch without per-entry review provenance;commit=	unknown	low	pending	サポート		legacy_unverified_ai_assisted	override	legacy-unverified-mixed-patch	unknown mixed human/model authorship	unknown_mixed_human_model	false; offline inputs are not consumed by Actions/Build_JS/runtime	legacy_unverified_ai_assisted		no_per_entry_official_or_wiki_pair	high	legacy_ai_assisted_or_mixed_i18n_input	pending	i18n/generated/input-provenance.tsv:11;path-specific human/model patch without per-entry review provenance;commit=	path_prefix=js/util/CardUtil.js;selected=true;no product-tree auto-materialization
MT-03268	overrides_unverified_mixed	frontend_i18n_override	i18n/overrides.tsv	1ab2248a0b199885d09d23ca	candidate_cn	が	还缺	needs-review/root-translation-required	i18n/overrides.tsv#1ab2248a0b199885d09d23ca/candidate_cn	legacy_unverified_ai_assisted	legacy-ai	i18n/generated/input-provenance.tsv:30;path-specific human/model patch without per-entry review provenance;commit=	unknown	low	pending	が		legacy_unverified_ai_assisted	override	legacy-unverified-mixed-patch	unknown mixed human/model authorship	unknown_mixed_human_model	false; offline inputs are not consumed by Actions/Build_JS/runtime	legacy_unverified_ai_assisted		no_per_entry_official_or_wiki_pair	high	legacy_ai_assisted_or_mixed_i18n_input	pending	i18n/generated/input-provenance.tsv:30;path-specific human/model patch without per-entry review provenance;commit=	path_prefix=template/campaign/box_gacha/CampaignBoxGachaTop.html;selected=true;no product-tree auto-materialization
