inventory_id	official_cn_text	category	direct_localization_value	engine_target_before	function_refs	object_refs	cross_abi_exact	mapped_source_ids	reason
CN-HAN-0001	(CV：麻仓桃)	already-covered-current-engine-target	True	True			True		already selected by a runtime source rule
CN-HAN-0002	-- 请手动输入GameVer --	developer-debug-or-editor-only	False	False			True		developer selector/editor/viewer text has no player-facing localization value
CN-HAN-0003	-- 请选择需要连接的服务器 --	official-cn-target-only-no-stable-source-key	False	False			True		official target was extracted, but no stable source key or runtime reference proves an injection
CN-HAN-0004	10连	official-cn-target-only-no-stable-source-key	False	False			True		official target was extracted, but no stable source key or runtime reference proves an injection
CN-HAN-0005	10连 - 稀有卡牌	already-covered-current-engine-target	True	True		_ZN5gacha5state5debug5LABELE	True	CN-NATIVE-0001 | CN-NATIVE-0001	already selected by a runtime source rule
CN-HAN-0006	AP已全部回复！	already-covered-current-engine-target	True	True	_Z19NotificationMessage21NotificationAlarmType		True	CN-NATIVE-0154 | CN-NATIVE-0154	already selected by a runtime source rule
CN-HAN-0007	Accele伤害削减	already-covered-current-engine-target	True	True		_ZN5QbDef19StatusInfoNameTableE	True	CN-NATIVE-0004 | CN-NATIVE-0004	already selected by a runtime source rule
CN-HAN-0008	Accele攻击造成的伤害减少	stable-source-mapped-official-cn	True	False		_ZN5QbDef19StatusInfoNameTableE	True	CN-NATIVE-0003 | CN-NATIVE-0003	stable object slot or common named function provides an injectible source key
CN-HAN-0009	BL区	official-cn-target-only-no-stable-source-key	False	False			True		official target was extracted, but no stable source key or runtime reference proves an injection
CN-HAN-0010	Blast伤害削减	already-covered-current-engine-target	True	True		_ZN5QbDef19StatusInfoNameTableE	True	CN-NATIVE-0006 | CN-NATIVE-0006	already selected by a runtime source rule
CN-HAN-0011	Blast弱点	already-covered-current-engine-target	True	True			True		already selected by a runtime source rule
CN-HAN-0012	Blast攻击時MP增加	stable-source-mapped-official-cn	True	False		_ZN5QbDef19StatusInfoNameTableE	True	CN-NATIVE-0059	stable object slot or common named function provides an injectible source key
CN-HAN-0013	Blast攻击造成的伤害减少	stable-source-mapped-official-cn	True	False		_ZN5QbDef19StatusInfoNameTableE	True	CN-NATIVE-0005 | CN-NATIVE-0005	stable object slot or common named function provides an injectible source key
CN-HAN-0014	Blast行动盘的伤害提升	already-covered-current-engine-target	True	True		_ZN5QbDef19StatusInfoNameTableE	True	CN-NATIVE-0057 | CN-NATIVE-0057	already selected by a runtime source rule
CN-HAN-0015	Blast行动盘的伤害降低	stable-source-mapped-official-cn	True	False		_ZN5QbDef19StatusInfoNameTableE	True	CN-NATIVE-0058 | CN-NATIVE-0058	stable object slot or common named function provides an injectible source key
CN-HAN-0016	CP不足	already-shared-with-us-or-language-neutral	False	False			True		same literal already exists in the US binary or is language-neutral test/SDK data
CN-HAN-0017	Charge伤害削减	already-covered-current-engine-target	True	True		_ZN5QbDef19StatusInfoNameTableE	True	CN-NATIVE-0008 | CN-NATIVE-0008	already selected by a runtime source rule
CN-HAN-0018	Charge后伤害削减	already-covered-current-engine-target	True	True		_ZN5QbDef19StatusInfoNameTableE	True	CN-NATIVE-0009 | CN-NATIVE-0009	already selected by a runtime source rule
CN-HAN-0019	Charge后攻击弱点	already-covered-current-engine-target	True	True		_ZN5QbArt19DebugBuffObjectNameE	True	CN-NATIVE-0050 | CN-NATIVE-0050	already selected by a runtime source rule
CN-HAN-0020	Charge攻击造成的伤害减少	stable-source-mapped-official-cn	True	False		_ZN5QbDef19StatusInfoNameTableE	True	CN-NATIVE-0007 | CN-NATIVE-0007	stable object slot or common named function provides an injectible source key
CN-HAN-0021	Charge行动盘造成的伤害上升	already-covered-current-engine-target	True	True		_ZN5QbDef19StatusInfoNameTableE	True	CN-NATIVE-0047 | CN-NATIVE-0047	already selected by a runtime source rule
CN-HAN-0022	Charge行动盘造成的伤害减少	stable-source-mapped-official-cn	True	False		_ZN5QbDef19StatusInfoNameTableE	True	CN-NATIVE-0048 | CN-NATIVE-0048	stable object slot or common named function provides an injectible source key
CN-HAN-0023	Charge连击数附加	already-covered-current-engine-target	True	True		_ZN5QbDef19StatusInfoNameTableE	True	CN-NATIVE-0044 | CN-NATIVE-0044	already selected by a runtime source rule
CN-HAN-0024	Charge连击时连击数增加	stable-source-mapped-official-cn	True	False		_ZN5QbDef19StatusInfoNameTableE	True	CN-NATIVE-0045 | CN-NATIVE-0045	stable object slot or common named function provides an injectible source key
CN-HAN-0025	C行动盘	already-covered-current-engine-target	True	True		_ZN5QbArt19DebugBuffObjectNameE	True	CN-NATIVE-0010 | CN-NATIVE-0010	already selected by a runtime source rule
CN-HAN-0026	C行动盘伤害下降	stable-source-mapped-official-cn	True	False		_ZN5QbDef19StatusInfoNameTableE	True	CN-NATIVE-0011 | CN-NATIVE-0011	stable object slot or common named function provides an injectible source key
CN-HAN-0027	C行动盘伤害提升	stable-source-mapped-official-cn	True	False		_ZN5QbDef19StatusInfoNameTableE	True	CN-NATIVE-0012 | CN-NATIVE-0012	stable object slot or common named function provides an injectible source key
CN-HAN-0028	Debug用	developer-debug-or-editor-only	False	False	_ZN21SelectURLDisplayState10initializeEv		True		developer selector/editor/viewer text has no player-facing localization value
CN-HAN-0029	HP连动MagiaUp	stable-source-mapped-official-cn	True	False		_ZN5QbDef19StatusInfoNameTableE	True	CN-NATIVE-0015	stable object slot or common named function provides an injectible source key
CN-HAN-0030	KB/秒	official-cn-runtime-target-only-no-stable-source-key	False	False	_ZN13DownloadGauge6updateEf		True		visible CN function literal exists, but no stable US/JP source literal is proven
CN-HAN-0031	Keyboard输入: %s	developer-debug-or-editor-only	False	False			True		developer selector/editor/viewer text has no player-facing localization value
CN-HAN-0032	M/秒	official-cn-runtime-target-only-no-stable-source-key	False	False	_ZN13DownloadGauge6updateEf		True		visible CN function literal exists, but no stable US/JP source literal is proven
CN-HAN-0033	MP不足	already-shared-with-us-or-language-neutral	False	False		_ZN5QbDef14QbMessageArrayE	True		same literal already exists in the US binary or is language-neutral test/SDK data
CN-HAN-0034	MP在100以上时MP充能条增加	already-covered-current-engine-target	True	True		_ZN5QbDef19StatusInfoNameTableE	True	CN-NATIVE-0016 | CN-NATIVE-0016	already selected by a runtime source rule
CN-HAN-0035	MP获取量Up	stable-source-mapped-official-cn	True	False		_ZN5QbArt19DebugBuffObjectNameE	True	CN-NATIVE-0019	stable object slot or common named function provides an injectible source key
CN-HAN-0036	MP蓄能条Up	official-cn-target-only-no-stable-source-key	False	False			True		official target was extracted, but no stable source key or runtime reference proves an injection
CN-HAN-0037	MP蓄能条下降	stable-source-mapped-official-cn	True	False		_ZN5QbDef19StatusInfoNameTableE	True	CN-NATIVE-0018 | CN-NATIVE-0018	stable object slot or common named function provides an injectible source key
CN-HAN-0038	MP计量表	already-covered-current-engine-target	True	True		_ZN5QbArt19DebugBuffObjectNameE	True	CN-NATIVE-0017 | CN-NATIVE-0017	already selected by a runtime source rule
CN-HAN-0039	Magia伤害削减	already-covered-current-engine-target	True	True		_ZN5QbDef19StatusInfoNameTableE	True	CN-NATIVE-0063 | CN-NATIVE-0063	already selected by a runtime source rule
CN-HAN-0040	Magia所给予伤害提升	stable-source-mapped-official-cn	True	False		_ZN5QbDef19StatusInfoNameTableE	True	CN-NATIVE-0061	stable object slot or common named function provides an injectible source key
CN-HAN-0041	Magia所给予伤害降低	stable-source-mapped-official-cn	True	False		_ZN5QbDef19StatusInfoNameTableE	True	CN-NATIVE-0062	stable object slot or common named function provides an injectible source key
CN-HAN-0042	Magia所造成伤害随着剩余HP降低而提升	stable-source-mapped-official-cn	True	False		_ZN5QbDef19StatusInfoNameTableE	True	CN-NATIVE-0105 | CN-NATIVE-0105	stable object slot or common named function provides an injectible source key
CN-HAN-0043	Magia蓄能条获得量提升	official-cn-target-only-no-stable-source-key	False	False			True		official target was extracted, but no stable source key or runtime reference proves an injection
CN-HAN-0044	Magia蓄能条获得量降低	official-cn-target-only-no-stable-source-key	False	False			True		official target was extracted, but no stable source key or runtime reference proves an injection
CN-HAN-0045	Operation环境	developer-debug-or-editor-only	False	False	_ZN21SelectURLDisplayState10initializeEv		True		developer selector/editor/viewer text has no player-facing localization value
CN-HAN-0046	Staging环境	developer-debug-or-editor-only	False	False	_ZN21SelectURLDisplayState10initializeEv		True		developer selector/editor/viewer text has no player-facing localization value
CN-HAN-0047	Test环境	developer-debug-or-editor-only	False	False	_ZN21SelectURLDisplayState10initializeEv		True		developer selector/editor/viewer text has no player-facing localization value
