item_id	resolution_kind	authority_tier	final_value	evidence	product_write_status
LOW-MT-00315	official-cn-applied	official_cn_dump	如果删除应用，数据将被初始化，请务必注意。	pass20_official_static_review.tsv:LOW-MT-00315; official same-path evidence=template/top/NewVersionRecommend.html	applied-and-verified
LOW-MT-00323	official-cn-applied	official_cn_dump	·利用程序漏洞的行为（不正当获取道具等特别恶劣的行为）、以及助长此做法（包括被运营方判定为故意利用漏洞的情况）导致对本服务的运营、提供造成妨害甚至导致故障发生的行为。	pass20_official_static_review.tsv:LOW-MT-00323; official same-path evidence=template/user/Ban.html	applied-and-verified
LOW-MT-00355	official-cn-applied	official_cn_dump	·过于频繁地登录，给服务器造成负担的行为。	pass20_official_static_review.tsv:LOW-MT-00355; official same-path evidence=template/user/Ban.html	applied-and-verified
LOW-MT-00388	official-cn-applied	official_cn_dump	※对于与本事项相关的意见反馈，将以上诉通告作为回复。	pass20_official_static_review.tsv:LOW-MT-00388; official same-path evidence=template/user/Ban.html	applied-and-verified
LOW-MT-00439	official-cn-applied	official_cn_dump	该记忆结晶已经保存在其他组合中。<br>是否保存在此组合中？	pass20_official_static_review.tsv:LOW-MT-00439; official same-path evidence=js/memoria/MemoriaEquip.js	applied-and-verified
LOW-MT-00452	official-cn-applied	official_cn_dump	通关（首通、首次满星）	pass20_official_static_review.tsv:LOW-MT-00452; official same-path evidence=template/event/dungeon/EventDungeonTop.html	applied-and-verified
LOW-MT-00474	official-cn-applied	official_cn_dump	由于领取期限已过，<br>无法领取该任务报酬	pass20_official_static_review.tsv:LOW-MT-00474; official same-path evidence=js/event/raid/EventRaidCloseTop.js	applied-and-verified
LOW-MT-00521	official-cn-applied	official_cn_dump	<p>选定魔法少女后抽取扭蛋，将她变成伙伴吧<br>只会出现1名选定的★4魔法少女<br>在抽取扭蛋之前，可以重新选择魔法少女</p>	pass20_official_static_review.tsv:LOW-MT-00521; official same-path evidence=js/util/TutorialUtil.js	applied-and-verified
LOW-MT-00527	official-cn-applied	official_cn_dump	消耗一个原点之器、<span class='c_pink'>	pass20_official_static_review.tsv:LOW-MT-00527; official same-path evidence=js/chara/CharaEnhancementTree.js	equivalent-already-present
LOW-MT-00594	official-cn-applied	official_cn_dump	如果应用商店尚未公开最新版本，请暂作等候。	pass20_official_static_review.tsv:LOW-MT-00594; official same-path evidence=template/top/NewVersionRecommend.html	applied-and-verified
LOW-MT-00627	official-cn-applied	official_cn_dump	<br>单人的队伍才能开始副本	pass20_official_static_review.tsv:LOW-MT-00627; official same-path evidence=js/quest/QuestUtil.js	applied-and-verified
LOW-MT-00674	official-cn-applied	official_cn_dump	个以上】<br>即可解锁全体击败的报酬</div>	pass20_official_static_review.tsv:LOW-MT-00674; official same-path evidence=js/event/raid/EventRaidCloseTop.js;js/event/raid/EventRaidTop.js	applied-and-verified
LOW-MT-00700	official-cn-applied	official_cn_dump	·进行不正当使用，对本服务及其他用户造成不利影响的行为。	pass20_official_static_review.tsv:LOW-MT-00700; official same-path evidence=template/user/Ban.html	applied-and-verified
LOW-MT-00784	official-cn-applied	official_cn_dump	【视为处理对象的行为】	pass20_official_static_review.tsv:LOW-MT-00784; official same-path evidence=template/user/Ban.html	applied-and-verified
LOW-MT-01090	official-cn-applied	official_cn_dump	可以在道具列表页面和魔力解放页面@将多余的命运宝石转换为魔法晶片	pass20_official_static_review.tsv:LOW-MT-01090; official same-path evidence=js/_common/nativeCommand.js	applied-and-verified
LOW-MT-01239	official-cn-applied	official_cn_dump	<br>所在的队伍才能开始副本	pass20_official_static_review.tsv:LOW-MT-01239; official same-path evidence=js/quest/QuestUtil.js	applied-and-verified
LOW-MT-01540	official-cn-applied	official_cn_dump	Magia等级	pass20_official_static_review.tsv:LOW-MT-01540; official same-path evidence=js/_common/nativeCommand.js;js/event/accomplish/EventAccomplishRecovery.js	applied-and-verified
LOW-MT-01580	official-cn-applied	official_cn_dump	」将覆盖</br>	pass20_official_static_review.tsv:LOW-MT-01580; official same-path evidence=js/memoria/MemoriaSetEquip.js	applied-and-verified
LOW-MT-01781	official-cn-applied	official_cn_dump	Charge性能提升	pass20_official_static_review.tsv:LOW-MT-01781; official same-path evidence=js/chara/CharaEnhancementTree.js	equivalent-already-present
LOW-MT-01783	official-cn-applied	official_cn_dump	已领取1个任务报酬。<br><br>※可直接获得领取的道具。	pass20_official_static_review.tsv:LOW-MT-01783; official same-path evidence=js/event/raid/EventRaidCloseTop.js;js/event/raid/EventRaidTop.js	applied-and-verified
LOW-MT-01786	official-cn-applied	official_cn_dump	请选择想要装备的组合	pass20_official_static_review.tsv:LOW-MT-01786; official same-path evidence=js/memoria/MemoriaSetEquip.js	applied-and-verified
LOW-MT-01787	official-cn-applied	official_cn_dump	取消自动战斗时，从下一回合起@即可手动操作	pass20_official_static_review.tsv:LOW-MT-01787; official same-path evidence=js/_common/nativeCommand.js	applied-and-verified
LOW-MT-01790	official-cn-applied	official_cn_dump	请选择想特训的魔法少女	pass20_official_static_review.tsv:LOW-MT-01790; official same-path evidence=template/event/training/EventTrainingCharaSelect.html	applied-and-verified
LOW-MT-01792	official-cn-applied	official_cn_dump	<p>对副本用的队伍进行编成吧</p>	pass20_official_static_review.tsv:LOW-MT-01792; official same-path evidence=js/util/TutorialUtil.js	applied-and-verified
LOW-MT-01795	official-cn-applied	official_cn_dump	Blast行动盘拥有2种攻击类型@即横向攻击和纵向攻击	pass20_official_static_review.tsv:LOW-MT-01795; official same-path evidence=js/_common/nativeCommand.js	applied-and-verified
LOW-MT-01802	official-cn-applied	official_cn_dump	★5且Magia为5级的魔法少女@其魔女化身将在副本通关后解放	pass20_official_static_review.tsv:LOW-MT-01802; official same-path evidence=js/_common/nativeCommand.js	applied-and-verified
LOW-MT-01803	official-cn-applied	official_cn_dump	魔法阵型	pass20_official_static_review.tsv:LOW-MT-01803; official same-path evidence=js/_common/nativeCommand.js;template/formation/FormationQuest.html	applied-and-verified
LOW-MT-01806	official-cn-applied	official_cn_dump	强化	pass20_official_static_review.tsv:LOW-MT-01806; official same-path evidence=template/chara/CharaCompose.html	equivalent-already-present
LOW-MT-01831	official-cn-applied	official_cn_dump	已清空缓存。	pass20_official_static_review.tsv:LOW-MT-01831; official same-path evidence=js/top/TopPage.js	applied-and-verified
