source_index	batch_number	item_id	stable_business_key	source_path	source_key	source_field	review_kind	allowed_action	japanese_or_source_original	old_cn	current_cn	protected_authority_text	product_write_allowed	highest_authority_tier	authority_status	authority_evidence	official_cn	wiki_cn	confirmed_human_cn	ds_review_status	review_status	allowed_human_decisions	human_decision	reviewer	reviewed_at	final_value	human_notes	source_text_sha256	old_cn_sha256	source_item_sha256
1473	75	LOW-MT-01779	i18n/frontend-strings.tsv#e3ab0f8fb883497daf30928a/candidate_cn	i18n/frontend-strings.tsv	e3ab0f8fb883497daf30928a	candidate_cn	current-low-tier-translation-review	review-and-stage-low-tier-only	通過ポイント数	通过点位数	通过点位数	false	false	legacy_unverified_ai_assisted	no_per_entry_official_or_wiki_pair	i18n/generated/input-provenance.tsv:1358;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=7805a53c5b384cd48573d0d267220b0e80fb93f3				not-reviewed-ds	manual-required	"[""approve-current"",""revise"",""unresolved""]"						dc42982e64ce5f93657b209e71a2a9533299319df15182bec02e026a3f56027a	1a24eae7b28344d36acf4197f553ba59bc295eea31ca401ebd75164079e6446d	9dfd62dc9bf1ab575ea03aed4ecb59764d5f56f20b223d1edd536aa7db74584c
1474	75	LOW-MT-01780	i18n/frontend-strings.tsv#e3b02d4dbbf333311200e673/candidate_cn	i18n/frontend-strings.tsv	e3b02d4dbbf333311200e673	candidate_cn	current-low-tier-translation-review	review-and-stage-low-tier-only	マギアパスポート30	Magia 通行证 30	Magia 通行证 30	false	false	legacy_unverified_ai_assisted	no_per_entry_official_or_wiki_pair	i18n/generated/input-provenance.tsv:434;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=a2fe8becd5d57b825b631fc0f058bf624d7d5e1f				not-reviewed-ds	manual-required	"[""approve-current"",""revise"",""unresolved""]"						1ea0cde3999ceb0cf69d08ca180852e3abeb7308608ce47bcb63adeb5c588d49	f859d1c0c4731186c6f92de54d6716a6d85bbb74b7c3fb2c05e062e5b869b5c1	d1ac6bfc21a9f65dee165435eab93d0a97dfc61b225e16526c26292dfe1d24e4
1475	75	LOW-MT-01781	i18n/frontend-strings.tsv#e3f8594a2e2f30ecefcee873/candidate_cn	i18n/frontend-strings.tsv	e3f8594a2e2f30ecefcee873	candidate_cn	current-low-tier-translation-review	review-and-stage-low-tier-only	Charge性能アップ	Charge性能提升	Charge性能提升	false	false	legacy_unverified_ai_assisted	no_per_entry_official_or_wiki_pair	i18n/generated/input-provenance.tsv:940;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=7805a53c5b384cd48573d0d267220b0e80fb93f3				not-reviewed-ds	manual-required	"[""approve-current"",""revise"",""unresolved""]"						565ce66e22a74869d181bf1f4b80fcddad23407a5e2da5cadb5b4314ccb5b713	e8a709d15b2ac14e6acb5972e469baa088c97b8f16ae4f6456c9a92d9996b08b	375d21bc67ac2b78db5299270eb2ab637d1c80c62a7609d7eee9ac2ee0a1a4c6
1476	75	LOW-MT-01782	i18n/frontend-strings.tsv#e40329b0d63a9892e3cd78cd/candidate_cn	i18n/frontend-strings.tsv	e40329b0d63a9892e3cd78cd	candidate_cn	current-low-tier-translation-review	review-and-stage-low-tier-only	タイムオーバー	超时	超时	false	false	legacy_unverified_ai_assisted	no_per_entry_official_or_wiki_pair	i18n/generated/input-provenance.tsv:368;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=a2fe8becd5d57b825b631fc0f058bf624d7d5e1f				not-reviewed-ds	manual-required	"[""approve-current"",""revise"",""unresolved""]"						3529ee616e6495d82c375072deff73b2bed112b1cf67b31cce5db908f5c00d7f	e512cf016f9607285ce4778e4e7899497acafe63f6c7c119a38c25c4071ff407	492029e1cb59b907ba86f08d80ade549f34caa4a387cc32da728bed96c31a9a3
1477	75	LOW-MT-01783	i18n/frontend-strings.tsv#e4d5888be062151c33c80215/candidate_cn	i18n/frontend-strings.tsv	e4d5888be062151c33c80215	candidate_cn	current-low-tier-translation-review	review-and-stage-low-tier-only	ミッション報酬を1件受け取りました。<br><br>※受け取ったアイテムは直接付与されています。	已领取1件任务报酬。<br><br>※领取的道具已直接发放。	已领取1件任务报酬。<br><br>※领取的道具已直接发放。	false	false	legacy_unverified_ai_assisted	no_per_entry_official_or_wiki_pair	i18n/generated/input-provenance.tsv:381;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=6894a64f2fc75edc91deb1764c138c6c6dbdbede				not-reviewed-ds	manual-required	"[""approve-current"",""revise"",""unresolved""]"						5d36cf3878e39229cbc0322cccd2333447020243347d6ac6e5dc41e4d419893e	2d123f9e109eaffa0b8b1fb56f64ac7a5c4618536a87b334071b09ad458d9208	ca1984854bc9728eaf4a46ab93d2fe11aec2cad59ad442bbdfbade1e755444d8
1478	75	LOW-MT-01784	i18n/frontend-strings.tsv#e4ecfbe37c0af4e6a6367356/candidate_cn	i18n/frontend-strings.tsv	e4ecfbe37c0af4e6a6367356	candidate_cn	current-low-tier-translation-review	review-and-stage-low-tier-only	挑戦可能	可以挑战	可以挑战	false	false	legacy_unverified_ai_assisted	no_per_entry_official_or_wiki_pair	i18n/generated/input-provenance.tsv:1204;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=7805a53c5b384cd48573d0d267220b0e80fb93f3				not-reviewed-ds	manual-required	"[""approve-current"",""revise"",""unresolved""]"						99c981e876ecef216820f1f026117e132a38392189565537373064cc6c9a28d9	c3bdf684f8efa322003e91c7ea5a436712f97234921c4b0ff6b7768f54954116	43a06f8fb0d0f92f66528f1bfab15412d936708452eb721c1d9c40716887372f
1479	75	LOW-MT-01785	i18n/frontend-strings.tsv#e5532a41621b3b0b8b743ce6/candidate_cn	i18n/frontend-strings.tsv	e5532a41621b3b0b8b743ce6	candidate_cn	current-low-tier-translation-review	review-and-stage-low-tier-only	１ユーザー名７８	1用户名78	1用户名78	false	false	legacy_unverified_ai_assisted	no_per_entry_official_or_wiki_pair	i18n/generated/input-provenance.tsv:807;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=7805a53c5b384cd48573d0d267220b0e80fb93f3				not-reviewed-ds	manual-required	"[""approve-current"",""revise"",""unresolved""]"						fdb7a1d958d1b592b5d32cf597a7b93fd389c86af9aaa1260bdb3c98f224e1d3	b539396f4b055493164d5979e670a19d1d8bc1a8b11e7f6a0563ffb3dfa29e1e	b78a0d144829bff0c49e3dd7ca0dcb74333eca4527f1c105238777a3b2e42a4c
1480	75	LOW-MT-01786	i18n/frontend-strings.tsv#e5787e409817208f57196bf2/candidate_cn	i18n/frontend-strings.tsv	e5787e409817208f57196bf2	candidate_cn	current-low-tier-translation-review	review-and-stage-low-tier-only	装備したいセットを選んでください	请选择要装备的套装	请选择要装备的套装	false	false	legacy_unverified_ai_assisted	no_per_entry_official_or_wiki_pair	i18n/generated/input-provenance.tsv:1097;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=f7d079e78fac968fa8c892ddd4bb638c062c9eb5				not-reviewed-ds	manual-required	"[""approve-current"",""revise"",""unresolved""]"						fdcb88607716b45d4d9b3a036eec124ab9540513e9e941af7e839078397f5025	c4c84699bcb8fb32a46ef85e5a472e6bef59ecd58f333c5432fb8053adcc05e4	9288cf2a120cc1274174ef8d28f5502fcff9d95d88a461eff5668f2cdcdc7f4f
1481	75	LOW-MT-01787	i18n/frontend-strings.tsv#e5c920c5680d2a976a4f0471/candidate_cn	i18n/frontend-strings.tsv	e5c920c5680d2a976a4f0471	candidate_cn	current-low-tier-translation-review	review-and-stage-low-tier-only	オートを解除した場合、次のターンから@手動操作することができます	解除自动后@从下一回合起可以手动操作	解除自动后@从下一回合起可以手动操作	false	false	legacy_unverified_ai_assisted	no_per_entry_official_or_wiki_pair	i18n/generated/input-provenance.tsv:408;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=a2fe8becd5d57b825b631fc0f058bf624d7d5e1f				not-reviewed-ds	manual-required	"[""approve-current"",""revise"",""unresolved""]"						140ac3bf2b940292fcbcfd8448071d46fc11ce61f7aadf1e73b2777e1b88d0e0	1c82ccf622d8a918802f7058e6736cdad679e7be19ddde7110a98a3bcb2040da	f65a1e62a4d3c8199503025518e0eab1aa64e8e1fcf8532e59bb6ad659aa7ef5
1482	75	LOW-MT-01788	i18n/frontend-strings.tsv#e5d97a0791572398be60648d/candidate_cn	i18n/frontend-strings.tsv	e5d97a0791572398be60648d	candidate_cn	current-low-tier-translation-review	review-and-stage-low-tier-only	所属勢力：	所属势力:	所属势力:	false	false	legacy_unverified_ai_assisted	no_per_entry_official_or_wiki_pair	i18n/generated/input-provenance.tsv:1649;legacy git-blame lineage; AI co-author batch; no per-entry human-review evidence;commit=7805a53c5b384cd48573d0d267220b0e80fb93f3				not-reviewed-ds	manual-required	"[""approve-current"",""revise"",""unresolved""]"						27c8239141c8a2b0f7705469b8a806d012d5c292cf12e478be32392ca4547e97	3cbe582a39398feb4133b3635c99e660386f22b1f0830e11bb7e2b969c58af70	aa2d9871697eb864171c09d6ede0956ebc1c325eff6e0c0b5ad31e6bba7c323c
