item_id	source_path	source_key	japanese_or_source_original	current_cn	official_candidates	structural_status	decision	reason	evidence_paths
LOW-MT-00315	i18n/frontend-strings.tsv	002a8518d31ddb1425793804	アプリを削除してしまうとデータが初期化されてしまいますのでご注意ください。	请注意,删除应用后数据将被初始化。	"[""如果删除应用，数据将被初始化，请务必注意。""]"	single-official-candidate	accept-official-cn	accepted only for exact same-path official evidence; methods=exact-dom-path-text	template/top/NewVersionRecommend.html
LOW-MT-00323	i18n/frontend-strings.tsv	00fe76207a926462423083fa	・プログラムの不具合を利用した不正行為(アイテムを不正に取得する等の特に悪質な行為)、およびそれを助長する行為(故意に不具合を利用したと運営が判断した場合を含む)により本サービスの運営、提供を妨害し、それらに支障をきたす行為。	·利用程序漏洞进行不正当行为(如不正当获取道具等特别恶劣的行为),以及助长该行为的情形(包括经运营判断为故意利用漏洞的情形),妨碍本服务的运营与提供并造成障碍的行为。	"[""·利用程序漏洞的行为（不正当获取道具等特别恶劣的行为）、以及助长此做法（包括被运营方判定为故意利用漏洞的情况）导致对本服务的运营、提供造成妨害甚至导致故障发生的行为。""]"	single-official-candidate	accept-official-cn	accepted only for exact same-path official evidence; methods=exact-dom-path-text	template/user/Ban.html
LOW-MT-00355	i18n/frontend-strings.tsv	068d4cfe8dfce0e7f0d6aa86	・過度の連続アクセスにより、サーバーに負担をかける行為。	·过度连续访问,给服务器造成负担的行为。	"[""·过于频繁地登录，给服务器造成负担的行为。""]"	single-official-candidate	accept-official-cn	accepted only for exact same-path official evidence; methods=exact-dom-path-text	template/user/Ban.html
LOW-MT-00369	i18n/frontend-strings.tsv	08d174c4b14712073978e28d	\\x3c/span\\x3eの\\x3cbr\\x3e精神強化をすべてリセットします。よろしいですか？\\x3cbr\\x3e\\x3cspan class\\x3d'resetCaution c_red'\\x3e※精神強化に使用した素材は返還されますが、CCは返還されません\\x3c/span\\x3e\\x3cdiv class\\x3d'resetItem pointFrame'\\x3e\\x3cspan class\\x3d'hasIcons'\\x3e\\x3cimg src\\x3d'/magica/resource/image_web/common/icon/icon_reset_enhance_f.png'\\x3e\\x3c/span\\x3e\\x3cspan class\\x3d'itemCount'\\x3e	\\x3c/span\\x3e的\\x3cbr\\x3e精神强化将全部重置。确定吗?\\x3cbr\\x3e\\x3cspan class\\x3d'resetCaution c_red'\\x3e※精神强化使用的素材会返还,但CC不会返还\\x3c/span\\x3e\\x3cdiv class\\x3d'resetItem pointFrame'\\x3e\\x3cspan class\\x3d'hasIcons'\\x3e\\x3cimg src\\x3d'/magica/resource/image_web/common/icon/icon_reset_enhance_f.png'\\x3e\\x3c/span\\x3e\\x3cspan class\\x3d'itemCount'\\x3e	"[""</span>の<br>精神强化将会被全部重置。确定吗？<br><span class='resetCaution c_red'>※将返还精神强化所消耗的素材，但不会返还CC</span><div class='resetItem pointFrame'><span class='hasIcons'><img src='/magica/resource/image_web/common/icon/icon_reset_enhance_f.png'></span><span class='itemCount'>""]"	single-official-candidate	reject-structural-candidate	candidate leaves a Japanese particle inside a structural fragment	js/chara/CharaEnhancementTree.js
LOW-MT-00388	i18n/frontend-strings.tsv	0d1e75737ef887da99f4496e	※本件に関するお問い合わせにつきましては、上記の報告をもって回答と代えさせていただきます。	※关于本事件的咨询,将以以上报告作为答复。	"[""※对于与本事项相关的意见反馈，将以上诉通告作为回复。""]"	single-official-candidate	accept-official-cn	accepted only for exact same-path official evidence; methods=exact-dom-path-text	template/user/Ban.html
LOW-MT-00439	i18n/frontend-strings.tsv	13ac0c5eb12ed88323c7704b	このメモリアは既に他のセットへ登録中です。\\x3cbr\\x3eセット登録しますか？	该记忆结晶已登记在其他套装中。\\x3cbr\\x3e要登记到套装吗?	"[""该记忆结晶已经保存在其他组合中。<br>是否保存在此组合中？""]"	single-official-candidate	accept-official-cn	accepted only for exact same-path official evidence; methods=same-length-replace-block	js/memoria/MemoriaEquip.js
LOW-MT-00452	i18n/frontend-strings.tsv	1663a90f0174eb903e649f31	クリア(初クリア・初コンプ)	通关(首通·首次集齐)	"[""通关（首通、首次满星）""]"	single-official-candidate	accept-official-cn	accepted only for exact same-path official evidence; methods=exact-dom-path-text	template/event/dungeon/EventDungeonTop.html
LOW-MT-00474	i18n/frontend-strings.tsv	1a2600d13b7cb72e589415c0	受け取り期限を過ぎているため<br>対象のミッション報酬を受け取ることはできません	已过领取期限,<br>无法领取该任务报酬	"[""由于领取期限已过，<br>无法领取该任务报酬""]"	single-official-candidate	accept-official-cn	accepted only for exact same-path official evidence; methods=same-length-replace-block	js/event/raid/EventRaidCloseTop.js
LOW-MT-00521	i18n/frontend-strings.tsv	21488cb8b3c0b65fb029424f	\\x3cp\\x3e魔法少女を選んだらガチャを引いて仲間にしてみましょう\\x3cbr\\x3e★4魔法少女は選んだ1体のみ出現します\\x3cbr\\x3eガチャを引くまでは魔法少女を選びなおすことが可能です\\x3c/p\\x3e	\\x3cp\\x3e选好魔法少女后,抽扭蛋让她成为伙伴吧\\x3cbr\\x3e★4魔法少女只会出现你选的那1个\\x3cbr\\x3e抽扭蛋之前可以重新选择魔法少女\\x3c/p\\x3e	"[""<p>选定魔法少女后抽取扭蛋，将她变成伙伴吧<br>只会出现1名选定的★4魔法少女<br>在抽取扭蛋之前，可以重新选择魔法少女</p>""]"	single-official-candidate	accept-official-cn	accepted only for exact same-path official evidence; methods=same-length-replace-block	js/util/TutorialUtil.js
LOW-MT-00527	i18n/frontend-strings.tsv	2204156d4fdfe30f8bcf3823	原点の器を1個消費して、\\x3cspan class\\x3d'c_pink'\\x3e	消耗1个原点之器,\\x3cspan class\\x3d'c_pink'\\x3e	"[""消耗一个原点之器、<span class='c_pink'>""]"	single-official-candidate	accept-official-cn	accepted only for exact same-path official evidence; methods=same-length-replace-block	js/chara/CharaEnhancementTree.js
LOW-MT-00594	i18n/frontend-strings.tsv	2c7b78cbdb2f49cffce82910	ストアに最新版が公開されていない場合は暫くお待ちください。	若应用商店尚未发布最新版,请稍等。	"[""如果应用商店尚未公开最新版本，请暂作等候。""]"	single-official-candidate	accept-official-cn	accepted only for exact same-path official evidence; methods=exact-dom-path-text	template/top/NewVersionRecommend.html
LOW-MT-00627	i18n/frontend-strings.tsv	324e9a2f7ed3acf5b12b91c7	\\x3cbr\\x3eのみのチームでクエストを開始	\\x3cbr\\x3e的队伍开始关卡	"[""<br>单人的队伍才能开始副本""]"	single-official-candidate	accept-official-cn	accepted only for exact same-path official evidence; methods=same-length-replace-block	js/quest/QuestUtil.js
LOW-MT-00638	i18n/frontend-strings.tsv	34396445df52542bc8d2c87c	に更新されます。	更新。	"[""进行更新""]"	single-official-candidate	reject-structural-candidate	short fragment is not uniquely aligned to one UI sentence	js/event/accomplish/EventAccomplishRecovery.js
LOW-MT-00674	i18n/frontend-strings.tsv	39aa9871d70b9d097bc1b761	体以上撃破】すると解放されます</div>	个以上】即可解放</div>	"[""个以上】<br>即可解锁全体击败的报酬</div>""]"	single-official-candidate	accept-official-cn	accepted only for exact same-path official evidence; methods=same-length-replace-block	js/event/raid/EventRaidCloseTop.js;js/event/raid/EventRaidTop.js
LOW-MT-00684	i18n/frontend-strings.tsv	3af193365e7f8aa651478677	よろしいですか？\\x3c/p\\x3e	确定吗?\\x3c/p\\x3e	"[""记忆结晶组合覆盖确认""]"	single-official-candidate	reject-structural-candidate	ordered-block alignment points to a different popup field	js/memoria/MemoriaSetEquip.js
LOW-MT-00700	i18n/frontend-strings.tsv	3e58a2ffc981ba01c8dfdc5c	・不正アクセスを行い本サービス、または他ユーザー様に不利益を与える行為。	·进行不正当访问,给本服务或其他用户造成不利影响的行为。	"[""·进行不正当使用，对本服务及其他用户造成不利影响的行为。""]"	single-official-candidate	accept-official-cn	accepted only for exact same-path official evidence; methods=exact-dom-path-text	template/user/Ban.html
LOW-MT-00784	i18n/frontend-strings.tsv	48cfee4372ea8373428118f3	【対象となる行為】	【违规行为】	"[""【视为处理对象的行为】""]"	single-official-candidate	accept-official-cn	accepted only for exact same-path official evidence; methods=exact-dom-path-text	template/user/Ban.html
LOW-MT-01090	i18n/frontend-strings.tsv	77995844ade34b40eb5d1679	余ったデスティニージェムは、アイテムリスト画面と@魔力解放画面でマギアチップに交換できます	多余的命运宝石@可以在道具列表界面和@魔力解放界面交换成魔法碎片	"[""可以在道具列表页面和魔力解放页面@将多余的命运宝石转换为魔法晶片""]"	single-official-candidate	accept-official-cn	accepted only for exact same-path official evidence; methods=same-length-replace-block	js/_common/nativeCommand.js
LOW-MT-01239	i18n/frontend-strings.tsv	8daf9a2ea18f2268aaa362da	\\x3cbr\\x3eを含むチームでクエストを開始	\\x3cbr\\x3e的队伍开始关卡	"[""<br>所在的队伍才能开始副本""]"	single-official-candidate	accept-official-cn	accepted only for exact same-path official evidence; methods=same-length-replace-block	js/quest/QuestUtil.js
LOW-MT-01519	i18n/frontend-strings.tsv	b9b6bbf3638051a07019bcd4	】<br>している必要があります。	】<br>。	"[""参加活动的条件""]"	single-official-candidate	reject-structural-candidate	ordered-block alignment crosses the event-condition boundary	js/event/storyraid/EventStoryRaidTop.js
LOW-MT-01538	i18n/frontend-strings.tsv	bc5124298f233c2232bd1ad4	まで開催します。<br><br>イベントに参加するためには<br>【	为止。<br><br>参加活动需要<br>【	"[""】。""]"	single-official-candidate	reject-structural-candidate	ordered-block alignment crosses the event-condition boundary	js/event/storyraid/EventStoryRaidTop.js
LOW-MT-01540	i18n/frontend-strings.tsv	bc77a437af17899fd8a86930	マギアLv	魔法等级	"[""Magia等级""]"	single-official-candidate	accept-official-cn	accepted only for exact same-path official evidence; methods=same-length-replace-block	js/_common/nativeCommand.js;js/event/accomplish/EventAccomplishRecovery.js
LOW-MT-01580	i18n/frontend-strings.tsv	c39c332e2849b0d5bd511968	」を上書きします。\\x3c/br\\x3e	」。\\x3c/br\\x3e	"[""」将覆盖</br>""]"	single-official-candidate	accept-official-cn	accepted only for exact same-path official evidence; methods=same-length-replace-block	js/memoria/MemoriaSetEquip.js
LOW-MT-01781	i18n/frontend-strings.tsv	e3f8594a2e2f30ecefcee873	Charge性能アップ	Charge性能提升	"[""Charge性能提升""]"	single-official-candidate	accept-official-cn	accepted only for exact same-path official evidence; methods=same-length-replace-block	js/chara/CharaEnhancementTree.js
LOW-MT-01783	i18n/frontend-strings.tsv	e4d5888be062151c33c80215	ミッション報酬を1件受け取りました。<br><br>※受け取ったアイテムは直接付与されています。	已领取1件任务报酬。<br><br>※领取的道具已直接发放。	"[""已领取1个任务报酬。<br><br>※可直接获得领取的道具。""]"	single-official-candidate	accept-official-cn	accepted only for exact same-path official evidence; methods=same-length-replace-block	js/event/raid/EventRaidCloseTop.js;js/event/raid/EventRaidTop.js
LOW-MT-01785	i18n/frontend-strings.tsv	e5532a41621b3b0b8b743ce6	１ユーザー名７８	1用户名78	"[""1玩家名７８""]"	single-official-candidate	reject-structural-candidate	debug placeholder and width differ; no product authority upgrade	js/event/storyraid/EventStoryRaidTop.js
LOW-MT-01786	i18n/frontend-strings.tsv	e5787e409817208f57196bf2	装備したいセットを選んでください	请选择要装备的套装	"[""请选择想要装备的组合""]"	single-official-candidate	accept-official-cn	accepted only for exact same-path official evidence; methods=same-length-replace-block	js/memoria/MemoriaSetEquip.js
LOW-MT-01787	i18n/frontend-strings.tsv	e5c920c5680d2a976a4f0471	オートを解除した場合、次のターンから@手動操作することができます	解除自动后@从下一回合起可以手动操作	"[""取消自动战斗时，从下一回合起@即可手动操作""]"	single-official-candidate	accept-official-cn	accepted only for exact same-path official evidence; methods=same-length-replace-block	js/_common/nativeCommand.js
LOW-MT-01790	i18n/frontend-strings.tsv	e6448b4323817ff877b6c282	特訓したい魔法少女を選んでください	请选择要特训的魔法少女	"[""请选择想特训的魔法少女""]"	single-official-candidate	accept-official-cn	accepted only for exact same-path official evidence; methods=exact-dom-path-text	template/event/training/EventTrainingCharaSelect.html
LOW-MT-01792	i18n/frontend-strings.tsv	e6c1f07f296ccec8aa079edf	\\x3cp\\x3eクエスト用のチームを編成しましょう\\x3c/p\\x3e	\\x3cp\\x3e来编成关卡用的队伍吧\\x3c/p\\x3e	"[""<p>对副本用的队伍进行编成吧</p>""]"	single-official-candidate	accept-official-cn	accepted only for exact same-path official evidence; methods=same-length-replace-block	js/util/TutorialUtil.js
LOW-MT-01795	i18n/frontend-strings.tsv	e75157014c2baa24f4c59a84	Blastディスクには縦攻撃、横攻撃の@2種類が存在します	Blast 圆盘分为纵向攻击与横向攻击@两种	"[""Blast行动盘拥有2种攻击类型@即横向攻击和纵向攻击""]"	single-official-candidate	accept-official-cn	accepted only for exact same-path official evidence; methods=same-length-replace-block	js/_common/nativeCommand.js
LOW-MT-01802	i18n/frontend-strings.tsv	e7e9e9f37ac50e897c91bbc4	★5かつマギアLv5の魔法少女の@ドッペルクエストをクリアすることで解放されます	通关★5 且 Magia Lv5 的魔法少女的@魔女化身关卡后解放	"[""★5且Magia为5级的魔法少女@其魔女化身将在副本通关后解放""]"	single-official-candidate	accept-official-cn	accepted only for exact same-path official evidence; methods=same-length-replace-block	js/_common/nativeCommand.js
LOW-MT-01803	i18n/frontend-strings.tsv	e7efa22b91ca22ce9624de62	魔法陣形	魔法阵形	"[""魔法阵型""]"	single-official-candidate	accept-official-cn	accepted only for exact same-path official evidence; methods=exact-dom-path-text,same-length-replace-block	js/_common/nativeCommand.js;template/formation/FormationQuest.html
LOW-MT-01806	i18n/frontend-strings.tsv	e89cffb4bc52dc70357beb16	強化	强化	"[""强化""]"	single-official-candidate	accept-official-cn	accepted only for exact same-path official evidence; methods=exact-dom-path-text	template/chara/CharaCompose.html
LOW-MT-01817	i18n/frontend-strings.tsv	e9d075c2c040adc8c9fa8714	受け取り期限を過ぎているため\\x3cbr\\x3e対象のミッション報酬を受け取ることはできません	已超过领取期限\\x3cbr\\x3e无法领取对应的任务奖励	"[""受け取り期限を過ぎているため<br>対象のミッション報酬を受け取ることはできません""]"	single-official-candidate	reject-structural-candidate	official same-path product retains Japanese, so it is not CN evidence	js/regularEvent/groupBattle/RegularEventGroupBattleTop.js
LOW-MT-01831	i18n/frontend-strings.tsv	ec4787936267e105ffde9d69	キャッシュクリアしました。	已清除缓存。	"[""已清空缓存。""]"	single-official-candidate	accept-official-cn	accepted only for exact same-path official evidence; methods=same-length-replace-block	js/top/TopPage.js
LOW-MT-01833	i18n/frontend-strings.tsv	ec586a62f019486cd1e91110	コメント編集	编辑留言	"[""编辑留言""]"	single-official-candidate	accept-official-cn	accepted only for exact same-path official evidence; methods=same-length-replace-block	js/view/user/MyProfilePopup.js
LOW-MT-01834	i18n/frontend-strings.tsv	ec731e817b978cd914fb1c71	サポートボーナス	支援加成	"[""协助奖励""]"	single-official-candidate	accept-official-cn	accepted only for exact same-path official evidence; methods=exact-dom-path-text	template/loginBonus/loginBonusPopupTemp.html
LOW-MT-01838	i18n/frontend-strings.tsv	ed83539b2841ddb22c96b016	全ての素材をまとめてセットします。	将全部素材批量放入。	"[""一并设置所有素材。""]"	single-official-candidate	accept-official-cn	accepted only for exact same-path official evidence; methods=exact-dom-path-text	template/chara/CharaBulkCustomizePopup.html
LOW-MT-01843	i18n/frontend-strings.tsv	ee45bc4801b96ce537b12084	選択された魔法少女は回復が完了しています	所选的魔法少女已回复完成	"[""所选中的魔法少女已经回复完毕""]"	single-official-candidate	accept-official-cn	accepted only for exact same-path official evidence; methods=same-length-replace-block	js/event/accomplish/EventAccomplishRecovery.js
LOW-MT-01844	i18n/frontend-strings.tsv	ee4a1bbf75d70406d65e58b5	魔法少女の詳細情報です	魔法少女的详细信息	"[""魔法少女的详细资讯""]"	single-official-candidate	accept-official-cn	accepted only for exact same-path official evidence; methods=exact-dom-path-text	template/formation/FormationQuest.html;template/formation/FormationSupport.html
LOW-MT-01848	i18n/frontend-strings.tsv	ee7542856286119f7da1c742	フォローについて	关于关注	"[""关于关注""]"	single-official-candidate	accept-official-cn	accepted only for exact same-path official evidence; methods=same-length-replace-block	js/view/user/GlobalMenuView.js
LOW-MT-01856	i18n/frontend-strings.tsv	efe009e9d9fd3cf7f6fb9845	このクエストには以下の開始条件があります\\x3cbr\\x3e	该关卡有以下开始条件\\x3cbr\\x3e	"[""此副本必须满足以下条件才能开始<br>""]"	single-official-candidate	accept-official-cn	accepted only for exact same-path official evidence; methods=same-length-replace-block	js/quest/QuestUtil.js
LOW-MT-01859	i18n/frontend-strings.tsv	f0b29bd7495772466c487f85	魔力解放	魔力解放	"[""魔力解放""]"	single-official-candidate	accept-official-cn	accepted only for exact same-path official evidence; methods=equal-token	js/event/accomplish/EventAccomplishRecovery.js
LOW-MT-01862	i18n/frontend-strings.tsv	f1347cf044b29636f11ef1a3	でグループBATTLEを開始します。<br>よろしいですか？<br><br><p class='c_red'>※所属勢力は次回開催まで変更できません。</p>	开始小组对战。<br>确定吗?<br><br><p class='c_red'>※所属势力到下次举办前无法更改。</p>	"[""加入       开始团队战斗。<br>确定吗？<br><br><p class='c_red'>※所属势力到下次活动开始前无法变更。</p>""]"	single-official-candidate	reject-structural-candidate	dynamic union name and spacing make the literal boundary ambiguous	js/regularEvent/groupBattle/RegularEventGroupBattleSelectUnion.js
