source	target	mapping_kind	source_bytes	target_bytes	source_sha256	target_sha256	source_width	source_height	target_width	target_height	same_dimensions	visible_change_ratio	visible_identical_ratio	alpha_change_ratio	visual_mae	dhash_distance	confidence	reason
resource/image_web/announce/announce_event_10031.png	resource/image_web/announce/announce_event_10031.png	same_path	97832	93994	2cc8a1ec4d6a1d722a57d93a15387b85d57b65761fdc220e9ab24e5323cd1658	6c1eed633dd0a76dfbc61b4e51b6b5ed1ae4bcde7bffb5ebfca3c093779a4ff2	768	588	768	588	True	0.371353	0.628647	0.065518	5.82924	0.042969	review	same path/dimensions and structurally close; visual review required
resource/image_web/announce/announce_event_10083.png	resource/image_web/announce/announce_event_10083.png	same_path	86308	80187	193c52e824360c4cffee1fbe4fe45a788b1826a48dc91c0c2d949eb089f5b550	1ca2b1f45d2a1a6f0f5a8db70636c1c700873ca362bac70de86c3eeda145b296	768	322	768	322	True	0.067781	0.932219	0.037433	1.154569	0.007812	review	same path/dimensions and structurally close; visual review required
resource/image_web/announce/announce_event_10302.png	resource/image_web/announce/announce_event_10302.png	same_path	155174	142985	020532c682ae22a6f88192dda95cba2acd4f2cab20856e1088c053248c6b167b	c6c4fd5b6d995ae4a0acec48817503074fc4b8edd2105a9f2831bc984b98d402	768	568	768	568	True	0.29792	0.70208	0.023703	4.60607	0.101562	review	same path/dimensions and structurally close; visual review required
resource/image_web/announce/announce_memoria_1016.png	resource/image_web/announce/announce_memoria_1016.png	same_path	39414	37120	c36a953cfea905ef631cb949c004ba2fd24e651068a9db27135288ac678fa736	98d559b9ec717f15b73c14de073ed2efd3961a6b5fd8738c7d469201e6abf3f6	768	282	768	282	True	0.102781	0.897219	0.039007	5.604749	0.078125	review	same path/dimensions and structurally close; visual review required
resource/image_web/announce/announce_memoria_1017.png	resource/image_web/announce/announce_memoria_1017.png	same_path	38366	35984	de772e033e277ef4945ea1ea11ff9d91a6164b793b3213db04ed0996aefdf562	d00b1ef79e6c1cdcd3e1549d57323220af60497654c3c3c50eae68cee5081611	768	282	768	282	True	0.129109	0.870891	0.047309	7.368468	0.078125	review	same path/dimensions and structurally close; visual review required
resource/image_web/announce/announce_memoria_1062.png	resource/image_web/announce/announce_memoria_1062.png	same_path	47495	45517	0e1072b606225a8d7e771725b0c58c1fcefb275af0cd20025ad8888f4c153d78	ff1597efb22a4f897eb0316828b11e21ae798ceb39ff585796e8ede39f6dc9d7	768	282	768	282	True	0.106014	0.893986	0.045204	6.676827	0.089844	review	same path/dimensions and structurally close; visual review required
resource/image_web/announce/announce_memoria_1070.png	resource/image_web/announce/announce_memoria_1070.png	same_path	46561	44680	abef1a68bbde6bd310813c7abbc9aa0c10b8aa25c32e6b44a318d895dabbc308	945ef1b6516415def275818297ac5d9972da7772bacbcad1892b711bedd5e4c5	768	282	768	282	True	0.127429	0.872571	0.055639	8.007259	0.152344	review	same path/dimensions and structurally close; visual review required
resource/image_web/campaign/arena_reward_up/common/arena_coin_2000.png	resource/image_web/campaign/arena_reward_up/common/arena_coin_2000.png	same_path	6745	6606	f34dfe1a3c8930e8411663da00c929ddd86c6e524d26027482fcc33253459018	f346b822305d32188d5060524bbcc75eb2e843af546d75f08e1b7a561bd2cd93	372	176	372	176	True	0.100852	0.899148	0.000489	4.033407	0.140625	review	same path/dimensions and structurally close; visual review required
resource/image_web/campaign/box_gacha/common/icon_pickup.png	resource/image_web/campaign/box_gacha/common/icon_pickup.png	same_path	2656	2714	ab003d75d33177bb7486bfcbc4490014a53a9819d603afd41a09343aef83466a	aa58213fc0aed59669e589455fb1ac298dae05aacf359a31adb72f9b03fa2f82	62	62	62	62	True	0.290062	0.709938	0.030697	5.597538	0.085938	review	same path/dimensions and structurally close; visual review required
resource/image_web/campaign/box_gacha/common/icon_pickup_gray.png	resource/image_web/campaign/box_gacha/common/icon_pickup_gray.png	same_path	2446	2468	1f0a68cfb722638b5334cee3cb223f95b6bd6b169c546de111c7e1f18362b3fb	d7c9dba75cd045ff62d675304bbc3b4e975b0a29ea863648106eca5f1e21a1d7	62	62	62	62	True	0.253122	0.746878	0.030697	4.406751	0.148438	review	same path/dimensions and structurally close; visual review required
